#lambda	flux
300.5	6.99148
301	6.97578
301.5	6.96015
302	6.94457
302.5	6.92905
303	6.91359
303.5	6.8982
304	6.88286
304.5	6.86758
305	6.85236
305.5	6.8372
306	6.8221
306.5	6.80705
307	6.79207
307.5	6.77714
308	6.76226
308.5	6.74745
309	6.73269
309.5	6.71798
310	6.70334
310.5	6.68874
311	6.67421
311.5	6.65972
312	6.6453
312.5	6.63092
313	6.6166
313.5	6.60234
314	6.58813
314.5	6.57397
315	6.55986
315.5	6.54581
316	6.53181
316.5	6.51786
317	6.50396
317.5	6.49011
318	6.47632
318.5	6.46257
319	6.44888
319.5	6.43524
320	6.42164
320.5	6.4081
321	6.39461
321.5	6.38116
322	6.36777
322.5	6.35442
323	6.34112
323.5	6.32787
324	6.31467
324.5	6.30152
325	6.28841
325.5	6.27536
326	6.26234
326.5	6.24938
327	6.23646
327.5	6.22359
328	6.21076
328.5	6.19799
329	6.18525
329.5	6.17256
330	6.15992
330.5	6.14732
331	6.13477
331.5	6.12226
332	6.1098
332.5	6.09737
333	6.085
333.5	6.07267
334	6.06038
334.5	6.04813
335	6.03593
335.5	6.02377
336	6.01165
336.5	5.99957
337	5.98754
337.5	5.97555
338	5.9636
338.5	5.95169
339	5.93982
339.5	5.92799
340	5.91621
340.5	5.90446
341	5.89276
341.5	5.8811
342	5.86947
342.5	5.85789
343	5.84635
343.5	5.83484
344	5.82338
344.5	5.81195
345	5.80056
345.5	5.78921
346	5.77791
346.5	5.76663
347	5.7554
347.5	5.74421
348	5.73305
348.5	5.72193
349	5.71085
349.5	5.6998
350	5.68879
350.5	5.67782
351	5.66689
351.5	5.65599
352	5.64513
352.5	5.6343
353	5.62352
353.5	5.61276
354	5.60205
354.5	5.59136
355	5.58072
355.5	5.57011
356	5.55953
356.5	5.54899
357	5.53848
357.5	5.52801
358	5.51757
358.5	5.50717
359	5.4968
359.5	5.48647
360	5.47616
360.5	5.4659
361	5.45566
361.5	5.44546
362	5.43529
362.5	5.42516
363	5.41505
363.5	5.40499
364	5.39495
364.5	5.38494
365	5.37497
365.5	5.36503
366	5.35512
366.5	5.34525
367	5.3354
367.5	5.32559
368	5.3158
368.5	5.30605
369	5.29633
369.5	5.28664
370	5.27699
370.5	5.26736
371	5.25776
371.5	5.2482
372	5.23866
372.5	5.22915
373	5.21968
373.5	5.21023
374	5.20081
374.5	5.19143
375	5.18207
375.5	5.17274
376	5.16344
376.5	5.15417
377	5.14493
377.5	5.13572
378	5.12653
378.5	5.11738
379	5.10825
379.5	5.09915
380	5.09008
380.5	5.08104
381	5.07202
381.5	5.06304
382	5.05408
382.5	5.04515
383	5.03624
383.5	5.02737
384	5.01852
384.5	5.00969
385	5.0009
385.5	4.99213
386	4.98339
386.5	4.97467
387	4.96598
387.5	4.95732
388	4.94868
388.5	4.94007
389	4.93149
389.5	4.92293
390	4.9144
390.5	4.90589
391	4.89741
391.5	4.88895
392	4.88052
392.5	4.87212
393	4.86374
393.5	4.85538
394	4.84705
394.5	4.83875
395	4.83047
395.5	4.82221
396	4.81398
396.5	4.80577
397	4.79759
397.5	4.78943
398	4.7813
398.5	4.77319
399	4.7651
399.5	4.75704
400	4.749
400.5	4.74098
401	4.73299
401.5	4.72502
402	4.71708
402.5	4.70916
403	4.70126
403.5	4.69338
404	4.68553
404.5	4.6777
405	4.66989
405.5	4.66211
406	4.65434
406.5	4.6466
407	4.63889
407.5	4.63119
408	4.62352
408.5	4.61587
409	4.60824
409.5	4.60063
410	4.59305
410.5	4.58548
411	4.57794
411.5	4.57042
412	4.56292
412.5	4.55545
413	4.54799
413.5	4.54056
414	4.53314
414.5	4.52575
415	4.51838
415.5	4.51103
416	4.5037
416.5	4.49639
417	4.4891
417.5	4.48183
418	4.47458
418.5	4.46735
419	4.46015
419.5	4.45296
420	4.44579
420.5	4.43865
421	4.43152
421.5	4.42441
422	4.41733
422.5	4.41026
423	4.40321
423.5	4.39618
424	4.38917
424.5	4.38218
425	4.37521
425.5	4.36826
426	4.36133
426.5	4.35442
427	4.34753
427.5	4.34065
428	4.3338
428.5	4.32696
429	4.32014
429.5	4.31334
430	4.30656
430.5	4.2998
431	4.29306
431.5	4.28633
432	4.27962
432.5	4.27293
433	4.26626
433.5	4.25961
434	4.25298
434.5	4.24636
435	4.23976
435.5	4.23318
436	4.22662
436.5	4.22007
437	4.21354
437.5	4.20703
438	4.20054
438.5	4.19407
439	4.18761
439.5	4.18117
440	4.17474
440.5	4.16834
441	4.16195
441.5	4.15558
442	4.14922
442.5	4.14288
443	4.13656
443.5	4.13025
444	4.12397
444.5	4.11769
445	4.11144
445.5	4.1052
446	4.09898
446.5	4.09277
447	4.08658
447.5	4.08041
448	4.07425
448.5	4.06811
449	4.06199
449.5	4.05588
450	4.04979
450.5	4.04371
451	4.03765
451.5	4.03161
452	4.02558
452.5	4.01956
453	4.01356
453.5	4.00758
454	4.00161
454.5	3.99566
455	3.98973
455.5	3.98381
456	3.9779
456.5	3.97201
457	3.96613
457.5	3.96027
458	3.95443
458.5	3.9486
459	3.94278
459.5	3.93698
460	3.9312
460.5	3.92543
461	3.91967
461.5	3.91393
462	3.9082
462.5	3.90249
463	3.89679
463.5	3.89111
464	3.88544
464.5	3.87979
465	3.87415
465.5	3.86852
466	3.86291
466.5	3.85731
467	3.85173
467.5	3.84616
468	3.8406
468.5	3.83506
469	3.82953
469.5	3.82402
470	3.81852
470.5	3.81303
471	3.80756
471.5	3.8021
472	3.79666
472.5	3.79123
473	3.78581
473.5	3.7804
474	3.77501
474.5	3.76963
475	3.76427
475.5	3.75892
476	3.75358
476.5	3.74825
477	3.74294
477.5	3.73764
478	3.73236
478.5	3.72708
479	3.72182
479.5	3.71658
480	3.71134
480.5	3.70612
481	3.70091
481.5	3.69572
482	3.69053
482.5	3.68536
483	3.68021
483.5	3.67506
484	3.66993
484.5	3.66481
485	3.6597
485.5	3.6546
486	3.64952
486.5	3.64445
487	3.63939
487.5	3.63434
488	3.62931
488.5	3.62429
489	3.61928
489.5	3.61428
490	3.60929
490.5	3.60432
491	3.59936
491.5	3.59441
492	3.58947
492.5	3.58454
493	3.57963
493.5	3.57472
494	3.56983
494.5	3.56495
495	3.56008
495.5	3.55523
496	3.55038
496.5	3.54555
497	3.54072
497.5	3.53591
498	3.53111
498.5	3.52632
499	3.52155
499.5	3.51678
500	3.51203
500.5	3.50728
501	3.50255
501.5	3.49783
502	3.49312
502.5	3.48842
503	3.48373
503.5	3.47906
504	3.47439
504.5	3.46973
505	3.46509
505.5	3.46046
506	3.45583
506.5	3.45122
507	3.44662
507.5	3.44203
508	3.43745
508.5	3.43288
509	3.42832
509.5	3.42377
510	3.41923
510.5	3.4147
511	3.41019
511.5	3.40568
512	3.40118
512.5	3.3967
513	3.39222
513.5	3.38775
514	3.3833
514.5	3.37885
515	3.37442
515.5	3.36999
516	3.36558
516.5	3.36117
517	3.35678
517.5	3.35239
518	3.34802
518.5	3.34365
519	3.3393
519.5	3.33495
520	3.33062
