# lambda	flux
 2063.65 0.157552426748
 2064.24 0.0527196825649
 2064.84 0.147262129809
 2065.44 0.125091993547
 2066.04 0.0238062579962
 2066.65 0.026313712784
 2067.24 0.115426012997
 2067.84 0.0566881577576
 2068.44 0.142742593235
 2069.04 0.0646687578809
 2069.65 0.170009914781
 2070.24 0.11073354838
 2070.84 0.097002319769
 2071.44 0.217472681992
 2072.04 0.224191355674
 2072.65 0.0843945897795
 2073.24 0.147131460307
 2073.84 0.102392179122
 2074.44 0.241096582718
 2075.04 0.109474514745
 2075.65 0.106922624451
 2076.24 0.178984639529
 2076.84 0.0477118357084
 2077.44 0.153719081723
 2078.04 0.0662634749309
 2078.65 0.0596706273236
 2079.24 0.0520745681433
 2079.84 0.253778605592
 2080.44 0.308975635299
 2081.04 0.141035027259
 2081.65 0.0416331349065
 2082.24 0.280962779171
 2082.84 0.28617324767
 2083.44 0.1193862735
 2084.04 0.296625247382
 2084.65 0.17785435422
 2085.24 0.0240190375879
 2085.84 0.067480662231
 2086.44 0.182886734732
 2087.04 0.332288511399
 2087.65 0.190807108522
 2088.24 0.0691643496661
 2088.84 0.402178764306
 2089.44 0.176464879269
 2090.04 0.271237735299
 2090.65 0.102076274264
 2091.24 0.308090127122
 2091.84 0.277642719734
 2092.44 0.054567314147
 2093.04 0.327156421047
 2093.65 0.325106900225
 2094.24 0.0496410731626
 2094.84 0.08075408385
 2095.44 0.141689199185
 2096.04 0.170134312854
 2096.65 0.0619660588452
 2097.24 0.0540117258535
 2097.84 0.144176027079
 2098.44 0.229682934375
 2099.04 0.333746927909
 2099.65 0.0686357756287
 2100.24 0.0744387322758
 2100.84 0.0659705505924
 2101.44 0.0306638931588
 2102.04 0.246664552141
 2102.65 0.372964649721
 2103.24 0.0512668786896
 2103.84 0.00965202533129
 2104.44 0.120553480746
 2105.04 0.326094252884
 2105.65 0.334597928503
 2106.24 0.374157163509
 2106.84 0.129808005468
 2107.44 0.0907058119266
 2108.04 0.313450314958
 2108.65 0.0206700776809
 2109.24 0.297974399692
 2109.84 0.196211004984
 2110.44 0.0654329374524
 2111.04 0.08400327319
 2111.65 0.0753713203392
