# lambda	flux
 2160.24 0.0028821233333
 2160.84 0.00892010592946
 2161.44 0.00838716962963
 2162.04 0.0025415088368
 2162.65 0.00421178826272
 2163.24 0.00936014994794
 2163.84 0.0105431578643
 2164.44 0.00487840647561
 2165.04 0.00206078241371
 2165.65 0.00604417237619
 2166.24 0.00567058324691
 2166.84 0.00117237462593
 2167.44 0.00127121794826
 2168.04 0.00118056174394
 2168.65 0.00377634591766
 2169.24 0.00399552928904
 2169.84 0.00774193406679
 2170.44 0.00574783307663
 2171.04 0.00806866458604
 2171.65 0.0062583386159
 2172.24 0.00383935459558
 2172.84 0.00220281247221
 2173.44 0.00256350695288
 2174.04 0.00297081594941
 2174.65 0.00311637105164
 2175.24 0.00235030040182
 2175.84 0.00115331361041
 2176.44 0.0063809237087
 2177.04 0.00453491963822
 2177.65 0.00102221517271
 2178.24 0.00105889524229
 2178.84 0.00342425301695
 2179.44 0.0045934713557
 2180.04 0.00600953391779
 2180.65 0.00679397987775
 2181.24 0.00702065868395
 2181.84 0.0114270079405
 2182.44 0.0102206466872
 2183.04 0.00479468217234
 2183.65 0.0120951126371
 2184.24 0.00431981288869
 2184.84 0.00583500458747
 2185.44 0.00331121549359
 2186.04 0.00749272785866
 2186.65 0.00732283581959
 2187.24 0.00382532690166
 2187.84 0.0010984495831
 2188.44 0.00332297037182
 2189.04 0.00636738993188
 2189.65 0.00754580140536
 2190.24 0.00589393141295
 2190.84 0.00417657468855
 2191.44 0.00235364474114
 2192.04 0.0135848622502
 2192.65 0.00296026086879
 2193.24 0.0105189915443
 2193.84 0.0157378854878
 2194.44 0.0110590005975
 2195.04 0.0145467507298
 2195.65 0.0106699573178
 2196.24 0.0260215473289
 2196.84 0.00585107594745
 2197.44 0.0244765646828
 2198.04 0.0122781095446
 2198.65 0.0259799676291
 2199.24 0.00854441410319
 2199.84 0.0137266779791
 2200.44 0.0130501286202
 2201.04 0.00564232760221
 2201.65 0.00416936593986
 2202.24 0.00596700822851
 2202.84 0.0246947609673
 2203.44 0.0299471416432
 2204.04 0.014075204614
