# lambda	flux
 2172.24 3.57687
 2172.84 1.62874
 2173.44 4.26957
 2174.04 2.91071
 2174.65 2.0463
 2175.24 1.64999
 2175.84 8.03119
 2176.44 9.0313
 2177.04 4.28753
 2177.65 0.807069
 2178.24 0.850921
 2178.84 1.30188
 2179.44 3.33847
 2180.04 9.06857
 2180.65 11.4045
 2181.24 16.7338
 2181.84 15.9926
 2182.44 9.78519
 2183.04 6.18428
 2183.65 18.2217
 2184.24 3.17958
 2184.84 10.096
 2185.44 8.9614
 2186.04 14.5029
 2186.65 4.70091
 2187.24 1.34817
 2187.84 0.722789
 2188.44 10.8678
 2189.04 7.11923
 2189.65 14.1292
 2190.24 6.53099
 2190.84 4.98318
 2191.44 3.57453
 2192.04 6.28115
 2192.65 1.36921
 2193.24 8.97292
 2193.84 13.4363
 2194.44 10.6763
 2195.04 27.7524
 2195.65 5.94428
 2196.24 14.6983
 2196.84 2.66
 2197.44 13.5225
 2198.04 10.0263
 2198.65 29.7324
 2199.24 14.75
 2199.84 5.87004
 2200.44 8.08633
 2201.04 2.76719
 2201.65 2.14118
 2202.24 10.7956
 2202.84 31.814
 2203.44 22.4616
 2204.04 15.0985
 2204.65 14.9486
 2205.24 6.27215
 2205.84 14.4147
 2206.44 15.8439
 2207.04 21.7524
 2207.65 27.7394
 2208.24 25.7582
 2208.84 10.423
 2209.44 7.54751
 2210.04 19.9793
 2210.65 3.74993
 2211.24 8.16712
 2211.84 7.31272
 2212.44 5.48045
 2213.04 19.7767
 2213.65 34.0494
 2214.24 25.7484
 2214.84 17.464
 2215.44 40.3213
 2216.04 50.3298
 2216.65 32.637
 2217.24 9.37819
 2217.84 19.7426
 2218.44 6.85472
 2219.04 9.26399
 2219.65 11.627
 2220.24 26.262
 2220.84 19.0303
 2221.44 33.15
 2222.04 27.5687
 2222.65 7.2288
 2223.24 20.3513
 2223.84 14.3117
 2224.44 45.9352
 2225.04 52.7158
 2225.65 31.9714
 2226.24 9.38691
 2226.84 57.9852
 2227.44 11.7016
 2228.04 67.1569
 2228.65 4.23531
 2229.24 21.3756
 2229.84 32.2975
 2230.44 22.1833
 2231.04 18.0491
 2231.65 7.97014
 2232.24 37.206
 2232.84 44.8267
 2233.44 59.0406
 2234.04 82.0124
 2234.65 70.4354
 2235.24 61.6472
 2235.84 82.9243
 2236.44 66.8891
 2237.04 53.6946
 2237.65 24.5978
 2238.24 61.7784
 2238.84 28.2137
 2239.44 23.8076
 2240.04 76.716
 2240.65 86.4104
 2241.24 47.2867
 2241.84 66.1101
 2242.44 37.0321
 2243.04 41.5591
 2243.65 30.0587
 2244.24 65.9786
 2244.84 18.8396
 2245.44 36.6946
 2246.04 31.1743
 2246.65 14.5069
 2247.24 24.7876
 2247.84 67.7793
 2248.44 69.2053
 2249.04 80.4829
 2249.65 19.8358
 2250.24 90.0107
 2250.84 59.1553
 2251.44 5.17197
 2252.04 35.9144
 2252.65 23.144
 2253.24 57.9446
 2253.84 63.9397
 2254.44 37.2508
 2255.04 53.6186
 2255.65 16.5973
 2256.24 58.4915
 2256.84 12.8591
 2257.44 29.4172
 2258.04 69.2252
 2258.65 23.8206
 2259.24 61.1837
 2259.84 10.2947
 2260.44 18.4753
 2261.04 20.2126
 2261.65 31.6209
 2262.24 16.4512
 2262.84 31.9818
 2263.44 29.8946
 2264.04 6.24599
 2264.65 14.9494
 2265.24 15.2131
 2265.84 3.8307
 2266.44 33.9292
 2267.04 6.59504
 2267.65 4.1027
 2268.24 11.0925
 2268.84 28.9609
 2269.44 8.9952
 2270.04 8.57977
 2270.65 26.4742
 2271.24 28.6456
 2271.84 38.3114
 2272.44 29.5924
 2273.04 25.056
 2273.65 20.6193
 2274.24 17.2533
 2274.84 10.1815
 2275.44 9.51005
 2276.04 6.22614
 2276.65 7.66398
 2277.24 12.2032
 2277.84 3.0888
 2278.44 21.6335
 2279.04 34.359
 2279.65 23.1985
 2280.24 10.6223
 2280.84 33.1631
 2281.44 61.0621
 2282.04 71.1039
 2282.65 7.2138
 2283.24 38.8779
 2283.84 5.61972
 2284.44 5.70329
 2285.04 30.2714
 2285.65 10.6289
 2286.24 67.7343
 2286.84 28.8608
 2287.44 40.1503
 2288.04 5.07096
 2288.65 34.6162
 2289.24 11.1148
 2289.84 17.7915
 2290.44 12.0306
 2291.04 21.7188
 2291.65 5.09988
 2292.24 5.57937
 2292.84 43.219
 2293.44 16.3712
 2294.04 45.6993
 2294.65 7.9439
 2295.24 29.3869
 2295.84 36.0501
 2296.44 21.6281
 2297.04 43.6361
 2297.65 15.6551
 2298.24 15.6828
 2298.84 3.50271
 2299.44 9.16611
 2300.04 11.7258
 2300.65 6.91101
 2301.24 20.563
 2301.84 25.5445
 2302.44 49.5952
 2303.04 73.0738
 2303.65 7.72472
 2304.24 16.8394
 2304.84 33.6308
 2305.44 76.827
 2306.04 69.9124
 2306.65 50.5981
 2307.24 97.6573
 2307.84 109.985
 2308.44 62.657
 2309.04 104.757
 2309.65 29.0155
 2310.24 60.745
 2310.84 50.6654
 2311.44 8.87897
 2312.04 10.0302
 2312.65 25.5289
 2313.24 10.1159
 2313.84 19.2427
 2314.44 21.3236
 2315.04 40.5991
 2315.65 99.9882
 2316.24 99.3061
 2316.84 44.5063
 2317.44 33.2462
 2318.04 16.8536
 2318.65 72.0946
 2319.24 36.6459
 2319.84 11.8103
 2320.44 9.97842
 2321.04 6.06063
 2321.65 21.8074
 2322.24 13.6016
 2322.84 34.6736
 2323.44 89.1968
 2324.04 31.5556
 2324.65 59.0845
 2325.24 36.7958
 2325.84 59.043
 2326.44 7.39607
 2327.04 75.0927
 2327.65 89.8347
 2328.24 37.1853
 2328.84 122.744
 2329.44 60.0144
 2330.04 54.151
 2330.65 12.1568
 2331.24 113.122
 2331.84 60.9146
 2332.44 86.9899
 2333.04 154.555
 2333.65 17.4993
 2334.24 123.764
 2334.84 53.1538
 2335.44 101.895
 2336.04 68.5703
 2336.65 105.724
 2337.24 50.4391
