# lambda	flux
 2122.44 0.000144322401714
 2123.04 0.000312367821811
 2123.65 4.88449881772e-05
 2124.24 0.000169089668262
 2124.84 5.15952618311e-05
 2125.44 0.000207784155563
 2126.04 0.000210883441638
 2126.65 0.000274939036874
 2127.24 9.85765869749e-05
 2127.84 0.000139486882099
 2128.44 0.000105837536411
 2129.04 0.000182960753101
 2129.65 0.000215124368954
 2130.24 4.25854876964e-05
 2130.84 0.000129294163969
 2131.44 0.000249517802472
 2132.04 0.000316257559067
 2132.65 0.000195059099428
 2133.24 0.000261371394922
 2133.84 9.41842546699e-05
 2134.44 0.000205169185234
 2135.04 0.000113673136111
 2135.65 1.6223221784e-05
 2136.24 0.000146150621778
 2136.84 0.000171815043872
 2137.44 0.000341742878307
 2138.04 0.000435405218077
 2138.65 0.000131257687357
 2139.24 9.00378776984e-05
 2139.84 7.17175254554e-05
 2140.44 3.03001807743e-05
 2141.04 0.000288539225429
 2141.65 0.000340334964242
 2142.24 9.87564407398e-05
 2142.84 0.000323030556206
 2143.44 8.11552675558e-05
 2144.04 6.84013174615e-05
 2144.65 0.000103105520606
 2145.24 0.000149871565106
 2145.84 0.000220459136703
 2146.44 0.000313677409525
 2147.04 6.63233553312e-05
 2147.65 0.000108561238564
 2148.24 4.34957171304e-05
 2148.84 0.00026145523943
 2149.44 0.000230584798536
 2150.04 0.000178842857088
 2150.65 0.000366655038377
 2151.24 0.000120423187574
 2151.84 9.35166846091e-05
 2152.44 0.000142689064351
 2153.04 0.000223825017419
 2153.65 0.000190330487997
 2154.24 0.000523643839398
 2154.84 0.000312106869724
 2155.44 0.000372694889524
 2156.04 0.000294220677776
 2156.65 0.000217643651846
 2157.24 0.000226805960016
 2157.84 0.0004683685964
 2158.44 0.00021177146826
 2159.04 3.6513081902e-05
 2159.65 3.89768644708e-05
 2160.24 8.39389942674e-05
 2160.84 0.00034145345599
 2161.44 0.000390370976747
 2162.04 0.000227371481356
 2162.65 0.000171259048368
 2163.24 0.000439649020307
 2163.84 0.00044326531891
 2164.44 0.000193014413355
 2165.04 0.000107918362728
 2165.65 0.000205405250005
 2166.24 0.000293101971482
 2166.84 3.19099744152e-05
 2167.44 2.93236459532e-05
 2168.04 3.41816419252e-05
 2168.65 0.000260810293227
 2169.24 0.000132525685363
 2169.84 0.000368138451118
 2170.44 0.000222333409028
 2171.04 0.000338889826476
 2171.65 0.000274975016209
 2172.24 0.000154551152816
 2172.84 7.32033786552e-05
 2173.44 0.000189515535682
 2174.04 0.000141186503395
 2174.65 0.000110321705056
 2175.24 7.89431874667e-05
 2175.84 0.000146203636051
 2176.44 0.000312289748585
 2177.04 0.00016309113864
 2177.65 3.72557778651e-05
 2178.24 2.81619393127e-05
 2178.84 6.78178225458e-05
 2179.44 0.000145202479415
 2180.04 0.00038762431819
 2180.65 0.00041477062975
 2181.24 0.00052112284014
 2181.84 0.000521780251456
 2182.44 0.000389321461481
 2183.04 0.000201621326749
 2183.65 0.000555157188311
 2184.24 0.000164807215601
 2184.84 0.000285392696364
 2185.44 0.000207428309858
 2186.04 0.000488214042274
 2186.65 0.00020954499751
 2187.24 7.43217363119e-05
 2187.84 4.24079697992e-05
 2188.44 0.000425378762234
 2189.04 0.000238898728152
 2189.65 0.00039543370039
 2190.24 0.000211418776379
 2190.84 0.000174934904891
 2191.44 0.000119157013208
 2192.04 0.000374432281613
 2192.65 6.75828626859e-05
 2193.24 0.00039964158765
 2193.84 0.000489558343503
 2194.44 0.000358030339134
 2195.04 0.000868501579807
 2195.65 0.000235580776973
 2196.24 0.000688969891167
 2196.84 0.000156817893817
 2197.44 0.000610385960684
 2198.04 0.000433939312275
 2198.65 0.000887910510746
 2199.24 0.000393418256913
 2199.84 0.000287493829443
 2200.44 0.000377365251764
 2201.04 0.000159685770765
 2201.65 0.000128819717333
 2202.24 0.000320325626812
 2202.84 0.00106182204278
 2203.44 0.000873650679599
 2204.04 0.00048572728453
 2204.65 0.000590066797629
 2205.24 0.000496855132818
 2205.84 0.000713644720645
 2206.44 0.000577280853388
 2207.04 0.000549372174694
 2207.65 0.000743390469418
 2208.24 0.000667948862901
 2208.84 0.000264771409879
 2209.44 0.000348474682648
 2210.04 0.000922854361577
