# lk ukf_m0iii uks_m0iii fh fk fm
# iRMS=0.01722689532 0
# 
3526.01 0.038554 0.000512 0.032572 0.000000 0.048502
3531.01 0.061142 0.005947 0.041376 0.000000 0.087198
3536.01 0.082226 0.007230 0.047793 0.000000 0.125117
3541.01 0.099713 0.004916 0.050011 0.000000 0.159672
3546.01 0.107289 0.000436 0.045740 0.000000 0.179876
3551.01 0.089380 0.001367 0.042632 0.000000 0.145322
3556.02 0.068156 0.004466 0.044610 0.000000 0.098713
3561.02 0.065872 0.006316 0.043110 0.000000 0.095411
3566.02 0.055566 0.002821 0.037171 0.000000 0.079678
3571.02 0.033872 0.001318 0.032435 0.000000 0.038794
3576.02 0.019999 0.002258 0.025066 0.000000 0.016989
3581.02 0.021663 0.000599 0.023598 0.000000 0.021956
3586.02 0.028549 0.002504 0.022556 0.000000 0.037480
3591.02 0.028166 0.001374 0.027018 0.000000 0.032212
3596.03 0.028312 0.003517 0.035991 0.000000 0.023545
3601.03 0.043931 0.003120 0.038836 0.000000 0.053544
3606.03 0.052661 0.000361 0.035679 0.000000 0.075061
3611.03 0.045976 0.000253 0.035776 0.000000 0.060906
3616.03 0.049872 0.002529 0.041786 0.000000 0.063089
3621.03 0.056520 0.000018 0.044864 0.000000 0.073991
3626.03 0.054937 0.003067 0.051527 0.000000 0.063999
3631.03 0.051019 0.001441 0.051161 0.000000 0.056126
3636.04 0.057654 0.005062 0.052063 0.000000 0.069177
3641.04 0.074539 0.011477 0.055995 0.000000 0.100750
3646.04 0.076345 0.001732 0.050061 0.000000 0.110483
3651.04 0.077319 0.000182 0.052858 0.000000 0.109733
3656.04 0.122965 0.005195 0.061141 0.000000 0.197440
3661.04 0.154301 0.007969 0.066858 0.000000 0.257617
3666.04 0.108078 0.004465 0.067328 0.000000 0.159946
3671.05 0.086245 0.002973 0.066876 0.000000 0.114485
3676.05 0.101665 0.005937 0.065566 0.000000 0.148222
3681.05 0.072509 0.004235 0.060028 0.000000 0.092450
3686.05 0.051185 0.000172 0.056650 0.000000 0.050986
3691.05 0.086641 0.003947 0.061545 0.000000 0.120651
3696.05 0.138736 0.012348 0.068514 0.000000 0.223229
3701.05 0.154117 0.015029 0.069518 0.000000 0.254571
3706.05 0.101638 0.005121 0.059990 0.000000 0.153742
3711.06 0.058943 0.002847 0.056353 0.000000 0.067596
3716.06 0.066259 0.007483 0.056803 0.000000 0.082531
3721.06 0.067058 0.000292 0.045593 0.000000 0.095422
3726.06 0.056365 0.004822 0.045900 0.000000 0.072629
3731.06 0.038549 0.003858 0.041509 0.000000 0.039555
3736.06 0.036008 0.000745 0.036022 0.000000 0.039698
3741.06 0.046564 0.003511 0.037588 0.000000 0.060330
3746.06 0.039591 0.000875 0.035763 0.000000 0.047492
3751.07 0.040221 0.000858 0.039570 0.000000 0.045009
3756.07 0.057134 0.004178 0.047048 0.000000 0.073098
3761.07 0.055179 0.004594 0.049731 0.000000 0.066304
3766.07 0.060925 0.003266 0.054461 0.000000 0.073657
3771.07 0.109363 0.004571 0.062358 0.000000 0.167618
3776.07 0.163329 0.005799 0.069043 0.000000 0.274418
3781.07 0.179906 0.007537 0.072925 0.000000 0.305395
3786.08 0.134740 0.006706 0.068846 0.000000 0.214496
3791.08 0.085286 0.005097 0.060911 0.000000 0.118434
3796.08 0.080136 0.001562 0.058725 0.000000 0.109791
3801.08 0.098353 0.005082 0.060049 0.000000 0.146775
3806.08 0.110633 0.004556 0.061955 0.000000 0.170692
3811.08 0.097180 0.007045 0.061803 0.000000 0.142554
3816.08 0.069492 0.005249 0.052506 0.000000 0.093626
3821.08 0.047988 0.001360 0.044165 0.000000 0.056749
3826.09 0.040649 0.003954 0.043321 0.000000 0.042159
3831.09 0.041728 0.004840 0.044690 0.000000 0.043059
3836.09 0.047218 0.005178 0.046445 0.000000 0.052850
3841.09 0.066161 0.005469 0.049619 0.000000 0.089510
3846.09 0.085840 0.005808 0.054963 0.000000 0.125549
3851.09 0.075998 0.004613 0.056498 0.000000 0.103316
3856.09 0.060118 0.002383 0.054332 0.000000 0.072088
3861.09 0.059109 0.002289 0.052493 0.000000 0.071806
3866.10 0.059790 0.007128 0.057131 0.000000 0.068599
3871.10 0.059928 0.005487 0.057795 0.000000 0.068226
3876.10 0.065659 0.003885 0.056801 0.000000 0.081271
3881.10 0.053445 0.004139 0.057347 0.000000 0.055040
3886.10 0.044199 0.001895 0.057924 0.000000 0.035022
3891.10 0.093335 0.008277 0.065694 0.000000 0.130578
3896.10 0.128595 0.005658 0.068519 0.000000 0.201899
3901.10 0.096292 0.003216 0.070554 0.000000 0.131936
3906.11 0.089673 0.004699 0.073171 0.000000 0.115401
3911.11 0.120780 0.005663 0.074346 0.000000 0.179638
3916.11 0.111795 0.003116 0.072046 0.000000 0.163046
3921.11 0.078399 0.003607 0.065825 0.000000 0.099038
3926.11 0.053391 0.003844 0.054264 0.000000 0.058011
3931.11 0.035903 0.006684 0.040701 0.000000 0.034797
3936.11 0.029432 0.003344 0.038370 0.000000 0.023521
3941.12 0.037188 0.005881 0.046380 0.000000 0.031821
3946.12 0.069044 0.006290 0.059361 0.000000 0.085830
3951.12 0.100677 0.005070 0.072599 0.000000 0.139112
3956.12 0.081980 0.002979 0.072837 0.000000 0.099556
3961.12 0.048071 0.008638 0.062876 0.000000 0.038212
3966.12 0.036045 0.008444 0.049232 0.000000 0.026565
3971.12 0.044337 0.011546 0.048682 0.000000 0.044554
3976.12 0.077801 0.015183 0.069108 0.000000 0.094498
3981.13 0.125605 0.011872 0.092402 0.000000 0.171730
3986.13 0.146568 0.010616 0.110005 0.000000 0.198209
3991.13 0.142990 0.010290 0.121687 0.000000 0.179003
3996.13 0.170251 0.008754 0.130058 0.000000 0.227958
4001.13 0.202530 0.008195 0.138790 0.000000 0.287104
4006.13 0.192341 0.011658 0.145785 0.000000 0.258684
4011.13 0.187660 0.014324 0.156468 0.000000 0.238157
4016.13 0.214360 0.010586 0.167593 0.000000 0.283179
4021.14 0.249956 0.008470 0.167875 0.000000 0.357750
4026.14 0.230301 0.011671 0.163640 0.000000 0.320654
4031.14 0.155378 0.016668 0.154415 0.000000 0.172325
4036.14 0.159446 0.009521 0.155080 0.000000 0.180214
4041.14 0.220037 0.004763 0.157818 0.000000 0.304893
4046.14 0.245672 0.015627 0.152287 0.000000 0.364330
4051.14 0.240091 0.012281 0.164903 0.000000 0.339977
4056.15 0.206400 0.009023 0.170340 0.000000 0.263693
4061.15 0.171422 0.012649 0.165137 0.000000 0.195341
4066.15 0.190839 0.007888 0.163625 0.000000 0.237685
4071.15 0.246962 0.010490 0.162853 0.000000 0.356477
4076.15 0.222035 0.016505 0.165095 0.000000 0.301816
4081.15 0.195818 0.014784 0.182742 0.000000 0.229039
4086.15 0.283009 0.005198 0.208343 0.000000 0.386789
4091.15 0.349408 0.006052 0.218417 0.000000 0.516345
4096.16 0.313847 0.007788 0.199791 0.000000 0.460190
4101.16 0.273613 0.011530 0.183542 0.000000 0.391833
4106.16 0.268176 0.006619 0.191230 0.000000 0.372709
4111.16 0.270289 0.000886 0.195062 0.000000 0.373321
4116.16 0.258269 0.005153 0.191757 0.000000 0.351349
4121.16 0.252429 0.006183 0.189792 0.000000 0.341034
4126.16 0.289975 0.004790 0.193381 0.000000 0.416401
4131.17 0.299929 0.011647 0.188111 0.000000 0.442601
4136.17 0.253617 0.008728 0.186965 0.000000 0.346360
4141.17 0.213277 0.008450 0.179806 0.000000 0.268689
4146.17 0.199668 0.009022 0.172658 0.000000 0.247219
4151.17 0.207875 0.009648 0.177864 0.000000 0.259270
4156.17 0.242937 0.004626 0.192596 0.000000 0.318270
4161.17 0.272299 0.007162 0.206331 0.000000 0.366279
4166.17 0.239717 0.004952 0.202315 0.000000 0.301779
4171.18 0.189935 0.008968 0.189279 0.000000 0.210131
4176.18 0.184865 0.007772 0.186102 0.000000 0.202646
4181.18 0.242579 0.011429 0.197568 0.000000 0.312545
4186.18 0.303937 0.008736 0.209376 0.000000 0.429764
4191.18 0.297717 0.001249 0.212604 0.000000 0.413457
4196.18 0.256620 0.009017 0.202476 0.000000 0.337164
4201.18 0.236184 0.018350 0.191405 0.000000 0.305260
4206.18 0.269399 0.010787 0.205553 0.000000 0.360959
4211.19 0.289409 0.003408 0.219091 0.000000 0.389501
4216.19 0.230551 0.016305 0.213872 0.000000 0.270947
4221.19 0.154828 0.022307 0.190898 0.000000 0.134687
4226.19 0.107554 0.037081 0.145125 0.000000 0.081048
4231.19 0.127298 0.038644 0.140832 0.000000 0.126860
4236.19 0.201851 0.037364 0.179877 0.000000 0.244590
4241.19 0.283156 0.020836 0.230595 0.000000 0.364847
4246.20 0.304480 0.004299 0.257974 0.000000 0.382308
