# lk ukf_m5iii uks_m5iii fh fl fk fm
# lRMS=0.1901770234 iRMS=0.147836566 0
# 
3445.99 0.040144 0.000000 0.026220 0.000000 0.000000 0.073402
3450.99 0.058221 0.000000 0.027406 0.000000 0.000000 0.117077
3455.99 0.062936 0.000000 0.029090 0.000000 0.000000 0.127095
3460.99 0.068359 0.000000 0.030282 0.000000 0.000000 0.139360
3465.99 0.078548 0.000000 0.030308 0.000000 0.000000 0.164619
3470.99 0.061201 0.000000 0.030591 0.000000 0.000000 0.121287
3475.99 0.043464 0.000000 0.032366 0.000000 0.000000 0.075496
3481.00 0.062147 0.000000 0.034022 0.000000 0.000000 0.120204
3486.00 0.076552 0.000000 0.033924 0.000000 0.000000 0.156049
3491.00 0.070218 0.000000 0.033175 0.000000 0.000000 0.141080
3496.00 0.062889 0.000000 0.033170 0.000000 0.000000 0.122898
3501.00 0.065615 0.000000 0.033736 0.000000 0.000000 0.129096
3506.00 0.075902 0.000000 0.034292 0.000000 0.000000 0.154067
3511.00 0.097377 0.043807 0.089459 0.000000 0.000000 0.152195
3516.01 0.081764 0.042877 0.088469 0.000000 0.000000 0.114438
3521.01 0.062914 0.040182 0.084041 0.000000 0.000000 0.072089
3526.01 0.075132 0.038156 0.081712 0.000000 0.000000 0.104738
3531.01 0.125178 0.042203 0.089829 0.000000 0.000000 0.220815
3536.01 0.161393 0.046775 0.100615 0.000000 0.000000 0.299903
3541.01 0.179853 0.047889 0.106432 0.000000 0.000000 0.339897
3546.01 0.185726 0.043347 0.102377 0.000000 0.000000 0.358525
3551.01 0.168032 0.039295 0.096483 0.000000 0.000000 0.320511
3556.02 0.146350 0.044857 0.101505 0.000000 0.000000 0.261680
3561.02 0.132796 0.044586 0.099714 0.000000 0.000000 0.229837
3566.02 0.105675 0.033503 0.085655 0.000000 0.000000 0.176592
3571.02 0.068121 0.024899 0.073890 0.000000 0.000000 0.095161
3576.02 0.040710 0.020780 0.065240 0.000000 0.000000 0.035787
3581.02 0.039977 0.022681 0.064444 0.000000 0.000000 0.034763
3586.02 0.059471 0.028868 0.072071 0.000000 0.000000 0.075515
3591.02 0.060359 0.033832 0.081341 0.000000 0.000000 0.068448
3596.03 0.053695 0.038912 0.092970 0.000000 0.000000 0.040282
3601.03 0.073137 0.033238 0.095030 0.000000 0.000000 0.086469
3606.03 0.087334 0.029292 0.090104 0.000000 0.000000 0.126627
3611.03 0.081654 0.034954 0.090210 0.000000 0.000000 0.112425
3616.03 0.095447 0.036522 0.097662 0.000000 0.000000 0.139203
3621.03 0.114693 0.033613 0.104772 0.000000 0.000000 0.179854
3626.03 0.112973 0.042847 0.115753 0.000000 0.000000 0.164605
3631.03 0.102380 0.044631 0.117231 0.000000 0.000000 0.136838
3636.04 0.107585 0.039331 0.114562 0.000000 0.000000 0.152425
3641.04 0.141665 0.042445 0.119073 0.000000 0.000000 0.232486
3646.04 0.150774 0.038281 0.115183 0.000000 0.000000 0.258982
3651.04 0.140827 0.038743 0.116696 0.000000 0.000000 0.232785
3656.04 0.210158 0.048290 0.131111 0.000000 0.000000 0.390423
3661.04 0.265731 0.051915 0.141262 0.000000 0.000000 0.518183
3666.04 0.198081 0.047781 0.140848 0.000000 0.000000 0.350715
3671.05 0.170421 0.047228 0.141091 0.000000 0.000000 0.281830
3676.05 0.197428 0.054469 0.145562 0.000000 0.000000 0.344381
3681.05 0.135692 0.048123 0.137572 0.000000 0.000000 0.199166
3686.05 0.095153 0.040855 0.129738 0.000000 0.000000 0.106397
3691.05 0.163448 0.040887 0.130756 0.000000 0.000000 0.274860
3696.05 0.249022 0.049383 0.140712 0.000000 0.000000 0.477269
3701.05 0.266563 0.055048 0.146879 0.000000 0.000000 0.514632
3706.05 0.180567 0.042044 0.136144 0.000000 0.000000 0.311957
3711.06 0.114094 0.045140 0.137656 0.000000 0.000000 0.145483
3716.06 0.124655 0.055266 0.138441 0.000000 0.000000 0.170906
3721.06 0.125049 0.038334 0.116183 0.000000 0.000000 0.194142
3726.06 0.104126 0.035649 0.107655 0.000000 0.000000 0.150748
3731.06 0.077393 0.034040 0.103147 0.000000 0.000000 0.088914
3736.06 0.077828 0.025290 0.095393 0.000000 0.000000 0.097746
3741.06 0.099611 0.032460 0.102681 0.000000 0.000000 0.144517
3746.06 0.085762 0.027948 0.103296 0.000000 0.000000 0.109533
3751.07 0.085508 0.032580 0.112543 0.000000 0.000000 0.099656
3756.07 0.120458 0.049095 0.129268 0.000000 0.000000 0.169665
3761.07 0.122197 0.038584 0.127189 0.000000 0.000000 0.176059
3766.07 0.133562 0.038192 0.136253 0.000000 0.000000 0.195199
3771.07 0.214196 0.053836 0.160641 0.000000 0.000000 0.370913
3776.07 0.322275 0.061850 0.177447 0.000000 0.000000 0.622320
3781.07 0.369574 0.062279 0.178881 0.000000 0.000000 0.738265
3786.08 0.273469 0.055675 0.161897 0.000000 0.000000 0.516752
3791.08 0.168654 0.041742 0.138373 0.000000 0.000000 0.280163
3796.08 0.168425 0.039895 0.136267 0.000000 0.000000 0.281702
3801.08 0.205669 0.047686 0.148562 0.000000 0.000000 0.361833
3806.08 0.224020 0.054767 0.157560 0.000000 0.000000 0.398374
3811.08 0.198775 0.051100 0.150652 0.000000 0.000000 0.342634
3816.08 0.147336 0.041606 0.131370 0.000000 0.000000 0.234264
3821.08 0.098906 0.029071 0.111754 0.000000 0.000000 0.133695
3826.09 0.083876 0.024222 0.108389 0.000000 0.000000 0.099759
3831.09 0.095416 0.030711 0.118842 0.000000 0.000000 0.117946
3836.09 0.114897 0.031252 0.125224 0.000000 0.000000 0.159907
3841.09 0.164854 0.032593 0.130487 0.000000 0.000000 0.278620
3846.09 0.213457 0.039354 0.137045 0.000000 0.000000 0.392676
3851.09 0.187543 0.041439 0.137000 0.000000 0.000000 0.328411
3856.09 0.140826 0.035416 0.128979 0.000000 0.000000 0.220499
3861.09 0.129862 0.028746 0.124070 0.000000 0.000000 0.198200
3866.10 0.139029 0.040369 0.138375 0.000000 0.000000 0.206644
3871.10 0.151765 0.045911 0.148051 0.000000 0.000000 0.228574
3876.10 0.157391 0.037921 0.142909 0.000000 0.000000 0.247676
3881.10 0.123917 0.040668 0.144532 0.000000 0.000000 0.162985
3886.10 0.097550 0.038558 0.149125 0.000000 0.000000 0.092959
3891.10 0.182256 0.048529 0.162740 0.000000 0.000000 0.289553
3896.10 0.252001 0.057962 0.170306 0.000000 0.000000 0.455068
3901.10 0.199374 0.053058 0.167632 0.000000 0.000000 0.327140
3906.11 0.185868 0.051839 0.171925 0.000000 0.000000 0.289329
3911.11 0.238276 0.061380 0.181603 0.000000 0.000000 0.409710
3916.11 0.224390 0.056115 0.172259 0.000000 0.000000 0.384594
3921.11 0.160219 0.041035 0.145762 0.000000 0.000000 0.251843
3926.11 0.100504 0.031215 0.115008 0.000000 0.000000 0.134407
3931.11 0.061719 0.019908 0.087312 0.000000 0.000000 0.065852
3936.11 0.050215 0.017486 0.083779 0.000000 0.000000 0.040836
3941.12 0.066967 0.024629 0.106237 0.000000 0.000000 0.059951
3946.12 0.127850 0.029235 0.137553 0.000000 0.000000 0.179723
3951.12 0.189552 0.048761 0.172165 0.000000 0.000000 0.298232
3956.12 0.152943 0.054756 0.168656 0.000000 0.000000 0.210891
