# lk ukf_m4v uks_m4v fh fse fl
# iRMS=0.001250443514 0
# 
3526.01 0.054616 0.000000 0.054616 0.000000 0.000000
3531.01 0.063401 0.000000 0.063401 0.000000 0.000000
3536.01 0.081695 0.000000 0.081695 0.000000 0.000000
3541.01 0.095858 0.000000 0.095858 0.000000 0.000000
3546.01 0.096384 0.000000 0.096384 0.000000 0.000000
3551.01 0.092440 0.000000 0.092440 0.000000 0.000000
3556.02 0.092685 0.000000 0.092685 0.000000 0.000000
3561.02 0.085057 0.000000 0.085057 0.000000 0.000000
3566.02 0.060802 0.000000 0.060802 0.000000 0.000000
3571.02 0.045112 0.000000 0.045112 0.000000 0.000000
3576.02 0.060285 0.000000 0.060285 0.000000 0.000000
3581.02 0.083108 0.000000 0.083108 0.000000 0.000000
3586.02 0.086792 0.000000 0.086792 0.000000 0.000000
3591.02 0.075771 0.000000 0.075771 0.000000 0.000000
3596.03 0.061362 0.000000 0.061362 0.000000 0.000000
3601.03 0.051200 0.000000 0.051200 0.000000 0.000000
3606.03 0.050212 0.000000 0.050212 0.000000 0.000000
3611.03 0.056188 0.000000 0.056188 0.000000 0.000000
3616.03 0.065129 0.000000 0.065129 0.000000 0.000000
3621.03 0.073026 0.000000 0.073026 0.000000 0.000000
3626.03 0.076258 0.000000 0.076258 0.000000 0.000000
3631.03 0.072770 0.000000 0.072770 0.000000 0.000000
3636.04 0.063199 0.000000 0.063199 0.000000 0.000000
3641.04 0.057397 0.000000 0.057397 0.000000 0.000000
3646.04 0.062923 0.000000 0.062923 0.000000 0.000000
3651.04 0.068939 0.000000 0.068939 0.000000 0.000000
3656.04 0.065079 0.000000 0.065079 0.000000 0.000000
3661.04 0.061253 0.000000 0.061253 0.000000 0.000000
3666.04 0.068054 0.000000 0.068054 0.000000 0.000000
3671.05 0.078533 0.000000 0.078533 0.000000 0.000000
3676.05 0.083525 0.000000 0.083525 0.000000 0.000000
3681.05 0.082540 0.000000 0.082540 0.000000 0.000000
3686.05 0.077126 0.000000 0.077126 0.000000 0.000000
3691.05 0.068301 0.000000 0.068301 0.000000 0.000000
3696.05 0.058790 0.000000 0.058790 0.000000 0.000000
3701.05 0.058693 0.000000 0.058693 0.000000 0.000000
3706.05 0.072950 0.000000 0.072950 0.000000 0.000000
3711.06 0.078482 0.000000 0.078482 0.000000 0.000000
3716.06 0.054867 0.000000 0.054867 0.000000 0.000000
3721.06 0.020326 0.000000 0.020326 0.000000 0.000000
3726.06 0.000000 0.000000 0.000000 0.000000 0.000000
3731.06 0.000000 0.000000 0.000000 0.000000 0.000000
3736.06 0.023552 0.000000 0.023552 0.000000 0.000000
3741.06 0.049022 0.000000 0.049022 0.000000 0.000000
3746.06 0.057948 0.000000 0.057948 0.000000 0.000000
3751.07 0.061339 0.000000 0.061339 0.000000 0.000000
3756.07 0.072693 0.000000 0.072693 0.000000 0.000000
3761.07 0.085990 0.000000 0.085990 0.000000 0.000000
3766.07 0.093603 0.000000 0.093603 0.000000 0.000000
3771.07 0.100984 0.000000 0.100984 0.000000 0.000000
3776.07 0.113449 0.000000 0.113449 0.000000 0.000000
3781.07 0.122693 0.000000 0.122693 0.000000 0.000000
3786.08 0.119663 0.000000 0.119663 0.000000 0.000000
3791.08 0.105955 0.000000 0.105955 0.000000 0.000000
3796.08 0.087767 0.000000 0.087767 0.000000 0.000000
3801.08 0.079054 0.000000 0.079054 0.000000 0.000000
3806.08 0.089299 0.000000 0.089299 0.000000 0.000000
3811.08 0.102325 0.000000 0.102325 0.000000 0.000000
3816.08 0.100884 0.000000 0.100884 0.000000 0.000000
3821.08 0.089118 0.000000 0.089118 0.000000 0.000000
3826.09 0.075246 0.000000 0.075246 0.000000 0.000000
3831.09 0.062414 0.000000 0.062414 0.000000 0.000000
3836.09 0.054239 0.000000 0.054239 0.000000 0.000000
3841.09 0.061284 0.000000 0.061284 0.000000 0.000000
3846.09 0.088900 0.000000 0.088900 0.000000 0.000000
3851.09 0.114655 0.000000 0.114655 0.000000 0.000000
3856.09 0.116411 0.000000 0.116411 0.000000 0.000000
3861.09 0.101005 0.000000 0.101005 0.000000 0.000000
3866.10 0.083027 0.000000 0.083027 0.000000 0.000000
3871.10 0.079092 0.000000 0.079092 0.000000 0.000000
3876.10 0.096934 0.000000 0.096934 0.000000 0.000000
3881.10 0.106726 0.000000 0.106726 0.000000 0.000000
3886.10 0.085003 0.000000 0.085003 0.000000 0.000000
3891.10 0.071302 0.000000 0.071302 0.000000 0.000000
3896.10 0.102057 0.000000 0.102057 0.000000 0.000000
3901.10 0.138285 0.000000 0.138285 0.000000 0.000000
3906.11 0.114480 0.027546 0.114480 0.000000 0.000000
3911.11 0.112364 0.002490 0.112364 0.000000 0.000000
3916.11 0.127204 0.037648 0.127204 0.000000 0.000000
