# lk ukf_g8i uks_g8i fh fse fl fk
# iRMS=0.0002441611141 0
# 
3450.99 0.075333 0.000000 0.075333 0.000000 0.000000 0.000000
3455.99 0.078901 0.000000 0.078901 0.000000 0.000000 0.000000
3460.99 0.083197 0.000000 0.083197 0.000000 0.000000 0.000000
3465.99 0.085991 0.000000 0.085991 0.000000 0.000000 0.000000
3470.99 0.086283 0.000000 0.086283 0.000000 0.000000 0.000000
3475.99 0.084050 0.000000 0.084050 0.000000 0.000000 0.000000
3481.00 0.081953 0.000000 0.081953 0.000000 0.000000 0.000000
3486.00 0.082502 0.000000 0.082502 0.000000 0.000000 0.000000
3491.00 0.084904 0.000000 0.084904 0.000000 0.000000 0.000000
3496.00 0.087918 0.000000 0.087918 0.000000 0.000000 0.000000
3501.00 0.091794 0.000000 0.091794 0.000000 0.000000 0.000000
3506.00 0.096278 0.000000 0.096278 0.000000 0.000000 0.000000
3511.00 0.115821 0.025429 0.115821 0.000000 0.000000 0.000000
3516.01 0.115171 0.023847 0.115171 0.000000 0.000000 0.000000
3521.01 0.109250 0.024936 0.109250 0.000000 0.000000 0.000000
3526.01 0.103996 0.024187 0.103996 0.000000 0.000000 0.000000
3531.01 0.113686 0.025521 0.113686 0.000000 0.000000 0.000000
3536.01 0.125703 0.031332 0.125703 0.000000 0.000000 0.000000
3541.01 0.130205 0.034883 0.130205 0.000000 0.000000 0.000000
3546.01 0.127735 0.032618 0.127735 0.000000 0.000000 0.000000
3551.01 0.119777 0.029082 0.119777 0.000000 0.000000 0.000000
3556.02 0.114070 0.027650 0.114070 0.000000 0.000000 0.000000
3561.02 0.108115 0.028036 0.108115 0.000000 0.000000 0.000000
3566.02 0.098612 0.026991 0.098612 0.000000 0.000000 0.000000
3571.02 0.090700 0.025445 0.090700 0.000000 0.000000 0.000000
3576.02 0.089606 0.021913 0.089606 0.000000 0.000000 0.000000
3581.02 0.082408 0.024256 0.082408 0.000000 0.000000 0.000000
3586.02 0.077895 0.026694 0.077895 0.000000 0.000000 0.000000
3591.02 0.089036 0.026053 0.089036 0.000000 0.000000 0.000000
3596.03 0.111464 0.026459 0.111464 0.000000 0.000000 0.000000
3601.03 0.128633 0.022574 0.128633 0.000000 0.000000 0.000000
3606.03 0.123033 0.017934 0.123033 0.000000 0.000000 0.000000
3611.03 0.114126 0.019104 0.114126 0.000000 0.000000 0.000000
3616.03 0.117308 0.022188 0.117308 0.000000 0.000000 0.000000
3621.03 0.123079 0.031534 0.123079 0.000000 0.000000 0.000000
3626.03 0.140909 0.034602 0.140909 0.000000 0.000000 0.000000
3631.03 0.149500 0.029693 0.149500 0.000000 0.000000 0.000000
3636.04 0.144649 0.026092 0.144649 0.000000 0.000000 0.000000
3641.04 0.154428 0.027930 0.154428 0.000000 0.000000 0.000000
3646.04 0.149359 0.024919 0.149359 0.000000 0.000000 0.000000
3651.04 0.146107 0.027282 0.146107 0.000000 0.000000 0.000000
3656.04 0.170038 0.033795 0.170038 0.000000 0.000000 0.000000
3661.04 0.190517 0.038453 0.190517 0.000000 0.000000 0.000000
3666.04 0.190847 0.032669 0.190847 0.000000 0.000000 0.000000
3671.05 0.185265 0.027988 0.185265 0.000000 0.000000 0.000000
3676.05 0.182872 0.027665 0.182872 0.000000 0.000000 0.000000
3681.05 0.172286 0.024162 0.172286 0.000000 0.000000 0.000000
3686.05 0.166971 0.020719 0.166971 0.000000 0.000000 0.000000
3691.05 0.173879 0.023266 0.173879 0.000000 0.000000 0.000000
3696.05 0.190030 0.026588 0.190030 0.000000 0.000000 0.000000
3701.05 0.195806 0.022773 0.195806 0.000000 0.000000 0.000000
3706.05 0.176996 0.011365 0.176996 0.000000 0.000000 0.000000
3711.06 0.168533 0.015601 0.168533 0.000000 0.000000 0.000000
3716.06 0.178500 0.013353 0.178500 0.000000 0.000000 0.000000
3721.06 0.158237 0.010234 0.158237 0.000000 0.000000 0.000000
3726.06 0.149116 0.010821 0.149116 0.000000 0.000000 0.000000
3731.06 0.141531 0.008444 0.141531 0.000000 0.000000 0.000000
3736.06 0.124476 0.020435 0.124476 0.000000 0.000000 0.000000
3741.06 0.125746 0.014670 0.125746 0.000000 0.000000 0.000000
3746.06 0.125185 0.015256 0.125185 0.000000 0.000000 0.000000
3751.07 0.127543 0.020123 0.127543 0.000000 0.000000 0.000000
3756.07 0.144932 0.007503 0.144932 0.000000 0.000000 0.000000
3761.07 0.138914 0.017082 0.138914 0.000000 0.000000 0.000000
3766.07 0.144504 0.018745 0.144504 0.000000 0.000000 0.000000
3771.07 0.165931 0.017366 0.165931 0.000000 0.000000 0.000000
3776.07 0.184477 0.018732 0.184477 0.000000 0.000000 0.000000
3781.07 0.193096 0.015567 0.193096 0.000000 0.000000 0.000000
3786.08 0.179209 0.009800 0.179209 0.000000 0.000000 0.000000
3791.08 0.151521 0.016883 0.151521 0.000000 0.000000 0.000000
3796.08 0.140677 0.017038 0.140677 0.000000 0.000000 0.000000
3801.08 0.146067 0.016673 0.146067 0.000000 0.000000 0.000000
3806.08 0.158929 0.015041 0.158929 0.000000 0.000000 0.000000
3811.08 0.156051 0.013913 0.156051 0.000000 0.000000 0.000000
3816.08 0.135918 0.017164 0.135918 0.000000 0.000000 0.000000
3821.08 0.113804 0.020868 0.113804 0.000000 0.000000 0.000000
3826.09 0.103912 0.020361 0.103912 0.000000 0.000000 0.000000
3831.09 0.103134 0.018174 0.103134 0.000000 0.000000 0.000000
3836.09 0.103701 0.019719 0.103701 0.000000 0.000000 0.000000
3841.09 0.108865 0.022505 0.108865 0.000000 0.000000 0.000000
3846.09 0.117915 0.023617 0.117915 0.000000 0.000000 0.000000
3851.09 0.118877 0.025174 0.118877 0.000000 0.000000 0.000000
3856.09 0.114516 0.025401 0.114516 0.000000 0.000000 0.000000
3861.09 0.111153 0.026972 0.111153 0.000000 0.000000 0.000000
3866.10 0.113530 0.026907 0.113530 0.000000 0.000000 0.000000
3871.10 0.113543 0.026708 0.113543 0.000000 0.000000 0.000000
3876.10 0.117657 0.022007 0.117657 0.000000 0.000000 0.000000
3881.10 0.125603 0.019009 0.125603 0.000000 0.000000 0.000000
3886.10 0.144098 0.010487 0.144098 0.000000 0.000000 0.000000
3891.10 0.169785 0.003515 0.169785 0.000000 0.000000 0.000000
3896.10 0.189462 0.001464 0.189462 0.000000 0.000000 0.000000
3901.10 0.193928 0.007253 0.193928 0.000000 0.000000 0.000000
3906.11 0.193853 0.008995 0.193853 0.000000 0.000000 0.000000
3911.11 0.198927 0.001992 0.198927 0.000000 0.000000 0.000000
3916.11 0.192889 0.008099 0.192889 0.000000 0.000000 0.000000
3921.11 0.169958 0.017635 0.169958 0.000000 0.000000 0.000000
3926.11 0.135448 0.014022 0.135448 0.000000 0.000000 0.000000
3931.11 0.095147 0.018470 0.095147 0.000000 0.000000 0.000000
3936.11 0.082569 0.019740 0.082569 0.000000 0.000000 0.000000
3941.12 0.107195 0.015374 0.107195 0.000000 0.000000 0.000000
3946.12 0.144724 0.010514 0.144724 0.000000 0.000000 0.000000
3951.12 0.181631 0.003271 0.181631 0.000000 0.000000 0.000000
3956.12 0.193532 0.007734 0.193532 0.000000 0.000000 0.000000
3961.12 0.167253 0.016078 0.167253 0.000000 0.000000 0.000000
