# lk ukf_rk4iii uks_rk4iii fh fse fl
# iRMS=5.877976946e-05 0
# 
3000.87 0.009740 0.000000 0.009740 0.000000 0.000000
3005.88 0.009882 0.000000 0.009882 0.000000 0.000000
3010.88 0.010044 0.000000 0.010044 0.000000 0.000000
3015.88 0.010231 0.000000 0.010231 0.000000 0.000000
3020.88 0.010449 0.000000 0.010449 0.000000 0.000000
3025.88 0.010702 0.000000 0.010702 0.000000 0.000000
3030.88 0.010995 0.000000 0.010995 0.000000 0.000000
3035.88 0.011332 0.000000 0.011332 0.000000 0.000000
3040.88 0.011719 0.000000 0.011719 0.000000 0.000000
3045.89 0.012161 0.000000 0.012161 0.000000 0.000000
3050.89 0.012662 0.000000 0.012662 0.000000 0.000000
3055.89 0.013225 0.000000 0.013225 0.000000 0.000000
3060.89 0.013842 0.000000 0.013842 0.000000 0.000000
3065.89 0.014503 0.000000 0.014503 0.000000 0.000000
3070.89 0.015196 0.000000 0.015196 0.000000 0.000000
3075.89 0.015913 0.000000 0.015913 0.000000 0.000000
3080.89 0.016643 0.000000 0.016643 0.000000 0.000000
3085.90 0.017374 0.000000 0.017374 0.000000 0.000000
3090.90 0.018098 0.000000 0.018098 0.000000 0.000000
3095.90 0.018804 0.000000 0.018804 0.000000 0.000000
3100.90 0.019481 0.000000 0.019481 0.000000 0.000000
3105.90 0.020121 0.000000 0.020121 0.000000 0.000000
3110.90 0.020731 0.000000 0.020731 0.000000 0.000000
3115.90 0.021315 0.000000 0.021315 0.000000 0.000000
3120.90 0.021882 0.000000 0.021882 0.000000 0.000000
3125.91 0.022440 0.000000 0.022440 0.000000 0.000000
3130.91 0.022994 0.000000 0.022994 0.000000 0.000000
3135.91 0.023552 0.000000 0.023552 0.000000 0.000000
3140.91 0.024122 0.000000 0.024122 0.000000 0.000000
3145.91 0.024710 0.000000 0.024710 0.000000 0.000000
3150.91 0.025325 0.000000 0.025325 0.000000 0.000000
3155.91 0.025968 0.000000 0.025968 0.000000 0.000000
3160.91 0.054272 0.029862 0.054272 0.000000 0.000000
3165.92 0.059344 0.034634 0.059344 0.000000 0.000000
3170.92 0.060993 0.035733 0.060993 0.000000 0.000000
3175.92 0.057352 0.031163 0.057352 0.000000 0.000000
3180.92 0.052772 0.025642 0.052772 0.000000 0.000000
3185.92 0.051567 0.023851 0.051567 0.000000 0.000000
3190.92 0.051701 0.023609 0.051701 0.000000 0.000000
3195.92 0.050552 0.022107 0.050552 0.000000 0.000000
3200.92 0.068835 0.000000 0.068835 0.000000 0.000000
3205.93 0.069847 0.000000 0.069847 0.000000 0.000000
3210.93 0.068987 0.000000 0.068987 0.000000 0.000000
3215.93 0.061820 0.000000 0.061820 0.000000 0.000000
3220.93 0.054371 0.000000 0.054371 0.000000 0.000000
3225.93 0.053046 0.000000 0.053046 0.000000 0.000000
3230.93 0.055345 0.000000 0.055345 0.000000 0.000000
3235.93 0.057463 0.000000 0.057463 0.000000 0.000000
3240.94 0.059283 0.000000 0.059283 0.000000 0.000000
3245.94 0.061493 0.000000 0.061493 0.000000 0.000000
3250.94 0.064294 0.000000 0.064294 0.000000 0.000000
3255.94 0.067529 0.000000 0.067529 0.000000 0.000000
3260.94 0.070075 0.000000 0.070075 0.000000 0.000000
3265.94 0.070937 0.000000 0.070937 0.000000 0.000000
3270.94 0.070598 0.000000 0.070598 0.000000 0.000000
3275.94 0.070064 0.000000 0.070064 0.000000 0.000000
3280.95 0.070936 0.000000 0.070936 0.000000 0.000000
3285.95 0.074560 0.000000 0.074560 0.000000 0.000000
3290.95 0.080666 0.000000 0.080666 0.000000 0.000000
3295.95 0.087752 0.000000 0.087752 0.000000 0.000000
3300.95 0.091016 0.000000 0.091016 0.000000 0.000000
3305.95 0.087019 0.000000 0.087019 0.000000 0.000000
3310.95 0.081076 0.000000 0.081076 0.000000 0.000000
3315.95 0.078942 0.000000 0.078942 0.000000 0.000000
3320.96 0.079388 0.000000 0.079388 0.000000 0.000000
3325.96 0.080028 0.000000 0.080028 0.000000 0.000000
3330.96 0.080840 0.000000 0.080840 0.000000 0.000000
3335.96 0.082368 0.000000 0.082368 0.000000 0.000000
3340.96 0.085054 0.000000 0.085054 0.000000 0.000000
3345.96 0.088646 0.000000 0.088646 0.000000 0.000000
3350.96 0.090223 0.000000 0.090223 0.000000 0.000000
3355.96 0.087293 0.000000 0.087293 0.000000 0.000000
3360.97 0.081741 0.000000 0.081741 0.000000 0.000000
3365.97 0.076481 0.000000 0.076481 0.000000 0.000000
3370.97 0.074155 0.000000 0.074155 0.000000 0.000000
3375.97 0.076177 0.000000 0.076177 0.000000 0.000000
3380.97 0.079322 0.000000 0.079322 0.000000 0.000000
3385.97 0.080673 0.000000 0.080673 0.000000 0.000000
3390.97 0.083197 0.000000 0.083197 0.000000 0.000000
3395.97 0.089420 0.000000 0.089420 0.000000 0.000000
3400.98 0.094235 0.000000 0.094235 0.000000 0.000000
3405.98 0.092927 0.000000 0.092927 0.000000 0.000000
3410.98 0.090000 0.000000 0.090000 0.000000 0.000000
3415.98 0.090728 0.000000 0.090728 0.000000 0.000000
3420.98 0.094257 0.000000 0.094257 0.000000 0.000000
3425.98 0.097680 0.000000 0.097680 0.000000 0.000000
3430.98 0.096012 0.000000 0.096012 0.000000 0.000000
3435.98 0.086475 0.000000 0.086475 0.000000 0.000000
3440.99 0.077208 0.000000 0.077208 0.000000 0.000000
3445.99 0.076383 0.000000 0.076383 0.000000 0.000000
3450.99 0.081378 0.000000 0.081378 0.000000 0.000000
3455.99 0.087129 0.000000 0.087129 0.000000 0.000000
3460.99 0.089576 0.000000 0.089576 0.000000 0.000000
3465.99 0.086735 0.000000 0.086735 0.000000 0.000000
3470.99 0.083925 0.000000 0.083925 0.000000 0.000000
3475.99 0.085937 0.000000 0.085937 0.000000 0.000000
3481.00 0.088149 0.000000 0.088149 0.000000 0.000000
3486.00 0.086033 0.000000 0.086033 0.000000 0.000000
3491.00 0.084869 0.000000 0.084869 0.000000 0.000000
3496.00 0.090096 0.000000 0.090096 0.000000 0.000000
3501.00 0.098002 0.000000 0.098002 0.000000 0.000000
3506.00 0.103188 0.000000 0.103188 0.000000 0.000000
3511.00 0.073161 0.025527 0.073161 0.000000 0.000000
3516.01 0.072139 0.020060 0.072139 0.000000 0.000000
3521.01 0.067986 0.018911 0.067986 0.000000 0.000000
3526.01 0.070285 0.017535 0.070285 0.000000 0.000000
3531.01 0.081363 0.012670 0.081363 0.000000 0.000000
3536.01 0.087948 0.013208 0.087948 0.000000 0.000000
3541.01 0.090749 0.013488 0.090749 0.000000 0.000000
3546.01 0.087478 0.015692 0.087478 0.000000 0.000000
3551.01 0.081223 0.016638 0.081223 0.000000 0.000000
3556.02 0.073793 0.015909 0.073793 0.000000 0.000000
3561.02 0.066113 0.016341 0.066113 0.000000 0.000000
3566.02 0.060900 0.017599 0.060900 0.000000 0.000000
3571.02 0.059526 0.015583 0.059526 0.000000 0.000000
3576.02 0.053494 0.014883 0.053494 0.000000 0.000000
3581.02 0.044806 0.017767 0.044806 0.000000 0.000000
3586.02 0.046937 0.017349 0.046937 0.000000 0.000000
3591.02 0.058898 0.016125 0.058898 0.000000 0.000000
3596.03 0.077498 0.011545 0.077498 0.000000 0.000000
3601.03 0.080232 0.014252 0.080232 0.000000 0.000000
3606.03 0.072552 0.021430 0.072552 0.000000 0.000000
3611.03 0.056758 0.011030 0.056758 0.000000 0.000000
3616.03 0.065433 0.010272 0.065433 0.000000 0.000000
3621.03 0.076957 0.010800 0.076957 0.000000 0.000000
3626.03 0.084615 0.012274 0.084615 0.000000 0.000000
3631.03 0.079879 0.013701 0.079879 0.000000 0.000000
3636.04 0.089394 0.011583 0.089394 0.000000 0.000000
3641.04 0.099672 0.006803 0.099672 0.000000 0.000000
3646.04 0.084640 0.013241 0.084640 0.000000 0.000000
3651.04 0.082901 0.021478 0.082901 0.000000 0.000000
3656.04 0.105404 0.020727 0.105404 0.000000 0.000000
3661.04 0.120501 0.015073 0.120501 0.000000 0.000000
3666.04 0.118867 0.016016 0.118867 0.000000 0.000000
3671.05 0.113642 0.014980 0.113642 0.000000 0.000000
3676.05 0.110122 0.011590 0.110122 0.000000 0.000000
3681.05 0.099840 0.012655 0.099840 0.000000 0.000000
3686.05 0.093558 0.014000 0.093558 0.000000 0.000000
3691.05 0.098486 0.016464 0.098486 0.000000 0.000000
3696.05 0.111093 0.014946 0.111093 0.000000 0.000000
3701.05 0.113698 0.008393 0.113698 0.000000 0.000000
3706.05 0.094763 0.015340 0.094763 0.000000 0.000000
3711.06 0.090224 0.012486 0.090224 0.000000 0.000000
3716.06 0.086267 0.011438 0.086267 0.000000 0.000000
3721.06 0.067477 0.012521 0.067477 0.000000 0.000000
3726.06 0.064073 0.007957 0.064073 0.000000 0.000000
3731.06 0.058058 0.006892 0.058058 0.000000 0.000000
3736.06 0.050283 0.009560 0.050283 0.000000 0.000000
3741.06 0.052714 0.005456 0.052714 0.000000 0.000000
3746.06 0.052558 0.007552 0.052558 0.000000 0.000000
3751.07 0.059382 0.008773 0.059382 0.000000 0.000000
3756.07 0.068906 0.009114 0.068906 0.000000 0.000000
3761.07 0.068589 0.010558 0.068589 0.000000 0.000000
3766.07 0.080009 0.011019 0.080009 0.000000 0.000000
3771.07 0.101241 0.011969 0.101241 0.000000 0.000000
3776.07 0.111662 0.013674 0.111662 0.000000 0.000000
3781.07 0.109191 0.013120 0.109191 0.000000 0.000000
3786.08 0.094564 0.011793 0.094564 0.000000 0.000000
3791.08 0.077203 0.011820 0.077203 0.000000 0.000000
3796.08 0.074105 0.010472 0.074105 0.000000 0.000000
3801.08 0.081534 0.010196 0.081534 0.000000 0.000000
3806.08 0.088557 0.008990 0.088557 0.000000 0.000000
3811.08 0.081315 0.007148 0.081315 0.000000 0.000000
3816.08 0.064041 0.006060 0.064041 0.000000 0.000000
3821.08 0.050047 0.005102 0.050047 0.000000 0.000000
3826.09 0.046419 0.004889 0.046419 0.000000 0.000000
3831.09 0.049153 0.004937 0.049153 0.000000 0.000000
3836.09 0.053079 0.005331 0.053079 0.000000 0.000000
3841.09 0.059470 0.006139 0.059470 0.000000 0.000000
3846.09 0.067351 0.005129 0.067351 0.000000 0.000000
3851.09 0.068103 0.005078 0.068103 0.000000 0.000000
3856.09 0.062518 0.005660 0.062518 0.000000 0.000000
3861.09 0.058497 0.006564 0.058497 0.000000 0.000000
3866.10 0.060986 0.005957 0.060986 0.000000 0.000000
3871.10 0.063227 0.006285 0.063227 0.000000 0.000000
3876.10 0.065323 0.006744 0.065323 0.000000 0.000000
3881.10 0.069474 0.007818 0.069474 0.000000 0.000000
3886.10 0.077939 0.011285 0.077939 0.000000 0.000000
3891.10 0.092233 0.015276 0.092233 0.000000 0.000000
3896.10 0.100418 0.018534 0.100418 0.000000 0.000000
3901.10 0.099768 0.017738 0.099768 0.000000 0.000000
3906.11 0.112295 0.020793 0.112295 0.000000 0.000000
3911.11 0.117374 0.015922 0.117374 0.000000 0.000000
3916.11 0.123792 0.033738 0.123792 0.000000 0.000000
3921.11 0.110114 0.046226 0.110114 0.000000 0.000000
3926.11 0.073570 0.019627 0.073570 0.000000 0.000000
3931.11 0.047741 0.010986 0.047741 0.000000 0.000000
3936.11 0.045612 0.011728 0.045612 0.000000 0.000000
3941.12 0.057632 0.010670 0.057632 0.000000 0.000000
3946.12 0.082001 0.014642 0.082001 0.000000 0.000000
3951.12 0.112455 0.012744 0.112455 0.000000 0.000000
3956.12 0.115361 0.012838 0.115361 0.000000 0.000000
3961.12 0.080391 0.008953 0.080391 0.000000 0.000000
3966.12 0.055623 0.008179 0.055623 0.000000 0.000000
3971.12 0.066549 0.020918 0.066549 0.000000 0.000000
3976.12 0.104747 0.024869 0.104747 0.000000 0.000000
3981.13 0.141963 0.022222 0.141963 0.000000 0.000000
3986.13 0.166788 0.023204 0.166788 0.000000 0.000000
3991.13 0.180243 0.024744 0.180243 0.000000 0.000000
3996.13 0.192505 0.025295 0.192505 0.000000 0.000000
4001.13 0.209505 0.024459 0.209505 0.000000 0.000000
4006.13 0.220310 0.030070 0.220310 0.000000 0.000000
4011.13 0.226276 0.031603 0.226276 0.000000 0.000000
4016.13 0.232444 0.032734 0.232444 0.000000 0.000000
4021.14 0.240062 0.027293 0.240062 0.000000 0.000000
4026.14 0.236832 0.029026 0.236832 0.000000 0.000000
4031.14 0.217444 0.028598 0.217444 0.000000 0.000000
4036.14 0.215261 0.023898 0.215261 0.000000 0.000000
4041.14 0.217052 0.025129 0.217052 0.000000 0.000000
4046.14 0.208395 0.026767 0.208395 0.000000 0.000000
4051.14 0.220377 0.027773 0.220377 0.000000 0.000000
4056.15 0.213293 0.029052 0.213293 0.000000 0.000000
4061.15 0.204330 0.024924 0.204330 0.000000 0.000000
4066.15 0.210045 0.020265 0.210045 0.000000 0.000000
4071.15 0.221683 0.018810 0.221683 0.000000 0.000000
4076.15 0.230482 0.028560 0.230482 0.000000 0.000000
4081.15 0.249158 0.032963 0.249158 0.000000 0.000000
4086.15 0.275120 0.030659 0.275120 0.000000 0.000000
4091.15 0.280037 0.026977 0.280037 0.000000 0.000000
4096.16 0.257068 0.022356 0.257068 0.000000 0.000000
4101.16 0.240777 0.032409 0.240777 0.000000 0.000000
4106.16 0.245398 0.027661 0.245398 0.000000 0.000000
4111.16 0.246564 0.022065 0.246564 0.000000 0.000000
4116.16 0.239594 0.023963 0.239594 0.000000 0.000000
4121.16 0.238699 0.022608 0.238699 0.000000 0.000000
4126.16 0.239232 0.023366 0.239232 0.000000 0.000000
4131.17 0.228969 0.022778 0.228969 0.000000 0.000000
4136.17 0.221200 0.018943 0.221200 0.000000 0.000000
4141.17 0.206055 0.026203 0.206055 0.000000 0.000000
4146.17 0.205688 0.017762 0.205688 0.000000 0.000000
4151.17 0.210195 0.018795 0.210195 0.000000 0.000000
