# lk ukf_rk1iii uks_rk1iii fh fse fl
# iRMS=4.930442083e-05 0
# 
3000.87 0.039578 0.000000 0.039578 0.000000 0.000000
3005.88 0.039410 0.000000 0.039410 0.000000 0.000000
3010.88 0.039600 0.000000 0.039600 0.000000 0.000000
3015.88 0.040110 0.000000 0.040110 0.000000 0.000000
3020.88 0.040902 0.000000 0.040902 0.000000 0.000000
3025.88 0.041939 0.000000 0.041939 0.000000 0.000000
3030.88 0.043182 0.000000 0.043182 0.000000 0.000000
3035.88 0.044595 0.000000 0.044595 0.000000 0.000000
3040.88 0.046140 0.000000 0.046140 0.000000 0.000000
3045.89 0.047778 0.000000 0.047778 0.000000 0.000000
3050.89 0.049472 0.000000 0.049472 0.000000 0.000000
3055.89 0.051191 0.000000 0.051191 0.000000 0.000000
3060.89 0.052928 0.000000 0.052928 0.000000 0.000000
3065.89 0.054680 0.000000 0.054680 0.000000 0.000000
3070.89 0.056446 0.000000 0.056446 0.000000 0.000000
3075.89 0.058227 0.000000 0.058227 0.000000 0.000000
3080.89 0.060019 0.000000 0.060019 0.000000 0.000000
3085.90 0.061822 0.000000 0.061822 0.000000 0.000000
3090.90 0.063634 0.000000 0.063634 0.000000 0.000000
3095.90 0.065455 0.000000 0.065455 0.000000 0.000000
3100.90 0.067282 0.000000 0.067282 0.000000 0.000000
3105.90 0.069117 0.000000 0.069117 0.000000 0.000000
3110.90 0.070964 0.000000 0.070964 0.000000 0.000000
3115.90 0.072832 0.000000 0.072832 0.000000 0.000000
3120.90 0.074726 0.000000 0.074726 0.000000 0.000000
3125.91 0.076655 0.000000 0.076655 0.000000 0.000000
3130.91 0.078626 0.000000 0.078626 0.000000 0.000000
3135.91 0.080646 0.000000 0.080646 0.000000 0.000000
3140.91 0.082722 0.000000 0.082722 0.000000 0.000000
3145.91 0.084861 0.000000 0.084861 0.000000 0.000000
3150.91 0.087071 0.000000 0.087071 0.000000 0.000000
3155.91 0.089349 0.000000 0.089349 0.000000 0.000000
3160.91 0.088197 0.003787 0.088197 0.000000 0.000000
3165.92 0.094181 0.000272 0.094181 0.000000 0.000000
3170.92 0.097763 0.001781 0.097763 0.000000 0.000000
3175.92 0.096809 0.001538 0.096809 0.000000 0.000000
3180.92 0.090227 0.010826 0.090227 0.000000 0.000000
3185.92 0.079419 0.024491 0.079419 0.000000 0.000000
3190.92 0.074735 0.031140 0.074735 0.000000 0.000000
3195.92 0.083813 0.022347 0.083813 0.000000 0.000000
3200.92 0.084117 0.000000 0.084117 0.000000 0.000000
3205.93 0.078849 0.004755 0.078849 0.000000 0.000000
3210.93 0.075195 0.004486 0.075195 0.000000 0.000000
3215.93 0.068314 0.005693 0.068314 0.000000 0.000000
3220.93 0.061534 0.003847 0.061534 0.000000 0.000000
3225.93 0.057390 0.005314 0.057390 0.000000 0.000000
3230.93 0.057640 0.006555 0.057640 0.000000 0.000000
3235.93 0.062493 0.003454 0.062493 0.000000 0.000000
3240.94 0.066724 0.000515 0.066724 0.000000 0.000000
3245.94 0.066473 0.001161 0.066473 0.000000 0.000000
3250.94 0.068758 0.000958 0.068758 0.000000 0.000000
3255.94 0.079629 0.004259 0.079629 0.000000 0.000000
3260.94 0.090369 0.007766 0.090369 0.000000 0.000000
3265.94 0.091904 0.010521 0.091904 0.000000 0.000000
3270.94 0.088490 0.011010 0.088490 0.000000 0.000000
3275.94 0.086514 0.008212 0.086514 0.000000 0.000000
3280.95 0.087551 0.003635 0.087551 0.000000 0.000000
3285.95 0.091917 0.000206 0.091917 0.000000 0.000000
3290.95 0.099710 0.000726 0.099710 0.000000 0.000000
3295.95 0.109639 0.008272 0.109639 0.000000 0.000000
3300.95 0.115077 0.014030 0.115077 0.000000 0.000000
3305.95 0.110521 0.010495 0.110521 0.000000 0.000000
3310.95 0.100306 0.003990 0.100306 0.000000 0.000000
3315.95 0.091112 0.002335 0.091112 0.000000 0.000000
3320.96 0.089165 0.005507 0.089165 0.000000 0.000000
3325.96 0.096981 0.010857 0.096981 0.000000 0.000000
3330.96 0.102680 0.013067 0.102680 0.000000 0.000000
3335.96 0.096203 0.008407 0.096203 0.000000 0.000000
3340.96 0.089154 0.002154 0.089154 0.000000 0.000000
3345.96 0.093337 0.000174 0.093337 0.000000 0.000000
3350.96 0.099686 0.001669 0.099686 0.000000 0.000000
3355.96 0.097455 0.004142 0.097455 0.000000 0.000000
3360.97 0.090055 0.004914 0.090055 0.000000 0.000000
3365.97 0.083800 0.002730 0.083800 0.000000 0.000000
3370.97 0.082477 0.002208 0.082477 0.000000 0.000000
3375.97 0.087406 0.006984 0.087406 0.000000 0.000000
3380.97 0.092569 0.010903 0.092569 0.000000 0.000000
3385.97 0.092979 0.008099 0.092979 0.000000 0.000000
3390.97 0.095120 0.003648 0.095120 0.000000 0.000000
3395.97 0.104723 0.003255 0.104723 0.000000 0.000000
3400.98 0.113016 0.004196 0.113016 0.000000 0.000000
3405.98 0.111295 0.003035 0.111295 0.000000 0.000000
3410.98 0.105601 0.001920 0.105601 0.000000 0.000000
3415.98 0.103893 0.003242 0.103893 0.000000 0.000000
3420.98 0.107025 0.004773 0.107025 0.000000 0.000000
3425.98 0.112672 0.004237 0.112672 0.000000 0.000000
3430.98 0.112865 0.003774 0.112865 0.000000 0.000000
3435.98 0.101947 0.005342 0.101947 0.000000 0.000000
3440.99 0.089136 0.005730 0.089136 0.000000 0.000000
3445.99 0.084408 0.001921 0.084408 0.000000 0.000000
3450.99 0.085911 0.003160 0.085911 0.000000 0.000000
3455.99 0.089694 0.005355 0.089694 0.000000 0.000000
3460.99 0.095232 0.001517 0.095232 0.000000 0.000000
3465.99 0.101863 0.008544 0.101863 0.000000 0.000000
3470.99 0.104958 0.014208 0.104958 0.000000 0.000000
3475.99 0.101203 0.007057 0.101203 0.000000 0.000000
3481.00 0.096543 0.001716 0.096543 0.000000 0.000000
3486.00 0.097172 0.000526 0.097172 0.000000 0.000000
3491.00 0.101035 0.004140 0.101035 0.000000 0.000000
3496.00 0.105055 0.003899 0.105055 0.000000 0.000000
3501.00 0.110309 0.000841 0.110309 0.000000 0.000000
3506.00 0.117262 0.001029 0.117262 0.000000 0.000000
3511.00 0.119796 0.000491 0.119796 0.000000 0.000000
3516.01 0.112868 0.002084 0.112868 0.000000 0.000000
3521.01 0.102322 0.002729 0.102322 0.000000 0.000000
3526.01 0.096161 0.001338 0.096161 0.000000 0.000000
3531.01 0.100144 0.004601 0.100144 0.000000 0.000000
3536.01 0.115602 0.001752 0.115602 0.000000 0.000000
3541.01 0.128384 0.003377 0.128384 0.000000 0.000000
3546.01 0.125597 0.005888 0.125597 0.000000 0.000000
3551.01 0.114861 0.005762 0.114861 0.000000 0.000000
3556.02 0.106064 0.004031 0.106064 0.000000 0.000000
3561.02 0.097664 0.001059 0.097664 0.000000 0.000000
3566.02 0.086969 0.002083 0.086969 0.000000 0.000000
3571.02 0.078115 0.000846 0.078115 0.000000 0.000000
3576.02 0.074655 0.006822 0.074655 0.000000 0.000000
3581.02 0.070973 0.009512 0.070973 0.000000 0.000000
3586.02 0.063901 0.001175 0.063901 0.000000 0.000000
3591.02 0.069237 0.008111 0.069237 0.000000 0.000000
3596.03 0.098219 0.003864 0.098219 0.000000 0.000000
3601.03 0.124882 0.016522 0.124882 0.000000 0.000000
3606.03 0.124299 0.010924 0.124299 0.000000 0.000000
3611.03 0.111691 0.000000 0.111691 0.000000 0.000000
3616.03 0.107491 0.000000 0.107491 0.000000 0.000000
3621.03 0.120675 0.000000 0.120675 0.000000 0.000000
3626.03 0.141849 0.000000 0.141849 0.000000 0.000000
3631.03 0.164292 0.000000 0.164292 0.000000 0.000000
3636.04 0.180731 0.000000 0.180731 0.000000 0.000000
3641.04 0.178985 0.000000 0.178985 0.000000 0.000000
3646.04 0.156104 0.000000 0.156104 0.000000 0.000000
3651.04 0.150945 0.000000 0.150945 0.000000 0.000000
3656.04 0.193730 0.000000 0.193730 0.000000 0.000000
3661.04 0.238351 0.000000 0.238351 0.000000 0.000000
3666.04 0.237595 0.000000 0.237595 0.000000 0.000000
3671.05 0.216181 0.000000 0.216181 0.000000 0.000000
3676.05 0.206802 0.000000 0.206802 0.000000 0.000000
3681.05 0.202124 0.000000 0.202124 0.000000 0.000000
3686.05 0.191701 0.000000 0.191701 0.000000 0.000000
3691.05 0.192672 0.000000 0.192672 0.000000 0.000000
3696.05 0.217142 0.000000 0.217142 0.000000 0.000000
3701.05 0.229518 0.000000 0.229518 0.000000 0.000000
3706.05 0.199048 0.000000 0.199048 0.000000 0.000000
3711.06 0.162038 0.000000 0.162038 0.000000 0.000000
3716.06 0.157087 0.000000 0.157087 0.000000 0.000000
3721.06 0.164899 0.000000 0.164899 0.000000 0.000000
3726.06 0.158912 0.000000 0.158912 0.000000 0.000000
3731.06 0.141390 0.000000 0.141390 0.000000 0.000000
3736.06 0.120928 0.000000 0.120928 0.000000 0.000000
3741.06 0.102617 0.000000 0.102617 0.000000 0.000000
3746.06 0.091369 0.000000 0.091369 0.000000 0.000000
3751.07 0.094889 0.000000 0.094889 0.000000 0.000000
3756.07 0.116644 0.000000 0.116644 0.000000 0.000000
3761.07 0.140352 0.000000 0.140352 0.000000 0.000000
3766.07 0.151288 0.000000 0.151288 0.000000 0.000000
3771.07 0.160701 0.000000 0.160701 0.000000 0.000000
3776.07 0.179233 0.000000 0.179233 0.000000 0.000000
3781.07 0.189155 0.000000 0.189155 0.000000 0.000000
3786.08 0.173326 0.000000 0.173326 0.000000 0.000000
3791.08 0.145351 0.000000 0.145351 0.000000 0.000000
3796.08 0.124536 0.000000 0.124536 0.000000 0.000000
3801.08 0.122241 0.000000 0.122241 0.000000 0.000000
3806.08 0.139939 0.000000 0.139939 0.000000 0.000000
3811.08 0.147509 0.000000 0.147509 0.000000 0.000000
3816.08 0.119890 0.000000 0.119890 0.000000 0.000000
3821.08 0.083872 0.000000 0.083872 0.000000 0.000000
3826.09 0.096078 0.028750 0.096078 0.000000 0.000000
3831.09 0.085895 0.016681 0.085895 0.000000 0.000000
3836.09 0.092570 0.020890 0.092570 0.000000 0.000000
3841.09 0.110425 0.033465 0.110425 0.000000 0.000000
3846.09 0.137745 0.050428 0.137745 0.000000 0.000000
3851.09 0.141743 0.047920 0.141743 0.000000 0.000000
3856.09 0.134860 0.049402 0.134860 0.000000 0.000000
3861.09 0.123506 0.048677 0.123506 0.000000 0.000000
3866.10 0.119242 0.044428 0.119242 0.000000 0.000000
3871.10 0.138159 0.060311 0.138159 0.000000 0.000000
3876.10 0.141849 0.060722 0.141849 0.000000 0.000000
3881.10 0.157842 0.064062 0.157842 0.000000 0.000000
3886.10 0.180903 0.054902 0.180903 0.000000 0.000000
3891.10 0.203213 0.041471 0.203213 0.000000 0.000000
3896.10 0.221831 0.038636 0.221831 0.000000 0.000000
3901.10 0.231891 0.037848 0.231891 0.000000 0.000000
3906.11 0.248176 0.042934 0.248176 0.000000 0.000000
3911.11 0.259653 0.051530 0.259653 0.000000 0.000000
3916.11 0.238183 0.024449 0.238183 0.000000 0.000000
3921.11 0.206440 0.017403 0.206440 0.000000 0.000000
3926.11 0.184560 0.025889 0.184560 0.000000 0.000000
3931.11 0.151578 0.035264 0.151578 0.000000 0.000000
3936.11 0.123038 0.026528 0.123038 0.000000 0.000000
3941.12 0.140741 0.034458 0.140741 0.000000 0.000000
3946.12 0.188271 0.039766 0.188271 0.000000 0.000000
3951.12 0.226101 0.018206 0.226101 0.000000 0.000000
3956.12 0.237852 0.012669 0.237852 0.000000 0.000000
3961.12 0.221401 0.017867 0.221401 0.000000 0.000000
3966.12 0.179092 0.034008 0.179092 0.000000 0.000000
3971.12 0.162374 0.060041 0.162374 0.000000 0.000000
3976.12 0.203099 0.045060 0.203099 0.000000 0.000000
3981.13 0.275560 0.027770 0.275560 0.000000 0.000000
3986.13 0.331432 0.018176 0.331432 0.000000 0.000000
3991.13 0.359782 0.023802 0.359782 0.000000 0.000000
3996.13 0.398149 0.030670 0.398149 0.000000 0.000000
4001.13 0.401045 0.026000 0.401045 0.000000 0.000000
4006.13 0.403756 0.027458 0.403756 0.000000 0.000000
4011.13 0.419844 0.028274 0.419844 0.000000 0.000000
4016.13 0.438997 0.023251 0.438997 0.000000 0.000000
4021.14 0.462678 0.017454 0.462678 0.000000 0.000000
4026.14 0.454707 0.025560 0.454707 0.000000 0.000000
4031.14 0.430266 0.031984 0.430266 0.000000 0.000000
4036.14 0.413713 0.025572 0.413713 0.000000 0.000000
4041.14 0.404446 0.018943 0.404446 0.000000 0.000000
4046.14 0.391967 0.024051 0.391967 0.000000 0.000000
4051.14 0.382896 0.031051 0.382896 0.000000 0.000000
4056.15 0.392063 0.030887 0.392063 0.000000 0.000000
4061.15 0.381330 0.025211 0.381330 0.000000 0.000000
4066.15 0.370167 0.023462 0.370167 0.000000 0.000000
4071.15 0.375739 0.028401 0.375739 0.000000 0.000000
4076.15 0.394443 0.028786 0.394443 0.000000 0.000000
4081.15 0.426328 0.025769 0.426328 0.000000 0.000000
4086.15 0.457853 0.018394 0.457853 0.000000 0.000000
4091.15 0.470522 0.016565 0.470522 0.000000 0.000000
4096.16 0.450508 0.025764 0.450508 0.000000 0.000000
4101.16 0.426291 0.034433 0.426291 0.000000 0.000000
4106.16 0.422219 0.032276 0.422219 0.000000 0.000000
4111.16 0.422677 0.023388 0.422677 0.000000 0.000000
4116.16 0.424108 0.026219 0.424108 0.000000 0.000000
4121.16 0.422080 0.035845 0.422080 0.000000 0.000000
4126.16 0.411664 0.040465 0.411664 0.000000 0.000000
4131.17 0.400149 0.037866 0.400149 0.000000 0.000000
4136.17 0.390987 0.028796 0.390987 0.000000 0.000000
4141.17 0.374072 0.023309 0.374072 0.000000 0.000000
4146.17 0.357159 0.040481 0.357159 0.000000 0.000000
4151.17 0.344030 0.051529 0.344030 0.000000 0.000000
4156.17 0.349190 0.046568 0.349190 0.000000 0.000000
4161.17 0.366535 0.043338 0.366535 0.000000 0.000000
4166.17 0.371858 0.039100 0.371858 0.000000 0.000000
4171.18 0.359315 0.029890 0.359315 0.000000 0.000000
4176.18 0.358541 0.050194 0.358541 0.000000 0.000000
4181.18 0.361544 0.054225 0.361544 0.000000 0.000000
4186.18 0.376559 0.031242 0.376559 0.000000 0.000000
4191.18 0.393903 0.019177 0.393903 0.000000 0.000000
4196.18 0.394301 0.031587 0.394301 0.000000 0.000000
4201.18 0.386200 0.044585 0.386200 0.000000 0.000000
4206.18 0.391908 0.036939 0.391908 0.000000 0.000000
4211.19 0.427598 0.026139 0.427598 0.000000 0.000000
4216.19 0.455719 0.003472 0.455719 0.000000 0.000000
4221.19 0.459347 0.012905 0.459347 0.000000 0.000000
4226.19 0.444685 0.024463 0.444685 0.000000 0.000000
4231.19 0.428296 0.048312 0.428296 0.000000 0.000000
4236.19 0.440593 0.037104 0.440593 0.000000 0.000000
4241.19 0.479116 0.016394 0.479116 0.000000 0.000000
4246.20 0.507540 0.009696 0.507540 0.000000 0.000000
4251.20 0.512606 0.023805 0.512606 0.000000 0.000000
4256.20 0.502059 0.040724 0.502059 0.000000 0.000000
4261.20 0.490263 0.047106 0.490263 0.000000 0.000000
4266.20 0.486098 0.035445 0.486098 0.000000 0.000000
4271.20 0.479634 0.026962 0.479634 0.000000 0.000000
4276.20 0.480256 0.021879 0.480256 0.000000 0.000000
4281.20 0.485800 0.020313 0.485800 0.000000 0.000000
4286.21 0.482180 0.028044 0.482180 0.000000 0.000000
4291.21 0.466838 0.035695 0.466838 0.000000 0.000000
4296.21 0.439348 0.043723 0.439348 0.000000 0.000000
4301.21 0.408732 0.036501 0.408732 0.000000 0.000000
4306.21 0.383917 0.047445 0.383917 0.000000 0.000000
4311.21 0.401963 0.055933 0.401963 0.000000 0.000000
4316.21 0.485183 0.018915 0.485183 0.000000 0.000000
4321.21 0.570711 0.056519 0.570711 0.000000 0.000000
4326.22 0.593761 0.017351 0.593761 0.000000 0.000000
4331.22 0.585042 0.046880 0.585042 0.000000 0.000000
4336.22 0.598352 0.053442 0.598352 0.000000 0.000000
4341.22 0.617774 0.032414 0.617774 0.000000 0.000000
4346.22 0.625904 0.022162 0.625904 0.000000 0.000000
4351.22 0.637319 0.013530 0.637319 0.000000 0.000000
4356.22 0.642894 0.024049 0.642894 0.000000 0.000000
4361.23 0.655182 0.034632 0.655182 0.000000 0.000000
4366.23 0.667862 0.039875 0.667862 0.000000 0.000000
4371.23 0.659278 0.049504 0.659278 0.000000 0.000000
4376.23 0.623711 0.049960 0.623711 0.000000 0.000000
4381.23 0.578416 0.038214 0.578416 0.000000 0.000000
4386.23 0.539359 0.046768 0.539359 0.000000 0.000000
4391.23 0.532826 0.050035 0.532826 0.000000 0.000000
4396.23 0.569066 0.014401 0.569066 0.000000 0.000000
4401.24 0.605963 0.023703 0.605963 0.000000 0.000000
4406.24 0.608991 0.025804 0.608991 0.000000 0.000000
4411.24 0.605967 0.048428 0.605967 0.000000 0.000000
4416.24 0.620400 0.039632 0.620400 0.000000 0.000000
4421.24 0.641339 0.017448 0.641339 0.000000 0.000000
4426.24 0.650623 0.022505 0.650623 0.000000 0.000000
4431.24 0.653079 0.027223 0.653079 0.000000 0.000000
4436.25 0.658025 0.036522 0.658025 0.000000 0.000000
4441.25 0.675211 0.042621 0.675211 0.000000 0.000000
4446.25 0.706813 0.029116 0.706813 0.000000 0.000000
4451.25 0.721588 0.023204 0.721588 0.000000 0.000000
4456.25 0.680079 0.025326 0.680079 0.000000 0.000000
4461.25 0.641851 0.053823 0.641851 0.000000 0.000000
4466.25 0.669298 0.045978 0.669298 0.000000 0.000000
4471.25 0.720900 0.023817 0.720900 0.000000 0.000000
4476.26 0.748651 0.015015 0.748651 0.000000 0.000000
4481.26 0.767196 0.022836 0.767196 0.000000 0.000000
4486.26 0.779988 0.019411 0.779988 0.000000 0.000000
