# lk ukf_f5iv uks_f5iv fh fse fl
# iRMS=7.111436571e-05 0
# 
3526.01 0.707521 0.001968 0.707521 0.000000 0.000000
3531.01 0.711489 0.014955 0.711489 0.000000 0.000000
3536.01 0.741060 0.015158 0.741060 0.000000 0.000000
3541.01 0.772479 0.010986 0.772479 0.000000 0.000000
3546.01 0.781886 0.012988 0.781886 0.000000 0.000000
3551.01 0.780289 0.012621 0.780289 0.000000 0.000000
3556.02 0.780478 0.002546 0.780478 0.000000 0.000000
3561.02 0.767509 0.000863 0.767509 0.000000 0.000000
3566.02 0.728842 0.014823 0.728842 0.000000 0.000000
3571.02 0.689273 0.022495 0.689273 0.000000 0.000000
3576.02 0.673564 0.000579 0.673564 0.000000 0.000000
3581.02 0.668997 0.020427 0.668997 0.000000 0.000000
3586.02 0.662077 0.004272 0.662077 0.000000 0.000000
3591.02 0.673665 0.017345 0.673665 0.000000 0.000000
3596.03 0.718278 0.011474 0.718278 0.000000 0.000000
3601.03 0.750681 0.001683 0.750681 0.000000 0.000000
3606.03 0.730469 0.002380 0.730469 0.000000 0.000000
3611.03 0.685371 0.000000 0.685371 0.000000 0.000000
3616.03 0.681889 0.000000 0.681889 0.000000 0.000000
3621.03 0.703924 0.000000 0.703924 0.000000 0.000000
3626.03 0.724751 0.000000 0.724751 0.000000 0.000000
3631.03 0.739139 0.000000 0.739139 0.000000 0.000000
3636.04 0.746918 0.000000 0.746918 0.000000 0.000000
3641.04 0.746665 0.000000 0.746665 0.000000 0.000000
3646.04 0.740931 0.000000 0.740931 0.000000 0.000000
3651.04 0.749421 0.000000 0.749421 0.000000 0.000000
3656.04 0.785244 0.000000 0.785244 0.000000 0.000000
3661.04 0.817949 0.000000 0.817949 0.000000 0.000000
3666.04 0.817531 0.000000 0.817531 0.000000 0.000000
3671.05 0.799330 0.000000 0.799330 0.000000 0.000000
3676.05 0.785358 0.000000 0.785358 0.000000 0.000000
3681.05 0.778980 0.000000 0.778980 0.000000 0.000000
3686.05 0.780286 0.000000 0.780286 0.000000 0.000000
3691.05 0.794925 0.000000 0.794925 0.000000 0.000000
3696.05 0.822055 0.000000 0.822055 0.000000 0.000000
3701.05 0.829327 0.000000 0.829327 0.000000 0.000000
3706.05 0.794276 0.000000 0.794276 0.000000 0.000000
3711.06 0.765466 0.000000 0.765466 0.000000 0.000000
3716.06 0.788522 0.000000 0.788522 0.000000 0.000000
3721.06 0.826278 0.000000 0.826278 0.000000 0.000000
3726.06 0.836385 0.000000 0.836385 0.000000 0.000000
3731.06 0.838544 0.000000 0.838544 0.000000 0.000000
3736.06 0.852611 0.000000 0.852611 0.000000 0.000000
3741.06 0.837001 0.000000 0.837001 0.000000 0.000000
3746.06 0.766723 0.000000 0.766723 0.000000 0.000000
3751.07 0.744605 0.000000 0.744605 0.000000 0.000000
3756.07 0.849393 0.000000 0.849393 0.000000 0.000000
3761.07 0.935677 0.000000 0.935677 0.000000 0.000000
3766.07 0.873482 0.000000 0.873482 0.000000 0.000000
3771.07 0.818702 0.000000 0.818702 0.000000 0.000000
3776.07 0.926532 0.000000 0.926532 0.000000 0.000000
3781.07 1.063472 0.000000 1.063472 0.000000 0.000000
3786.08 1.070063 0.000000 1.070063 0.000000 0.000000
3791.08 0.971686 0.000000 0.971686 0.000000 0.000000
3796.08 0.848032 0.000000 0.848032 0.000000 0.000000
3801.08 0.811196 0.000000 0.811196 0.000000 0.000000
3806.08 0.930572 0.000000 0.930572 0.000000 0.000000
3811.08 1.072324 0.000000 1.072324 0.000000 0.000000
3816.08 1.093096 0.000000 1.093096 0.000000 0.000000
3821.08 1.014673 0.000000 1.014673 0.000000 0.000000
3826.09 0.896200 0.000000 0.896200 0.000000 0.000000
3831.09 0.781135 0.000000 0.781135 0.000000 0.000000
3836.09 0.713550 0.000000 0.713550 0.000000 0.000000
3841.09 0.755659 0.000000 0.755659 0.000000 0.000000
3846.09 0.932766 0.000000 0.932766 0.000000 0.000000
3851.09 1.104399 0.000000 1.104399 0.000000 0.000000
3856.09 1.139253 0.000000 1.139253 0.000000 0.000000
3861.09 1.108475 0.000000 1.108475 0.000000 0.000000
3866.10 1.107829 0.000000 1.107829 0.000000 0.000000
3871.10 1.129084 0.000000 1.129084 0.000000 0.000000
3876.10 1.132422 0.000000 1.132422 0.000000 0.000000
3881.10 1.055665 0.000000 1.055665 0.000000 0.000000
3886.10 0.878852 0.000000 0.878852 0.000000 0.000000
3891.10 0.773261 0.000000 0.773261 0.000000 0.000000
3896.10 0.883667 0.000000 0.883667 0.000000 0.000000
3901.10 1.057611 0.000000 1.057611 0.000000 0.000000
3906.11 1.125692 0.000000 1.125692 0.000000 0.000000
3911.11 1.147958 0.000000 1.147958 0.000000 0.000000
3916.11 1.195394 0.000000 1.195394 0.000000 0.000000
3921.11 1.153257 0.000000 1.153257 0.000000 0.000000
3926.11 0.929081 0.000000 0.929081 0.000000 0.000000
3931.11 0.705222 0.000000 0.705222 0.000000 0.000000
3936.11 0.674454 0.000000 0.674454 0.000000 0.000000
3941.12 0.796390 0.000000 0.796390 0.000000 0.000000
3946.12 0.976053 0.000000 0.976053 0.000000 0.000000
3951.12 1.133251 0.000000 1.133251 0.000000 0.000000
3956.12 1.189162 0.000000 1.189162 0.000000 0.000000
3961.12 1.055665 0.000000 1.055665 0.000000 0.000000
3966.12 0.726665 0.000000 0.726665 0.000000 0.000000
3971.12 0.533490 0.000000 0.533490 0.000000 0.000000
3976.12 0.751689 0.000000 0.751689 0.000000 0.000000
3981.13 1.096292 0.000000 1.096292 0.000000 0.000000
3986.13 1.241063 0.000000 1.241063 0.000000 0.000000
3991.13 1.255238 0.000000 1.255238 0.000000 0.000000
3996.13 1.272843 0.000000 1.272843 0.000000 0.000000
4001.13 1.291594 0.000000 1.291594 0.000000 0.000000
4006.13 1.289089 0.000000 1.289089 0.000000 0.000000
4011.13 1.298751 0.000000 1.298751 0.000000 0.000000
4016.13 1.347310 0.000000 1.347310 0.000000 0.000000
4021.14 1.378879 0.000000 1.378879 0.000000 0.000000
4026.14 1.345756 0.000000 1.345756 0.000000 0.000000
4031.14 1.315607 0.000000 1.315607 0.000000 0.000000
4036.14 1.353251 0.000000 1.353251 0.000000 0.000000
4041.14 1.396774 0.000000 1.396774 0.000000 0.000000
4046.14 1.377360 0.000000 1.377360 0.000000 0.000000
4051.14 1.325336 0.000000 1.325336 0.000000 0.000000
4056.15 1.288387 0.000000 1.288387 0.000000 0.000000
4061.15 1.284476 0.000000 1.284476 0.000000 0.000000
4066.15 1.311654 0.000000 1.311654 0.000000 0.000000
4071.15 1.318032 0.000000 1.318032 0.000000 0.000000
4076.15 1.267485 0.000000 1.267485 0.000000 0.000000
4081.15 1.236876 0.000000 1.236876 0.000000 0.000000
4086.15 1.282537 0.000000 1.282537 0.000000 0.000000
4091.15 1.265686 0.000000 1.265686 0.000000 0.000000
4096.16 1.076918 0.000000 1.076918 0.000000 0.000000
4101.16 0.919446 0.000000 0.919446 0.000000 0.000000
4106.16 0.992549 0.000000 0.992549 0.000000 0.000000
4111.16 1.167148 0.000000 1.167148 0.000000 0.000000
4116.16 1.272249 0.000000 1.272249 0.000000 0.000000
