# lk ukf_m6iii uks_m6iii fh fm
# iRMS=0.1550584733 0
# 
3631.03 0.116910 0.016817 0.079328 0.217395
3636.04 0.119630 0.016280 0.076231 0.227394
3641.04 0.173441 0.021220 0.080670 0.359531
3646.04 0.191822 0.016033 0.077405 0.409447
3651.04 0.171914 0.018251 0.079411 0.356914
3656.04 0.262041 0.023676 0.088008 0.577061
3661.04 0.341736 0.028661 0.097348 0.769990
3666.04 0.254670 0.028795 0.102521 0.543842
3671.05 0.220202 0.021195 0.099102 0.459780
3676.05 0.256544 0.025994 0.101185 0.549933
3681.05 0.160183 0.022738 0.094995 0.311555
3686.05 0.098539 0.017146 0.086629 0.163467
3691.05 0.205585 0.021334 0.090498 0.431284
3696.05 0.333981 0.023841 0.099206 0.748451
3701.05 0.368684 0.061453 0.131440 0.804294
3706.05 0.241830 0.071512 0.126571 0.487203
3711.06 0.136605 0.054838 0.121890 0.224818
3716.06 0.149310 0.047359 0.120517 0.258437
3721.06 0.158957 0.050114 0.113075 0.290364
3726.06 0.132016 0.051806 0.111861 0.223201
3731.06 0.093159 0.051556 0.105794 0.130646
3736.06 0.094381 0.052052 0.097845 0.141698
3741.06 0.121164 0.050384 0.100416 0.207102
3746.06 0.100338 0.051522 0.102137 0.152524
3751.07 0.100140 0.054658 0.112134 0.142025
3756.07 0.152754 0.059748 0.129600 0.258095
3761.07 0.164591 0.065867 0.137314 0.280425
3766.07 0.180625 0.069559 0.145338 0.313095
3771.07 0.288541 0.071993 0.160139 0.572189
3776.07 0.453256 0.077934 0.175713 0.974668
3781.07 0.539335 0.080117 0.183367 1.185485
3786.08 0.397160 0.069041 0.169028 0.838979
3791.08 0.239487 0.058526 0.148013 0.459815
3796.08 0.240585 0.058733 0.145591 0.465024
3801.08 0.292104 0.063872 0.153466 0.587906
3806.08 0.317259 0.068410 0.163152 0.642063
3811.08 0.283019 0.066123 0.157637 0.560677
3816.08 0.203503 0.053623 0.134688 0.381810
3821.08 0.122362 0.043065 0.112920 0.197641
3826.09 0.099636 0.042639 0.111908 0.140972
3831.09 0.121739 0.048076 0.125673 0.183305
3836.09 0.155318 0.052853 0.136460 0.257742
3841.09 0.238232 0.058024 0.141832 0.462810
3846.09 0.319965 0.062483 0.150817 0.661267
3851.09 0.275864 0.060592 0.151976 0.548178
3856.09 0.192875 0.050062 0.138308 0.351216
3861.09 0.169808 0.044255 0.130319 0.300660
3866.10 0.185942 0.052952 0.147049 0.324879
3871.10 0.213713 0.064037 0.164639 0.377773
3876.10 0.221743 0.064319 0.156125 0.406666
3881.10 0.162203 0.060689 0.152517 0.259161
3886.10 0.113736 0.059947 0.150037 0.138630
3891.10 0.241883 0.060414 0.156894 0.457014
3896.10 0.351745 0.058596 0.162522 0.730219
3901.10 0.272436 0.059376 0.164392 0.527060
3906.11 0.247127 0.059584 0.171125 0.456094
3911.11 0.318891 0.065118 0.174644 0.634713
3916.11 0.299970 0.062038 0.168454 0.592882
3921.11 0.208405 0.049986 0.149236 0.379704
3926.11 0.121210 0.034131 0.122852 0.184783
3931.11 0.070185 0.029944 0.094252 0.083879
3936.11 0.057695 0.029710 0.089948 0.056484
3941.12 0.076054 0.037559 0.112978 0.080050
3946.12 0.158935 0.059252 0.148309 0.255073
3951.12 0.243095 0.071453 0.182117 0.434867
3956.12 0.190624 0.058493 0.179814 0.303998
3961.12 0.094828 0.047016 0.147939 0.092738
3966.12 0.068803 0.047345 0.121900 0.052725
3971.12 0.110226 0.041439 0.125771 0.153987
3976.12 0.205464 0.054415 0.168684 0.352792
3981.13 0.312210 0.078574 0.215979 0.576422
3986.13 0.353870 0.085186 0.249685 0.648451
3991.13 0.351200 0.086758 0.274192 0.617166
3996.13 0.433713 0.098497 0.301944 0.798836
4001.13 0.527883 0.109334 0.328704 1.011083
4006.13 0.513407 0.109394 0.338510 0.964536
4011.13 0.509691 0.106906 0.345514 0.948100
4016.13 0.572838 0.109236 0.357691 1.096193
4021.14 0.631244 0.108777 0.352587 1.249534
4026.14 0.563385 0.103170 0.345936 1.083957
4031.14 0.397969 0.101093 0.339451 0.670610
4036.14 0.435443 0.114713 0.357850 0.747320
4041.14 0.603398 0.125559 0.378181 1.153265
4046.14 0.671000 0.122468 0.373373 1.329650
4051.14 0.638401 0.115726 0.385587 1.234699
4056.15 0.537092 0.110688 0.388335 0.974825
4061.15 0.445080 0.116718 0.388520 0.741111
4066.15 0.510203 0.126266 0.396396 0.898520
4071.15 0.681410 0.127892 0.401467 1.327977
4076.15 0.601374 0.119783 0.390134 1.136177
4081.15 0.498130 0.115598 0.394877 0.869395
4086.15 0.723697 0.126076 0.431572 1.405198
4091.15 0.894356 0.134654 0.453167 1.816744
4096.16 0.779659 0.123775 0.437924 1.540880
4101.16 0.637796 0.112876 0.412177 1.206575
4106.16 0.607924 0.112605 0.410346 1.132588
4111.16 0.661208 0.118337 0.413104 1.265068
4116.16 0.643597 0.122427 0.415684 1.217790
4121.16 0.601720 0.116228 0.414206 1.112983
4126.16 0.725591 0.103632 0.411767 1.429811
4131.17 0.751479 0.095260 0.399396 1.507886
4136.17 0.550915 0.099443 0.401823 0.996422
4141.17 0.428323 0.105549 0.413044 0.674055
4146.17 0.472081 0.110436 0.429819 0.768340
4151.17 0.610781 0.119736 0.453922 1.096264
4156.17 0.750674 0.141153 0.488523 1.416717
4161.17 0.767904 0.151395 0.512935 1.436034
4166.17 0.572886 0.128880 0.491422 0.962585
