# lk ukf_m8iii uks_m8iii fh fl fm
# lRMS=43.84253693 iRMS=4.07691431 0
# 
3521.01 0.106432 0.000000 0.210966 0.000000 0.526315
3526.01 0.201939 0.000000 0.222564 0.000000 1.176322
3531.01 0.524293 0.000000 0.228493 0.000000 3.403424
3536.01 0.735530 0.000000 0.203230 0.000000 4.891983
3541.01 0.772826 0.000000 0.173210 0.000000 5.180363
3546.01 0.721712 0.000000 0.173025 0.000000 4.826469
3551.01 0.687912 0.000000 0.217933 0.000000 4.547418
3556.02 0.668400 0.000000 0.302255 0.000000 4.327927
3561.02 0.593556 0.000000 0.355889 0.000000 3.755832
3566.02 0.419112 0.000000 0.321793 0.000000 2.581509
3571.02 0.203472 0.000000 0.259597 0.000000 1.149907
3576.02 0.073200 0.000000 0.237206 0.000000 0.269868
3581.02 0.064285 0.000000 0.238948 0.000000 0.206370
3586.02 0.123875 0.000000 0.234481 0.000000 0.623634
3591.02 0.112955 0.000000 0.218376 0.000000 0.564096
3596.03 0.064074 0.000000 0.193987 0.000000 0.249872
3601.03 0.116016 0.000000 0.174890 0.000000 0.628787
3606.03 0.179565 0.000000 0.174477 0.000000 1.069418
3611.03 0.202027 0.000000 0.195163 0.000000 1.204335
3616.03 0.307740 0.000000 0.232453 0.000000 1.899347
3621.03 0.432081 0.000000 0.265192 0.000000 2.727949
3626.03 0.437763 0.000000 0.274006 0.000000 2.758493
3631.03 0.338567 0.000000 0.263301 0.000000 2.082044
3636.04 0.294863 0.000000 0.243971 0.000000 1.798625
3641.04 0.487456 0.000000 0.229071 0.000000 3.147667
3646.04 0.572865 0.000000 0.230244 0.000000 3.738144
3651.04 0.463838 0.000000 0.251309 0.000000 2.961819
3656.04 0.719379 0.000000 0.288496 0.000000 4.694838
3661.04 0.997954 0.000000 0.315494 0.000000 6.597598
3666.04 0.788191 0.000000 0.310976 0.000000 5.149033
3671.05 0.732659 0.000000 0.296092 0.000000 4.779236
3676.05 0.835936 0.000000 0.294943 0.000000 5.495810
3681.05 0.474589 0.000000 0.300965 0.000000 2.986641
3686.05 0.252597 0.000000 0.303345 0.000000 1.446463
3691.05 0.630332 0.000000 0.304927 0.000000 4.061554
3696.05 1.107272 0.000000 0.310820 0.000000 7.359548
