# lk ukf_m9iii uks_m9iii
# iRMS=0
# 
4056.15 0.753016 0.000000
4061.15 0.705038 0.000000
4066.15 0.758061 0.000000
4071.15 0.889991 0.000000
4076.15 0.718500 0.000000
4081.15 0.590965 0.000000
4086.15 0.961176 0.000000
4091.15 1.179331 0.000000
4096.16 0.888321 0.000000
4101.16 0.578367 0.000000
4106.16 0.553472 0.000000
4111.16 0.793847 0.000000
4116.16 0.816506 0.000000
4121.16 0.656643 0.000000
4126.16 0.783985 0.000000
4131.17 0.761433 0.000000
4136.17 0.355590 0.000000
4141.17 0.166622 0.000000
4146.17 0.387507 0.000000
4151.17 0.876076 0.000000
4156.17 1.350111 0.000000
4161.17 1.414572 0.000000
4166.17 0.783639 0.000000
4171.18 0.229023 0.000000
4176.18 0.328282 0.000000
4181.18 0.722359 0.000000
4186.18 0.979581 0.000000
4191.18 0.817927 0.000000
4196.18 0.551404 0.000000
4201.18 0.441214 0.000000
4206.18 0.391584 0.000000
4211.19 0.333176 0.000000
4216.19 0.243368 0.000000
4221.19 0.132944 0.000000
4226.19 0.066462 0.000000
4231.19 0.129961 0.000000
4236.19 0.268172 0.000000
4241.19 0.412936 0.000000
4246.20 0.544830 0.000000
4251.20 0.532311 0.000000
4256.20 0.324150 0.000000
4261.20 0.293034 0.000000
4266.20 0.415920 0.000000
4271.20 0.317731 0.000000
4276.20 0.280211 0.000000
4281.20 0.477408 0.000000
4286.21 0.544978 0.000000
4291.21 0.404374 0.000000
4296.21 0.238814 0.000000
4301.21 0.389529 0.000000
4306.21 0.669037 0.000000
4311.21 0.504619 0.000000
4316.21 0.254801 0.000000
4321.21 0.335733 0.000000
4326.22 0.395010 0.000000
4331.22 0.299685 0.000000
4336.22 0.249604 0.000000
4341.22 0.288181 0.000000
4346.22 0.354383 0.000000
4351.22 0.326160 0.000000
4356.22 0.260954 0.000000
4361.23 0.277487 0.000000
4366.23 0.349983 0.000000
4371.23 0.427953 0.000000
4376.23 0.463612 0.000000
4381.23 0.412536 0.000000
4386.23 0.310495 0.000000
4391.23 0.304227 0.000000
4396.23 0.309048 0.000000
4401.24 0.200226 0.000000
4406.24 0.158091 0.000000
4411.24 0.314004 0.000000
4416.24 0.629868 0.000000
