# lk ukf_m4iii uks_m4iii fh fl fm fsv
# lRMS=0.06283461303 iRMS=0.08481960744 0
# 
3445.99 0.031089 0.000000 0.021396 0.000000 0.053808 0.000000
3450.99 0.044370 0.000000 0.024146 0.000000 0.083185 0.000000
3455.99 0.047951 0.000000 0.026256 0.000000 0.089737 0.000000
3460.99 0.052013 0.000000 0.026312 0.000000 0.099507 0.000000
3465.99 0.059139 0.000000 0.023872 0.000000 0.119185 0.000000
3470.99 0.045418 0.000000 0.021818 0.000000 0.088049 0.000000
3475.99 0.031783 0.000000 0.022671 0.000000 0.054212 0.000000
3481.00 0.045772 0.000000 0.024190 0.000000 0.086533 0.000000
3486.00 0.057414 0.000000 0.023907 0.000000 0.114978 0.000000
3491.00 0.053863 0.000000 0.023216 0.000000 0.107080 0.000000
3496.00 0.048103 0.000000 0.023759 0.000000 0.092602 0.000000
3501.00 0.049176 0.000000 0.024311 0.000000 0.094647 0.000000
3506.00 0.056127 0.000000 0.023484 0.000000 0.112287 0.000000
3511.00 0.060138 0.015735 0.034303 0.000000 0.111170 0.000000
3516.01 0.050865 0.013765 0.038462 0.000000 0.084580 0.000000
3521.01 0.038083 0.012461 0.036948 0.000000 0.055174 0.000000
3526.01 0.045555 0.010942 0.035185 0.000000 0.075014 0.000000
3531.01 0.080753 0.013090 0.044839 0.000000 0.150503 0.000000
3536.01 0.106708 0.015213 0.051800 0.000000 0.206326 0.000000
3541.01 0.122261 0.017190 0.052832 0.000000 0.242917 0.000000
3546.01 0.130309 0.017629 0.050848 0.000000 0.264370 0.000000
3551.01 0.114717 0.016650 0.048508 0.000000 0.228994 0.000000
3556.02 0.092229 0.017063 0.047840 0.000000 0.175261 0.000000
3561.02 0.083884 0.017973 0.046425 0.000000 0.156491 0.000000
3566.02 0.067108 0.018251 0.038802 0.000000 0.123534 0.000000
3571.02 0.041166 0.015945 0.033549 0.000000 0.066033 0.000000
3576.02 0.024067 0.013784 0.030725 0.000000 0.027494 0.000000
3581.02 0.024827 0.010948 0.030601 0.000000 0.029455 0.000000
3586.02 0.038375 0.010404 0.036137 0.000000 0.056692 0.000000
3591.02 0.036073 0.012626 0.036705 0.000000 0.050556 0.000000
3596.03 0.030744 0.014493 0.042043 0.000000 0.032328 0.000000
3601.03 0.049763 0.018215 0.051741 0.000000 0.068635 0.000000
3606.03 0.059749 0.014302 0.046504 0.000000 0.098029 0.000000
3611.03 0.052714 0.013307 0.043466 0.000000 0.084050 0.000000
3616.03 0.059569 0.015644 0.046384 0.000000 0.097713 0.000000
3621.03 0.072310 0.017498 0.052694 0.000000 0.122225 0.000000
3626.03 0.070428 0.019782 0.060500 0.000000 0.109867 0.000000
3631.03 0.061992 0.020102 0.056403 0.000000 0.093555 0.000000
3636.04 0.067830 0.018648 0.055485 0.000000 0.108596 0.000000
3641.04 0.091382 0.018728 0.059074 0.000000 0.161979 0.000000
3646.04 0.096503 0.016293 0.055988 0.000000 0.177453 0.000000
3651.04 0.092088 0.015539 0.058954 0.000000 0.163807 0.000000
3656.04 0.147135 0.018789 0.068110 0.000000 0.287811 0.000000
3661.04 0.186436 0.023551 0.068401 0.000000 0.382589 0.000000
3666.04 0.131267 0.025285 0.068664 0.000000 0.248872 0.000000
3671.05 0.107667 0.023898 0.070275 0.000000 0.190172 0.000000
3676.05 0.128437 0.022859 0.072091 0.000000 0.238599 0.000000
3681.05 0.086484 0.021487 0.067803 0.000000 0.141401 0.000000
3686.05 0.058888 0.019609 0.066318 0.000000 0.076133 0.000000
3691.05 0.107806 0.020580 0.068597 0.000000 0.192186 0.000000
3696.05 0.169423 0.024616 0.071077 0.000000 0.338758 0.000000
3701.05 0.180150 0.023582 0.065500 0.000000 0.370283 0.000000
3706.05 0.118000 0.019569 0.061646 0.000000 0.223797 0.000000
3711.06 0.066389 0.022000 0.058027 0.000000 0.102567 0.000000
3716.06 0.075808 0.025361 0.061048 0.000000 0.122332 0.000000
3721.06 0.081262 0.020756 0.056661 0.000000 0.139913 0.000000
3726.06 0.067484 0.018555 0.054861 0.000000 0.108382 0.000000
3731.06 0.047919 0.017858 0.052389 0.000000 0.063528 0.000000
