# lk ukf_wg8iii uks_wg8iii fh fse fl
# iRMS=3.438999192e-05 0
# 
3526.01 0.192007 0.000000 0.192007 0.000000 0.000000
3531.01 0.199256 0.000000 0.199256 0.000000 0.000000
3536.01 0.211135 0.000000 0.211135 0.000000 0.000000
3541.01 0.221136 0.000000 0.221136 0.000000 0.000000
3546.01 0.223229 0.000000 0.223229 0.000000 0.000000
3551.01 0.214470 0.000000 0.214470 0.000000 0.000000
3556.02 0.195662 0.000000 0.195662 0.000000 0.000000
3561.02 0.179523 0.000000 0.179523 0.000000 0.000000
3566.02 0.175733 0.000000 0.175733 0.000000 0.000000
3571.02 0.169926 0.000000 0.169926 0.000000 0.000000
3576.02 0.149935 0.000000 0.149935 0.000000 0.000000
3581.02 0.136449 0.000000 0.136449 0.000000 0.000000
3586.02 0.150624 0.000000 0.150624 0.000000 0.000000
3591.02 0.182648 0.000000 0.182648 0.000000 0.000000
3596.03 0.215287 0.000000 0.215287 0.000000 0.000000
3601.03 0.232570 0.000000 0.232570 0.000000 0.000000
3606.03 0.239871 0.014648 0.239871 0.000000 0.000000
3611.03 0.228949 0.010161 0.228949 0.000000 0.000000
3616.03 0.233135 0.000609 0.233135 0.000000 0.000000
3621.03 0.248192 0.008020 0.248192 0.000000 0.000000
3626.03 0.264076 0.003348 0.264076 0.000000 0.000000
3631.03 0.275711 0.011509 0.275711 0.000000 0.000000
3636.04 0.281126 0.030143 0.281126 0.000000 0.000000
3641.04 0.287269 0.040321 0.287269 0.000000 0.000000
3646.04 0.302331 0.035070 0.302331 0.000000 0.000000
3651.04 0.322618 0.025579 0.322618 0.000000 0.000000
3656.04 0.342381 0.025113 0.342381 0.000000 0.000000
3661.04 0.359126 0.036612 0.359126 0.000000 0.000000
3666.04 0.368741 0.055416 0.368741 0.000000 0.000000
3671.05 0.369363 0.069914 0.369363 0.000000 0.000000
3676.05 0.361809 0.070754 0.361809 0.000000 0.000000
3681.05 0.349755 0.058458 0.349755 0.000000 0.000000
3686.05 0.341245 0.041742 0.341245 0.000000 0.000000
3691.05 0.342449 0.034205 0.342449 0.000000 0.000000
3696.05 0.353830 0.043720 0.353830 0.000000 0.000000
3701.05 0.429835 0.000000 0.429835 0.000000 0.000000
3706.05 0.460433 0.000000 0.460433 0.000000 0.000000
3711.06 0.465827 0.000000 0.465827 0.000000 0.000000
3716.06 0.441203 0.000000 0.441203 0.000000 0.000000
3721.06 0.399720 0.000000 0.399720 0.000000 0.000000
3726.06 0.362075 0.000000 0.362075 0.000000 0.000000
3731.06 0.341802 0.000000 0.341802 0.000000 0.000000
3736.06 0.338044 0.000000 0.338044 0.000000 0.000000
3741.06 0.339554 0.000000 0.339554 0.000000 0.000000
3746.06 0.336330 0.000000 0.336330 0.000000 0.000000
3751.07 0.329743 0.000000 0.329743 0.000000 0.000000
3756.07 0.331507 0.000000 0.331507 0.000000 0.000000
3761.07 0.352567 0.000000 0.352567 0.000000 0.000000
3766.07 0.392236 0.000000 0.392236 0.000000 0.000000
3771.07 0.435770 0.000000 0.435770 0.000000 0.000000
3776.07 0.462497 0.000000 0.462497 0.000000 0.000000
3781.07 0.459562 0.000000 0.459562 0.000000 0.000000
3786.08 0.430460 0.000000 0.430460 0.000000 0.000000
3791.08 0.391183 0.000000 0.391183 0.000000 0.000000
3796.08 0.358715 0.000000 0.358715 0.000000 0.000000
3801.08 0.340260 0.000000 0.340260 0.000000 0.000000
3806.08 0.291201 0.042509 0.291201 0.000000 0.000000
3811.08 0.337034 0.023491 0.337034 0.000000 0.000000
3816.08 0.372418 0.091531 0.372418 0.000000 0.000000
3821.08 0.317255 0.071673 0.317255 0.000000 0.000000
3826.09 0.296946 0.089870 0.296946 0.000000 0.000000
3831.09 0.266917 0.083900 0.266917 0.000000 0.000000
3836.09 0.212982 0.030567 0.212982 0.000000 0.000000
3841.09 0.255342 0.063524 0.255342 0.000000 0.000000
3846.09 0.235666 0.019192 0.235666 0.000000 0.000000
3851.09 0.267353 0.034834 0.267353 0.000000 0.000000
3856.09 0.345122 0.115215 0.345122 0.000000 0.000000
3861.09 0.357553 0.141277 0.357553 0.000000 0.000000
3866.10 0.303077 0.104139 0.303077 0.000000 0.000000
3871.10 0.290964 0.107995 0.290964 0.000000 0.000000
3876.10 0.320683 0.136169 0.320683 0.000000 0.000000
3881.10 0.351235 0.136866 0.351235 0.000000 0.000000
3886.10 0.417213 0.155005 0.417213 0.000000 0.000000
3891.10 0.449305 0.131730 0.449305 0.000000 0.000000
3896.10 0.411179 0.043857 0.411179 0.000000 0.000000
3901.10 0.417477 0.023125 0.417477 0.000000 0.000000
3906.11 0.481334 0.079583 0.481334 0.000000 0.000000
3911.11 0.508251 0.104704 0.508251 0.000000 0.000000
3916.11 0.452897 0.051724 0.452897 0.000000 0.000000
3921.11 0.392956 0.015080 0.392956 0.000000 0.000000
3926.11 0.351910 0.024368 0.351910 0.000000 0.000000
