# lk ukf_g5iv uks_g5iv fh fse fl
# iRMS=2.234972999e-05 0
# 
3526.01 0.359181 0.028623 0.359181 0.000000 0.000000
3531.01 0.377984 0.033259 0.377984 0.000000 0.000000
3536.01 0.409088 0.027852 0.409088 0.000000 0.000000
3541.01 0.434639 0.017323 0.434639 0.000000 0.000000
3546.01 0.437328 0.019155 0.437328 0.000000 0.000000
3551.01 0.418550 0.023377 0.418550 0.000000 0.000000
3556.02 0.395211 0.018075 0.395211 0.000000 0.000000
3561.02 0.368932 0.011961 0.368932 0.000000 0.000000
3566.02 0.332279 0.011924 0.332279 0.000000 0.000000
3571.02 0.313975 0.009594 0.313975 0.000000 0.000000
3576.02 0.310020 0.012700 0.310020 0.000000 0.000000
3581.02 0.282998 0.029361 0.282998 0.000000 0.000000
3586.02 0.268336 0.027354 0.268336 0.000000 0.000000
3591.02 0.311785 0.062769 0.311785 0.000000 0.000000
3596.03 0.395994 0.039288 0.395994 0.000000 0.000000
3601.03 0.438780 0.019768 0.438780 0.000000 0.000000
3606.03 0.399184 0.034620 0.399184 0.000000 0.000000
3611.03 0.362791 0.009005 0.362791 0.000000 0.000000
3616.03 0.356010 0.017349 0.356010 0.000000 0.000000
3621.03 0.378203 0.015521 0.378203 0.000000 0.000000
3626.03 0.430049 0.009848 0.430049 0.000000 0.000000
3631.03 0.428945 0.036651 0.428945 0.000000 0.000000
3636.04 0.432080 0.030074 0.432080 0.000000 0.000000
3641.04 0.435968 0.020616 0.435968 0.000000 0.000000
3646.04 0.407976 0.032728 0.407976 0.000000 0.000000
3651.04 0.432968 0.026161 0.432968 0.000000 0.000000
3656.04 0.510677 0.024245 0.510677 0.000000 0.000000
3661.04 0.558376 0.026756 0.558376 0.000000 0.000000
3666.04 0.548863 0.030997 0.548863 0.000000 0.000000
3671.05 0.532010 0.020961 0.532010 0.000000 0.000000
3676.05 0.508362 0.025568 0.508362 0.000000 0.000000
3681.05 0.477735 0.035143 0.477735 0.000000 0.000000
3686.05 0.470960 0.029557 0.470960 0.000000 0.000000
3691.05 0.497427 0.024140 0.497427 0.000000 0.000000
