# lk ukf_o5v uks_o5v fh fse fl
# lRMS=0.0004083506647 iRMS=0.0004083506938 0
# 
3521.01 5.525383 0.111943 5.525383 0.000000 0.000000
3526.01 5.492723 0.116668 5.492723 0.000000 0.000000
3531.01 5.432461 0.124975 5.432461 0.000000 0.000000
3536.01 5.408492 0.140901 5.408492 0.000000 0.000000
3541.01 5.383089 0.136063 5.383089 0.000000 0.000000
3546.01 5.350412 0.112411 5.350412 0.000000 0.000000
3551.01 5.315348 0.100662 5.315348 0.000000 0.000000
3556.02 5.268064 0.103338 5.268064 0.000000 0.000000
3561.02 5.215472 0.104474 5.215472 0.000000 0.000000
3566.02 5.181294 0.102190 5.181294 0.000000 0.000000
3571.02 5.151640 0.103315 5.151640 0.000000 0.000000
3576.02 5.064332 0.087931 5.064332 0.000000 0.000000
3581.02 5.000496 0.084121 5.000496 0.000000 0.000000
3586.02 4.956786 0.089517 4.956786 0.000000 0.000000
3591.02 4.938492 0.083652 4.938492 0.000000 0.000000
3596.03 4.931778 0.061376 4.931778 0.000000 0.000000
3601.03 4.914600 0.045544 4.914600 0.000000 0.000000
3606.03 4.898636 0.034939 4.898636 0.000000 0.000000
3611.03 4.937316 0.018139 4.937316 0.000000 0.000000
3616.03 4.910562 0.011027 4.910562 0.000000 0.000000
3621.03 4.873390 0.028471 4.873390 0.000000 0.000000
3626.03 4.879949 0.054438 4.879949 0.000000 0.000000
3631.03 4.896858 0.091727 4.896858 0.000000 0.000000
3636.04 4.908331 0.115631 4.908331 0.000000 0.000000
3641.04 4.906817 0.109281 4.906817 0.000000 0.000000
3646.04 4.897730 0.090167 4.897730 0.000000 0.000000
3651.04 4.896791 0.082446 4.896791 0.000000 0.000000
3656.04 4.954408 0.043151 4.954408 0.000000 0.000000
3661.04 4.963260 0.059221 4.963260 0.000000 0.000000
3666.04 4.921260 0.092722 4.921260 0.000000 0.000000
3671.05 4.859016 0.093885 4.859016 0.000000 0.000000
3676.05 4.789067 0.069552 4.789067 0.000000 0.000000
3681.05 4.730928 0.088458 4.730928 0.000000 0.000000
3686.05 4.730941 0.101229 4.730941 0.000000 0.000000
3691.05 4.705989 0.095559 4.705989 0.000000 0.000000
3696.05 4.676873 0.068080 4.676873 0.000000 0.000000
3701.05 4.639644 0.075502 4.639644 0.000000 0.000000
3706.05 4.590496 0.114990 4.590496 0.000000 0.000000
3711.06 4.602149 0.116104 4.602149 0.000000 0.000000
3716.06 4.638532 0.100211 4.638532 0.000000 0.000000
3721.06 4.603949 0.113214 4.603949 0.000000 0.000000
3726.06 4.533883 0.126596 4.533883 0.000000 0.000000
3731.06 4.507094 0.127459 4.507094 0.000000 0.000000
3736.06 4.544147 0.125802 4.544147 0.000000 0.000000
3741.06 4.599780 0.095496 4.599780 0.000000 0.000000
3746.06 4.536463 0.091610 4.536463 0.000000 0.000000
3751.07 4.390773 0.118854 4.390773 0.000000 0.000000
3756.07 4.322390 0.106217 4.322390 0.000000 0.000000
3761.07 4.326548 0.070336 4.326548 0.000000 0.000000
3766.07 4.309671 0.070472 4.309671 0.000000 0.000000
3771.07 4.257657 0.171323 4.257657 0.000000 0.000000
3776.07 4.445686 0.146931 4.445686 0.000000 0.000000
3781.07 4.638746 0.105677 4.638746 0.000000 0.000000
3786.08 4.617775 0.116616 4.617775 0.000000 0.000000
3791.08 4.486809 0.130097 4.486809 0.000000 0.000000
3796.08 4.310945 0.213776 4.310945 0.000000 0.000000
3801.08 4.340013 0.215906 4.340013 0.000000 0.000000
3806.08 4.535757 0.151863 4.535757 0.000000 0.000000
3811.08 4.635430 0.162569 4.635430 0.000000 0.000000
3816.08 4.648519 0.168461 4.648519 0.000000 0.000000
3821.08 4.598944 0.166073 4.598944 0.000000 0.000000
3826.09 4.505975 0.124363 4.505975 0.000000 0.000000
3831.09 4.280913 0.153595 4.280913 0.000000 0.000000
3836.09 4.118976 0.239347 4.118976 0.000000 0.000000
3841.09 4.288995 0.157102 4.288995 0.000000 0.000000
3846.09 4.447870 0.123449 4.447870 0.000000 0.000000
3851.09 4.471776 0.161192 4.471776 0.000000 0.000000
3856.09 4.429366 0.197455 4.429366 0.000000 0.000000
3861.09 4.410645 0.188049 4.410645 0.000000 0.000000
3866.10 4.371662 0.184406 4.371662 0.000000 0.000000
3871.10 4.344462 0.162452 4.344462 0.000000 0.000000
3876.10 4.299703 0.131764 4.299703 0.000000 0.000000
3881.10 4.121013 0.124947 4.121013 0.000000 0.000000
3886.10 3.834561 0.211486 3.834561 0.000000 0.000000
3891.10 3.808447 0.240232 3.808447 0.000000 0.000000
3896.10 4.071723 0.163191 4.071723 0.000000 0.000000
3901.10 4.249123 0.147635 4.249123 0.000000 0.000000
3906.11 4.270894 0.153820 4.270894 0.000000 0.000000
3911.11 4.220328 0.143250 4.220328 0.000000 0.000000
3916.11 4.143891 0.138253 4.143891 0.000000 0.000000
3921.11 4.077285 0.153106 4.077285 0.000000 0.000000
3926.11 4.038380 0.156029 4.038380 0.000000 0.000000
3931.11 3.976930 0.177657 3.976930 0.000000 0.000000
3936.11 3.979873 0.186914 3.979873 0.000000 0.000000
3941.12 4.065801 0.159168 4.065801 0.000000 0.000000
3946.12 4.082828 0.169694 4.082828 0.000000 0.000000
3951.12 4.060128 0.167595 4.060128 0.000000 0.000000
3956.12 3.982962 0.141871 3.982962 0.000000 0.000000
3961.12 3.787206 0.106290 3.787206 0.000000 0.000000
3966.12 3.475824 0.153082 3.475824 0.000000 0.000000
3971.12 3.350482 0.223033 3.350482 0.000000 0.000000
3976.12 3.614794 0.126568 3.614794 0.000000 0.000000
3981.13 3.806394 0.115239 3.806394 0.000000 0.000000
3986.13 3.834706 0.129081 3.834706 0.000000 0.000000
3991.13 3.793397 0.125911 3.793397 0.000000 0.000000
3996.13 3.764283 0.117487 3.764283 0.000000 0.000000
4001.13 3.740660 0.128089 3.740660 0.000000 0.000000
4006.13 3.715607 0.132467 3.715607 0.000000 0.000000
4011.13 3.685520 0.123459 3.685520 0.000000 0.000000
4016.13 3.641503 0.106290 3.641503 0.000000 0.000000
4021.14 3.555322 0.120898 3.555322 0.000000 0.000000
4026.14 3.470134 0.159302 3.470134 0.000000 0.000000
4031.14 3.488447 0.126285 3.488447 0.000000 0.000000
4036.14 3.526244 0.111815 3.526244 0.000000 0.000000
4041.14 3.567580 0.119484 3.567580 0.000000 0.000000
4046.14 3.588054 0.134756 3.588054 0.000000 0.000000
4051.14 3.595747 0.129657 3.595747 0.000000 0.000000
4056.15 3.563520 0.144596 3.563520 0.000000 0.000000
4061.15 3.546625 0.140986 3.546625 0.000000 0.000000
4066.15 3.523078 0.134046 3.523078 0.000000 0.000000
4071.15 3.473087 0.145283 3.473087 0.000000 0.000000
4076.15 3.459444 0.142621 3.459444 0.000000 0.000000
4081.15 3.439579 0.143865 3.439579 0.000000 0.000000
4086.15 3.382276 0.136915 3.382276 0.000000 0.000000
4091.15 3.294374 0.097803 3.294374 0.000000 0.000000
4096.16 3.091724 0.116923 3.091724 0.000000 0.000000
4101.16 2.896920 0.206890 2.896920 0.000000 0.000000
4106.16 3.031221 0.161672 3.031221 0.000000 0.000000
4111.16 3.244087 0.121434 3.244087 0.000000 0.000000
4116.16 3.309517 0.141967 3.309517 0.000000 0.000000
4121.16 3.318604 0.135901 3.318604 0.000000 0.000000
4126.16 3.311059 0.135734 3.311059 0.000000 0.000000
4131.17 3.304340 0.131147 3.304340 0.000000 0.000000
4136.17 3.282842 0.130568 3.282842 0.000000 0.000000
4141.17 3.258918 0.129330 3.258918 0.000000 0.000000
4146.17 3.244801 0.121777 3.244801 0.000000 0.000000
4151.17 3.231102 0.124200 3.231102 0.000000 0.000000
4156.17 3.229472 0.124913 3.229472 0.000000 0.000000
4161.17 3.213803 0.130052 3.213803 0.000000 0.000000
4166.17 3.192666 0.128173 3.192666 0.000000 0.000000
4171.18 3.175755 0.130116 3.175755 0.000000 0.000000
4176.18 3.165456 0.136884 3.165456 0.000000 0.000000
4181.18 3.154830 0.136958 3.154830 0.000000 0.000000
4186.18 3.125080 0.131908 3.125080 0.000000 0.000000
4191.18 3.061807 0.134756 3.061807 0.000000 0.000000
4196.18 2.976036 0.149046 2.976036 0.000000 0.000000
4201.18 2.925914 0.158571 2.925914 0.000000 0.000000
4206.18 2.978519 0.117796 2.978519 0.000000 0.000000
4211.19 3.013246 0.107511 3.013246 0.000000 0.000000
4216.19 3.008003 0.108168 3.008003 0.000000 0.000000
4221.19 3.002639 0.099973 3.002639 0.000000 0.000000
4226.19 2.995408 0.101921 2.995408 0.000000 0.000000
4231.19 2.984229 0.093235 2.984229 0.000000 0.000000
4236.19 2.954819 0.089617 2.954819 0.000000 0.000000
4241.19 2.932537 0.088862 2.932537 0.000000 0.000000
4246.20 2.930752 0.084854 2.930752 0.000000 0.000000
4251.20 2.928275 0.077988 2.928275 0.000000 0.000000
4256.20 2.903358 0.073087 2.903358 0.000000 0.000000
4261.20 2.871778 0.077003 2.871778 0.000000 0.000000
4266.20 2.847426 0.084910 2.847426 0.000000 0.000000
4271.20 2.840531 0.079396 2.840531 0.000000 0.000000
4276.20 2.832905 0.077758 2.832905 0.000000 0.000000
4281.20 2.820014 0.075754 2.820014 0.000000 0.000000
4286.21 2.807442 0.066651 2.807442 0.000000 0.000000
4291.21 2.791812 0.069058 2.791812 0.000000 0.000000
4296.21 2.789046 0.068612 2.789046 0.000000 0.000000
4301.21 2.784508 0.066713 2.784508 0.000000 0.000000
4306.21 2.775176 0.067407 2.775176 0.000000 0.000000
4311.21 2.778084 0.066315 2.778084 0.000000 0.000000
4316.21 2.768073 0.078498 2.768073 0.000000 0.000000
4321.21 2.745305 0.078346 2.745305 0.000000 0.000000
4326.22 2.714263 0.048084 2.714263 0.000000 0.000000
4331.22 2.609965 0.026744 2.609965 0.000000 0.000000
4336.22 2.417091 0.062664 2.417091 0.000000 0.000000
4341.22 2.304199 0.121826 2.304199 0.000000 0.000000
