# lk ukf_rk3iii uks_rk3iii fh fse fl
# iRMS=3.301950346e-05 0
# 
3000.87 0.011746 0.000000 0.011746 0.000000 0.000000
3005.88 0.011912 0.000000 0.011912 0.000000 0.000000
3010.88 0.012199 0.000000 0.012199 0.000000 0.000000
3015.88 0.012604 0.000000 0.012604 0.000000 0.000000
3020.88 0.013126 0.000000 0.013126 0.000000 0.000000
3025.88 0.013763 0.000000 0.013763 0.000000 0.000000
3030.88 0.014513 0.000000 0.014513 0.000000 0.000000
3035.88 0.015373 0.000000 0.015373 0.000000 0.000000
3040.88 0.016342 0.000000 0.016342 0.000000 0.000000
3045.89 0.017417 0.000000 0.017417 0.000000 0.000000
3050.89 0.018597 0.000000 0.018597 0.000000 0.000000
3055.89 0.019875 0.000000 0.019875 0.000000 0.000000
3060.89 0.021228 0.000000 0.021228 0.000000 0.000000
3065.89 0.022627 0.000000 0.022627 0.000000 0.000000
3070.89 0.024043 0.000000 0.024043 0.000000 0.000000
3075.89 0.025448 0.000000 0.025448 0.000000 0.000000
3080.89 0.026814 0.000000 0.026814 0.000000 0.000000
3085.90 0.028113 0.000000 0.028113 0.000000 0.000000
3090.90 0.029316 0.000000 0.029316 0.000000 0.000000
3095.90 0.030395 0.000000 0.030395 0.000000 0.000000
3100.90 0.031321 0.000000 0.031321 0.000000 0.000000
3105.90 0.032076 0.000000 0.032076 0.000000 0.000000
3110.90 0.032677 0.000000 0.032677 0.000000 0.000000
3115.90 0.033152 0.000000 0.033152 0.000000 0.000000
3120.90 0.033529 0.000000 0.033529 0.000000 0.000000
3125.91 0.033833 0.000000 0.033833 0.000000 0.000000
3130.91 0.034093 0.000000 0.034093 0.000000 0.000000
3135.91 0.034336 0.000000 0.034336 0.000000 0.000000
3140.91 0.034590 0.000000 0.034590 0.000000 0.000000
3145.91 0.034881 0.000000 0.034881 0.000000 0.000000
3150.91 0.035237 0.000000 0.035237 0.000000 0.000000
3155.91 0.035675 0.000000 0.035675 0.000000 0.000000
3160.91 0.036178 0.000000 0.036178 0.000000 0.000000
3165.92 0.036718 0.000000 0.036718 0.000000 0.000000
3170.92 0.037265 0.000000 0.037265 0.000000 0.000000
3175.92 0.068691 0.033847 0.068691 0.000000 0.000000
3180.92 0.059681 0.023452 0.059681 0.000000 0.000000
3185.92 0.047855 0.010055 0.047855 0.000000 0.000000
3190.92 0.039981 0.001101 0.039981 0.000000 0.000000
3195.92 0.043187 0.004429 0.043187 0.000000 0.000000
3200.92 0.066919 0.000000 0.066919 0.000000 0.000000
3205.93 0.085329 0.000000 0.085329 0.000000 0.000000
3210.93 0.087360 0.000000 0.087360 0.000000 0.000000
3215.93 0.065490 0.000000 0.065490 0.000000 0.000000
3220.93 0.042884 0.000000 0.042884 0.000000 0.000000
3225.93 0.041997 0.000000 0.041997 0.000000 0.000000
3230.93 0.051761 0.000000 0.051761 0.000000 0.000000
3235.93 0.056343 0.000000 0.056343 0.000000 0.000000
3240.94 0.054371 0.000000 0.054371 0.000000 0.000000
3245.94 0.049423 0.000000 0.049423 0.000000 0.000000
3250.94 0.050418 0.000000 0.050418 0.000000 0.000000
3255.94 0.062932 0.000000 0.062932 0.000000 0.000000
3260.94 0.073819 0.000000 0.073819 0.000000 0.000000
3265.94 0.070402 0.000000 0.070402 0.000000 0.000000
3270.94 0.060594 0.000000 0.060594 0.000000 0.000000
3275.94 0.055329 0.000000 0.055329 0.000000 0.000000
3280.95 0.057045 0.000000 0.057045 0.000000 0.000000
3285.95 0.065025 0.000000 0.065025 0.000000 0.000000
3290.95 0.074422 0.000000 0.074422 0.000000 0.000000
3295.95 0.080212 0.000000 0.080212 0.000000 0.000000
3300.95 0.080784 0.000000 0.080784 0.000000 0.000000
3305.95 0.076656 0.000000 0.076656 0.000000 0.000000
3310.95 0.073452 0.000000 0.073452 0.000000 0.000000
3315.95 0.075511 0.000000 0.075511 0.000000 0.000000
3320.96 0.076917 0.000000 0.076917 0.000000 0.000000
3325.96 0.072453 0.000000 0.072453 0.000000 0.000000
3330.96 0.069946 0.000000 0.069946 0.000000 0.000000
3335.96 0.076408 0.000000 0.076408 0.000000 0.000000
3340.96 0.082527 0.000000 0.082527 0.000000 0.000000
3345.96 0.078484 0.000000 0.078484 0.000000 0.000000
3350.96 0.068729 0.000000 0.068729 0.000000 0.000000
3355.96 0.060303 0.000000 0.060303 0.000000 0.000000
3360.97 0.056326 0.000000 0.056326 0.000000 0.000000
3365.97 0.057834 0.000000 0.057834 0.000000 0.000000
3370.97 0.061454 0.000000 0.061454 0.000000 0.000000
3375.97 0.063761 0.000000 0.063761 0.000000 0.000000
3380.97 0.065524 0.000000 0.065524 0.000000 0.000000
3385.97 0.068396 0.000000 0.068396 0.000000 0.000000
3390.97 0.073359 0.000000 0.073359 0.000000 0.000000
3395.97 0.079916 0.000000 0.079916 0.000000 0.000000
3400.98 0.082327 0.000000 0.082327 0.000000 0.000000
3405.98 0.076727 0.000000 0.076727 0.000000 0.000000
3410.98 0.072004 0.000000 0.072004 0.000000 0.000000
3415.98 0.076658 0.000000 0.076658 0.000000 0.000000
3420.98 0.084879 0.000000 0.084879 0.000000 0.000000
3425.98 0.088539 0.000000 0.088539 0.000000 0.000000
3430.98 0.084543 0.000000 0.084543 0.000000 0.000000
3435.98 0.073161 0.000000 0.073161 0.000000 0.000000
3440.99 0.063077 0.000000 0.063077 0.000000 0.000000
3445.99 0.062383 0.000000 0.062383 0.000000 0.000000
3450.99 0.068387 0.000000 0.068387 0.000000 0.000000
3455.99 0.075839 0.000000 0.075839 0.000000 0.000000
3460.99 0.080048 0.000000 0.080048 0.000000 0.000000
3465.99 0.078263 0.000000 0.078263 0.000000 0.000000
3470.99 0.074970 0.000000 0.074970 0.000000 0.000000
3475.99 0.074805 0.000000 0.074805 0.000000 0.000000
3481.00 0.075789 0.000000 0.075789 0.000000 0.000000
3486.00 0.075414 0.000000 0.075414 0.000000 0.000000
3491.00 0.075656 0.000000 0.075656 0.000000 0.000000
3496.00 0.078700 0.000000 0.078700 0.000000 0.000000
3501.00 0.083066 0.000000 0.083066 0.000000 0.000000
3506.00 0.086172 0.000000 0.086172 0.000000 0.000000
3511.00 0.073733 0.012000 0.073733 0.000000 0.000000
3516.01 0.073220 0.004615 0.073220 0.000000 0.000000
3521.01 0.065118 0.008170 0.065118 0.000000 0.000000
3526.01 0.065210 0.013338 0.065210 0.000000 0.000000
3531.01 0.080227 0.006539 0.080227 0.000000 0.000000
3536.01 0.091710 0.000033 0.091710 0.000000 0.000000
3541.01 0.093973 0.000652 0.093973 0.000000 0.000000
3546.01 0.087513 0.004530 0.087513 0.000000 0.000000
3551.01 0.079970 0.006135 0.079970 0.000000 0.000000
3556.02 0.072357 0.003192 0.072357 0.000000 0.000000
3561.02 0.067506 0.000672 0.067506 0.000000 0.000000
3566.02 0.060759 0.004889 0.060759 0.000000 0.000000
3571.02 0.054736 0.009691 0.054736 0.000000 0.000000
3576.02 0.051368 0.004919 0.051368 0.000000 0.000000
3581.02 0.043616 0.006604 0.043616 0.000000 0.000000
3586.02 0.047419 0.006219 0.047419 0.000000 0.000000
3591.02 0.058042 0.005337 0.058042 0.000000 0.000000
3596.03 0.070453 0.003339 0.070453 0.000000 0.000000
3601.03 0.085884 0.009946 0.085884 0.000000 0.000000
3606.03 0.081256 0.017075 0.081256 0.000000 0.000000
3611.03 0.068048 0.012942 0.068048 0.000000 0.000000
3616.03 0.073355 0.008443 0.073355 0.000000 0.000000
3621.03 0.086385 0.006279 0.086385 0.000000 0.000000
3626.03 0.100377 0.003261 0.100377 0.000000 0.000000
3631.03 0.093717 0.010041 0.093717 0.000000 0.000000
3636.04 0.097286 0.019403 0.097286 0.000000 0.000000
3641.04 0.109904 0.011533 0.109904 0.000000 0.000000
3646.04 0.098088 0.012573 0.098088 0.000000 0.000000
3651.04 0.095245 0.013244 0.095245 0.000000 0.000000
3656.04 0.124867 0.010896 0.124867 0.000000 0.000000
3661.04 0.146585 0.018045 0.146585 0.000000 0.000000
3666.04 0.141190 0.023131 0.141190 0.000000 0.000000
3671.05 0.135776 0.015072 0.135776 0.000000 0.000000
3676.05 0.135654 0.011207 0.135654 0.000000 0.000000
3681.05 0.124043 0.020120 0.124043 0.000000 0.000000
3686.05 0.113914 0.017010 0.113914 0.000000 0.000000
3691.05 0.114601 0.010835 0.114601 0.000000 0.000000
3696.05 0.132815 0.010232 0.132815 0.000000 0.000000
3701.05 0.142594 0.017069 0.142594 0.000000 0.000000
3706.05 0.120614 0.030250 0.120614 0.000000 0.000000
3711.06 0.111047 0.017008 0.111047 0.000000 0.000000
3716.06 0.105929 0.007267 0.105929 0.000000 0.000000
3721.06 0.086981 0.022297 0.086981 0.000000 0.000000
3726.06 0.086299 0.022139 0.086299 0.000000 0.000000
3731.06 0.081751 0.022013 0.081751 0.000000 0.000000
3736.06 0.067117 0.022927 0.067117 0.000000 0.000000
3741.06 0.063635 0.012920 0.063635 0.000000 0.000000
3746.06 0.061713 0.013988 0.061713 0.000000 0.000000
3751.07 0.070010 0.011765 0.070010 0.000000 0.000000
3756.07 0.083139 0.004670 0.083139 0.000000 0.000000
3761.07 0.081390 0.012779 0.081390 0.000000 0.000000
3766.07 0.087268 0.012950 0.087268 0.000000 0.000000
3771.07 0.106881 0.006152 0.106881 0.000000 0.000000
3776.07 0.125611 0.010922 0.125611 0.000000 0.000000
3781.07 0.133311 0.014191 0.133311 0.000000 0.000000
3786.08 0.115787 0.011672 0.115787 0.000000 0.000000
3791.08 0.091649 0.007233 0.091649 0.000000 0.000000
3796.08 0.081788 0.005943 0.081788 0.000000 0.000000
3801.08 0.088896 0.003529 0.088896 0.000000 0.000000
3806.08 0.102353 0.001171 0.102353 0.000000 0.000000
3811.08 0.099947 0.005523 0.099947 0.000000 0.000000
3816.08 0.081101 0.005267 0.081101 0.000000 0.000000
3821.08 0.059169 0.003975 0.059169 0.000000 0.000000
3826.09 0.050379 0.003724 0.050379 0.000000 0.000000
3831.09 0.054589 0.001005 0.054589 0.000000 0.000000
3836.09 0.059796 0.000961 0.059796 0.000000 0.000000
3841.09 0.065367 0.002445 0.065367 0.000000 0.000000
3846.09 0.075721 0.000690 0.075721 0.000000 0.000000
3851.09 0.078172 0.000092 0.078172 0.000000 0.000000
3856.09 0.071179 0.002868 0.071179 0.000000 0.000000
3861.09 0.065504 0.003187 0.065504 0.000000 0.000000
3866.10 0.070617 0.001944 0.070617 0.000000 0.000000
3871.10 0.074300 0.002626 0.074300 0.000000 0.000000
3876.10 0.074627 0.000262 0.074627 0.000000 0.000000
3881.10 0.078477 0.004884 0.078477 0.000000 0.000000
3886.10 0.091537 0.012142 0.091537 0.000000 0.000000
3891.10 0.107712 0.016140 0.107712 0.000000 0.000000
3896.10 0.119090 0.013947 0.119090 0.000000 0.000000
3901.10 0.121498 0.017960 0.121498 0.000000 0.000000
3906.11 0.127220 0.022824 0.127220 0.000000 0.000000
3911.11 0.135676 0.018996 0.135676 0.000000 0.000000
3916.11 0.127532 0.016235 0.127532 0.000000 0.000000
3921.11 0.103141 0.016056 0.103141 0.000000 0.000000
3926.11 0.093459 0.028516 0.093459 0.000000 0.000000
3931.11 0.069856 0.029117 0.069856 0.000000 0.000000
3936.11 0.069580 0.034593 0.069580 0.000000 0.000000
3941.12 0.094452 0.043737 0.094452 0.000000 0.000000
3946.12 0.117355 0.032345 0.117355 0.000000 0.000000
3951.12 0.128091 0.012108 0.128091 0.000000 0.000000
3956.12 0.132870 0.016512 0.132870 0.000000 0.000000
3961.12 0.126592 0.036469 0.126592 0.000000 0.000000
3966.12 0.091748 0.039882 0.091748 0.000000 0.000000
3971.12 0.080644 0.038479 0.080644 0.000000 0.000000
3976.12 0.117054 0.023569 0.117054 0.000000 0.000000
3981.13 0.176968 0.029556 0.176968 0.000000 0.000000
3986.13 0.220243 0.044948 0.220243 0.000000 0.000000
3991.13 0.228346 0.034702 0.228346 0.000000 0.000000
3996.13 0.252745 0.047203 0.252745 0.000000 0.000000
4001.13 0.261553 0.037905 0.261553 0.000000 0.000000
4006.13 0.257320 0.023349 0.257320 0.000000 0.000000
4011.13 0.266219 0.015138 0.266219 0.000000 0.000000
4016.13 0.281831 0.016229 0.281831 0.000000 0.000000
4021.14 0.285141 0.026340 0.285141 0.000000 0.000000
4026.14 0.284842 0.025737 0.284842 0.000000 0.000000
4031.14 0.265330 0.033757 0.265330 0.000000 0.000000
4036.14 0.267027 0.028358 0.267027 0.000000 0.000000
4041.14 0.277984 0.024725 0.277984 0.000000 0.000000
4046.14 0.256293 0.032872 0.256293 0.000000 0.000000
4051.14 0.254362 0.014877 0.254362 0.000000 0.000000
4056.15 0.259890 0.010990 0.259890 0.000000 0.000000
4061.15 0.256162 0.028666 0.256162 0.000000 0.000000
4066.15 0.249241 0.013870 0.249241 0.000000 0.000000
4071.15 0.251697 0.008960 0.251697 0.000000 0.000000
4076.15 0.259305 0.011477 0.259305 0.000000 0.000000
4081.15 0.278584 0.005537 0.278584 0.000000 0.000000
4086.15 0.315718 0.014046 0.315718 0.000000 0.000000
4091.15 0.331294 0.017234 0.331294 0.000000 0.000000
4096.16 0.302718 0.015818 0.302718 0.000000 0.000000
4101.16 0.277283 0.025320 0.277283 0.000000 0.000000
4106.16 0.285005 0.007295 0.285005 0.000000 0.000000
4111.16 0.284737 0.016430 0.284737 0.000000 0.000000
4116.16 0.270940 0.025869 0.270940 0.000000 0.000000
4121.16 0.267841 0.011597 0.267841 0.000000 0.000000
4126.16 0.271097 0.008858 0.271097 0.000000 0.000000
4131.17 0.257272 0.003475 0.257272 0.000000 0.000000
4136.17 0.251141 0.008103 0.251141 0.000000 0.000000
4141.17 0.241068 0.011334 0.241068 0.000000 0.000000
4146.17 0.237648 0.005429 0.237648 0.000000 0.000000
4151.17 0.233305 0.012421 0.233305 0.000000 0.000000
4156.17 0.246871 0.016157 0.246871 0.000000 0.000000
4161.17 0.264288 0.027202 0.264288 0.000000 0.000000
4166.17 0.252327 0.036163 0.252327 0.000000 0.000000
4171.18 0.243942 0.013141 0.243942 0.000000 0.000000
4176.18 0.240354 0.004746 0.240354 0.000000 0.000000
4181.18 0.256417 0.015630 0.256417 0.000000 0.000000
4186.18 0.279353 0.007139 0.279353 0.000000 0.000000
4191.18 0.288551 0.008027 0.288551 0.000000 0.000000
4196.18 0.269867 0.004048 0.269867 0.000000 0.000000
4201.18 0.252088 0.009082 0.252088 0.000000 0.000000
4206.18 0.276093 0.013953 0.276093 0.000000 0.000000
4211.19 0.298152 0.009703 0.298152 0.000000 0.000000
4216.19 0.316945 0.025764 0.316945 0.000000 0.000000
4221.19 0.323029 0.027967 0.323029 0.000000 0.000000
4226.19 0.268579 0.050928 0.268579 0.000000 0.000000
4231.19 0.264284 0.023388 0.264284 0.000000 0.000000
4236.19 0.303960 0.007095 0.303960 0.000000 0.000000
4241.19 0.350176 0.010272 0.350176 0.000000 0.000000
4246.20 0.373614 0.009795 0.373614 0.000000 0.000000
4251.20 0.349987 0.028533 0.349987 0.000000 0.000000
4256.20 0.333671 0.030085 0.333671 0.000000 0.000000
4261.20 0.340838 0.009779 0.340838 0.000000 0.000000
4266.20 0.356473 0.014705 0.356473 0.000000 0.000000
4271.20 0.340632 0.028447 0.340632 0.000000 0.000000
4276.20 0.334233 0.037394 0.334233 0.000000 0.000000
4281.20 0.348847 0.021672 0.348847 0.000000 0.000000
4286.21 0.342246 0.014224 0.342246 0.000000 0.000000
4291.21 0.318284 0.018797 0.318284 0.000000 0.000000
4296.21 0.308430 0.015322 0.308430 0.000000 0.000000
4301.21 0.285523 0.010607 0.285523 0.000000 0.000000
4306.21 0.263364 0.015980 0.263364 0.000000 0.000000
4311.21 0.292318 0.027557 0.292318 0.000000 0.000000
4316.21 0.396926 0.020453 0.396926 0.000000 0.000000
4321.21 0.460250 0.048100 0.460250 0.000000 0.000000
4326.22 0.445941 0.054339 0.445941 0.000000 0.000000
4331.22 0.457420 0.006739 0.457420 0.000000 0.000000
4336.22 0.474184 0.023605 0.474184 0.000000 0.000000
4341.22 0.462176 0.016236 0.462176 0.000000 0.000000
4346.22 0.479604 0.015230 0.479604 0.000000 0.000000
4351.22 0.499167 0.006779 0.499167 0.000000 0.000000
4356.22 0.507980 0.005658 0.507980 0.000000 0.000000
4361.23 0.520692 0.008962 0.520692 0.000000 0.000000
4366.23 0.531446 0.020779 0.531446 0.000000 0.000000
4371.23 0.508631 0.024978 0.508631 0.000000 0.000000
4376.23 0.476246 0.021354 0.476246 0.000000 0.000000
4381.23 0.428312 0.008888 0.428312 0.000000 0.000000
4386.23 0.387219 0.019305 0.387219 0.000000 0.000000
4391.23 0.413716 0.012849 0.413716 0.000000 0.000000
4396.23 0.461244 0.018969 0.461244 0.000000 0.000000
4401.24 0.484955 0.024441 0.484955 0.000000 0.000000
4406.24 0.451105 0.037602 0.451105 0.000000 0.000000
4411.24 0.450796 0.004836 0.450796 0.000000 0.000000
4416.24 0.476010 0.011369 0.476010 0.000000 0.000000
4421.24 0.504338 0.011897 0.504338 0.000000 0.000000
4426.24 0.510624 0.018298 0.510624 0.000000 0.000000
4431.24 0.509281 0.019401 0.509281 0.000000 0.000000
4436.25 0.508762 0.009012 0.508762 0.000000 0.000000
4441.25 0.538812 0.014919 0.538812 0.000000 0.000000
4446.25 0.571946 0.001070 0.571946 0.000000 0.000000
4451.25 0.585722 0.011428 0.585722 0.000000 0.000000
4456.25 0.534251 0.016726 0.534251 0.000000 0.000000
4461.25 0.496712 0.022192 0.496712 0.000000 0.000000
4466.25 0.534623 0.027746 0.534623 0.000000 0.000000
4471.25 0.585958 0.016415 0.585958 0.000000 0.000000
4476.26 0.629949 0.012780 0.629949 0.000000 0.000000
4481.26 0.636022 0.005680 0.636022 0.000000 0.000000
4486.26 0.645001 0.011903 0.645001 0.000000 0.000000
4491.26 0.631151 0.009792 0.631151 0.000000 0.000000
4496.26 0.619179 0.005445 0.619179 0.000000 0.000000
4501.26 0.657620 0.035070 0.657620 0.000000 0.000000
4506.26 0.704430 0.032081 0.704430 0.000000 0.000000
4511.27 0.717478 0.004100 0.717478 0.000000 0.000000
4516.27 0.703431 0.014661 0.703431 0.000000 0.000000
4521.27 0.668965 0.016226 0.668965 0.000000 0.000000
4526.27 0.596248 0.003198 0.596248 0.000000 0.000000
4531.27 0.565117 0.022746 0.565117 0.000000 0.000000
4536.27 0.603025 0.020681 0.603025 0.000000 0.000000
4541.27 0.634042 0.008791 0.634042 0.000000 0.000000
4546.27 0.639603 0.014214 0.639603 0.000000 0.000000
4551.28 0.642658 0.021247 0.642658 0.000000 0.000000
