# lk ukf_k4v uks_k4v fh fse fl
# iRMS=7.326521882e-05 0
# 
3526.01 0.164733 0.006901 0.164733 0.000000 0.000000
3531.01 0.206567 0.032299 0.206567 0.000000 0.000000
3536.01 0.236664 0.042226 0.236664 0.000000 0.000000
3541.01 0.247996 0.039601 0.247996 0.000000 0.000000
3546.01 0.242262 0.033778 0.242262 0.000000 0.000000
3551.01 0.224592 0.027830 0.224592 0.000000 0.000000
3556.02 0.201456 0.023513 0.201456 0.000000 0.000000
3561.02 0.183625 0.026224 0.183625 0.000000 0.000000
3566.02 0.139833 0.004040 0.139833 0.000000 0.000000
3571.02 0.125155 0.003178 0.125155 0.000000 0.000000
3576.02 0.121458 0.010179 0.121458 0.000000 0.000000
3581.02 0.099827 0.005762 0.099827 0.000000 0.000000
3586.02 0.118469 0.006031 0.118469 0.000000 0.000000
3591.02 0.142717 0.015510 0.142717 0.000000 0.000000
3596.03 0.170111 0.031024 0.170111 0.000000 0.000000
3601.03 0.175135 0.027905 0.175135 0.000000 0.000000
3606.03 0.145735 0.006757 0.145735 0.000000 0.000000
3611.03 0.151162 0.000000 0.151162 0.000000 0.000000
3616.03 0.163449 0.000000 0.163449 0.000000 0.000000
3621.03 0.180650 0.000000 0.180650 0.000000 0.000000
3626.03 0.212626 0.000000 0.212626 0.000000 0.000000
3631.03 0.167051 0.000000 0.167051 0.000000 0.000000
3636.04 0.193100 0.000000 0.193100 0.000000 0.000000
3641.04 0.228217 0.000000 0.228217 0.000000 0.000000
3646.04 0.184818 0.000000 0.184818 0.000000 0.000000
3651.04 0.221841 0.000000 0.221841 0.000000 0.000000
3656.04 0.298406 0.000000 0.298406 0.000000 0.000000
3661.04 0.327205 0.000000 0.327205 0.000000 0.000000
3666.04 0.317929 0.000000 0.317929 0.000000 0.000000
3671.05 0.300829 0.000000 0.300829 0.000000 0.000000
3676.05 0.258868 0.000000 0.258868 0.000000 0.000000
3681.05 0.199667 0.000000 0.199667 0.000000 0.000000
3686.05 0.216170 0.000000 0.216170 0.000000 0.000000
3691.05 0.264304 0.000000 0.264304 0.000000 0.000000
