# lk ukf_a0v uks_a0v fh fl fc
# iRMS=4.188829189e-05 0
# 
3526.01 0.917938 0.004038 0.917938 0.000000 0.000000
3531.01 0.925882 0.005642 0.925882 0.000000 0.000000
3536.01 0.934025 0.003725 0.934025 0.000000 0.000000
3541.01 0.934882 0.000887 0.934882 0.000000 0.000000
3546.01 0.928635 0.004754 0.928635 0.000000 0.000000
3551.01 0.922378 0.010099 0.922378 0.000000 0.000000
3556.02 0.919969 0.009739 0.919969 0.000000 0.000000
3561.02 0.917202 0.006697 0.917202 0.000000 0.000000
3566.02 0.906070 0.000535 0.906070 0.000000 0.000000
3571.02 0.894498 0.006151 0.894498 0.000000 0.000000
3576.02 0.893153 0.008282 0.893153 0.000000 0.000000
3581.02 0.892547 0.010365 0.892547 0.000000 0.000000
3586.02 0.887421 0.011673 0.887421 0.000000 0.000000
3591.02 0.889092 0.003351 0.889092 0.000000 0.000000
3596.03 0.895562 0.006928 0.895562 0.000000 0.000000
3601.03 0.897085 0.005081 0.897085 0.000000 0.000000
3606.03 0.896206 0.006046 0.896206 0.000000 0.000000
3611.03 0.883098 0.000000 0.883098 0.000000 0.000000
3616.03 0.881046 0.000000 0.881046 0.000000 0.000000
3621.03 0.885908 0.000000 0.885908 0.000000 0.000000
3626.03 0.896548 0.000000 0.896548 0.000000 0.000000
3631.03 0.899074 0.000000 0.899074 0.000000 0.000000
3636.04 0.901410 0.000000 0.901410 0.000000 0.000000
3641.04 0.903462 0.000000 0.903462 0.000000 0.000000
3646.04 0.900716 0.000000 0.900716 0.000000 0.000000
3651.04 0.907777 0.000000 0.907777 0.000000 0.000000
3656.04 0.919733 0.000000 0.919733 0.000000 0.000000
3661.04 0.921648 0.000000 0.921648 0.000000 0.000000
3666.04 0.919670 0.000000 0.919670 0.000000 0.000000
3671.05 0.917523 0.000000 0.917523 0.000000 0.000000
3676.05 0.908440 0.000000 0.908440 0.000000 0.000000
3681.05 0.897727 0.000000 0.897727 0.000000 0.000000
3686.05 0.895790 0.000000 0.895790 0.000000 0.000000
3691.05 0.904367 0.000000 0.904367 0.000000 0.000000
3696.05 0.916081 0.000000 0.916081 0.000000 0.000000
3701.05 0.920332 0.000000 0.920332 0.000000 0.000000
3706.05 0.942691 0.029484 0.942691 0.000000 0.000000
3711.06 0.962079 0.035170 0.962079 0.000000 0.000000
3716.06 1.006473 0.043246 1.006473 0.000000 0.000000
3721.06 1.015919 0.033256 1.015919 0.000000 0.000000
3726.06 1.066856 0.052393 1.066856 0.000000 0.000000
3731.06 1.071680 0.053043 1.071680 0.000000 0.000000
3736.06 1.023150 0.002509 1.023150 0.000000 0.000000
3741.06 1.152860 0.052118 1.152860 0.000000 0.000000
3746.06 1.121979 0.037070 1.121979 0.000000 0.000000
3751.07 1.014114 0.032051 1.014114 0.000000 0.000000
3756.07 1.176449 0.000000 1.176449 0.000000 0.000000
3761.07 1.308511 0.026223 1.308511 0.000000 0.000000
3766.07 1.203920 0.018269 1.203920 0.000000 0.000000
3771.07 1.058592 0.009433 1.058592 0.000000 0.000000
3776.07 1.254845 0.011296 1.254845 0.000000 0.000000
3781.07 1.547439 0.065271 1.547439 0.000000 0.000000
3786.08 1.629362 0.089090 1.629362 0.000000 0.000000
3791.08 1.421449 0.061982 1.421449 0.000000 0.000000
3796.08 1.132716 0.009318 1.132716 0.000000 0.000000
3801.08 1.151134 0.002537 1.151134 0.000000 0.000000
3806.08 1.512220 0.065991 1.512220 0.000000 0.000000
3811.08 1.808515 0.113027 1.808515 0.000000 0.000000
3816.08 1.906824 0.098805 1.906824 0.000000 0.000000
3821.08 1.848355 0.102683 1.848355 0.000000 0.000000
3826.09 1.605863 0.094708 1.605863 0.000000 0.000000
3831.09 1.239301 0.015795 1.239301 0.000000 0.000000
3836.09 1.024814 0.033470 1.024814 0.000000 0.000000
3841.09 1.288405 0.040168 1.288405 0.000000 0.000000
3846.09 1.665269 0.074716 1.665269 0.000000 0.000000
3851.09 1.967488 0.091362 1.967488 0.000000 0.000000
3856.09 2.133631 0.097376 2.133631 0.000000 0.000000
3861.09 2.222178 0.109504 2.222178 0.000000 0.000000
3866.10 2.240900 0.117227 2.240900 0.000000 0.000000
3871.10 2.131039 0.102634 2.131039 0.000000 0.000000
3876.10 1.892601 0.081989 1.892601 0.000000 0.000000
3881.10 1.561640 0.035173 1.561640 0.000000 0.000000
3886.10 1.171697 0.015594 1.171697 0.000000 0.000000
3891.10 1.066769 0.025949 1.066769 0.000000 0.000000
3896.10 1.381757 0.051410 1.381757 0.000000 0.000000
3901.10 1.757191 0.084669 1.757191 0.000000 0.000000
3906.11 2.015894 0.101267 2.015894 0.000000 0.000000
3911.11 2.211767 0.099609 2.211767 0.000000 0.000000
3916.11 2.313839 0.094064 2.313839 0.000000 0.000000
3921.11 2.364872 0.110402 2.364872 0.000000 0.000000
3926.11 2.323770 0.153962 2.323770 0.000000 0.000000
3931.11 2.086366 0.126855 2.086366 0.000000 0.000000
3936.11 2.056262 0.156892 2.056262 0.000000 0.000000
3941.12 2.212616 0.159694 2.212616 0.000000 0.000000
3946.12 2.212184 0.102809 2.212184 0.000000 0.000000
3951.12 2.072719 0.061080 2.072719 0.000000 0.000000
3956.12 1.877199 0.062097 1.877199 0.000000 0.000000
3961.12 1.559220 0.020361 1.559220 0.000000 0.000000
3966.12 1.143353 0.028250 1.143353 0.000000 0.000000
3971.12 0.985721 0.036184 0.985721 0.000000 0.000000
3976.12 1.275134 0.030899 1.275134 0.000000 0.000000
3981.13 1.649597 0.039335 1.649597 0.000000 0.000000
3986.13 1.946936 0.042056 1.946936 0.000000 0.000000
3991.13 2.155706 0.051058 2.155706 0.000000 0.000000
3996.13 2.272316 0.048353 2.272316 0.000000 0.000000
4001.13 2.340788 0.053371 2.340788 0.000000 0.000000
4006.13 2.364400 0.079253 2.364400 0.000000 0.000000
