# lk ukf_m10iii uks_m10iii
# iRMS=0
# 
3000.87 0.001470 0.000000
3005.88 0.002276 0.000000
3010.88 0.002900 0.000000
3015.88 0.001959 0.000000
3020.88 0.000040 0.000000
3025.88 0.002079 0.000000
3030.88 0.006942 0.000000
3035.88 0.006796 0.000000
3040.88 0.003947 0.000000
3045.89 0.002367 0.000000
3050.89 0.002700 0.000000
3055.89 0.004425 0.000000
3060.89 0.006630 0.000000
3065.89 0.008775 0.000000
3070.89 0.011285 0.000000
3075.89 0.015013 0.000000
3080.89 0.018302 0.000000
3085.90 0.018250 0.000000
3090.90 0.012504 0.000000
3095.90 0.011088 0.000000
3100.90 0.025174 0.000000
3105.90 0.037528 0.000000
3110.90 0.043984 0.000000
3115.90 0.071358 0.000000
3120.90 0.094878 0.000000
3125.91 0.081088 0.000000
3130.91 0.065465 0.000000
3135.91 0.062694 0.000000
3140.91 0.059664 0.000000
3145.91 0.074272 0.000000
3150.91 0.097902 0.000000
3155.91 0.069432 0.000000
3160.91 0.037542 0.000000
3165.92 0.077062 0.000000
3170.92 0.138535 0.000000
3175.92 0.160411 0.000000
3180.92 0.110541 0.000000
3185.92 0.055390 0.000000
3190.92 0.044021 0.000000
3195.92 0.044643 0.000000
3200.92 0.068434 0.000000
3205.93 0.133573 0.000000
3210.93 0.151605 0.000000
3215.93 0.086296 0.000000
3220.93 0.036579 0.000000
3225.93 0.047448 0.000000
3230.93 0.098635 0.000000
3235.93 0.100475 0.000000
3240.94 0.097333 0.000000
3245.94 0.222101 0.000000
3250.94 0.295133 0.000000
3255.94 0.218468 0.000000
3260.94 0.192641 0.000000
3265.94 0.209330 0.000000
3270.94 0.185516 0.000000
3275.94 0.228566 0.000000
3280.95 0.328700 0.000000
3285.95 0.355691 0.000000
3290.95 0.352917 0.000000
3295.95 0.367288 0.000000
3300.95 0.350263 0.000000
3305.95 0.280687 0.000000
3310.95 0.181627 0.000000
3315.95 0.129645 0.000000
3320.96 0.182792 0.000000
3325.96 0.324591 0.000000
3330.96 0.397112 0.000000
3335.96 0.276070 0.000000
3340.96 0.166907 0.000000
3345.96 0.179052 0.000000
3350.96 0.253204 0.000000
3355.96 0.268653 0.000000
3360.97 0.173816 0.000000
3365.97 0.065951 0.000000
3370.97 0.055964 0.000000
3375.97 0.188665 0.000000
3380.97 0.317111 0.000000
3385.97 0.336140 0.000000
3390.97 0.247095 0.000000
3395.97 0.207814 0.000000
3400.98 0.285526 0.000000
3405.98 0.315701 0.000000
3410.98 0.262953 0.000000
3415.98 0.220887 0.000000
3420.98 0.345513 0.000000
3425.98 0.582386 0.000000
3430.98 0.532908 0.000000
3435.98 0.257439 0.000000
3440.99 0.063868 0.000000
3445.99 0.117189 0.000000
3450.99 0.304986 0.000000
3455.99 0.342809 0.000000
3460.99 0.366626 0.000000
3465.99 0.434498 0.000000
3470.99 0.278890 0.000000
3475.99 0.153681 0.000000
3481.00 0.370632 0.000000
3486.00 0.460841 0.000000
3491.00 0.311495 0.000000
3496.00 0.259645 0.000000
3501.00 0.363673 0.000000
3506.00 0.508835 0.000000
3511.00 0.473609 0.000000
3516.01 0.260858 0.000000
3521.01 0.074300 0.000000
3526.01 0.220835 0.000000
3531.01 0.718373 0.000000
3536.01 1.090047 0.000000
3541.01 1.173237 0.000000
3546.01 1.059905 0.000000
3551.01 0.989429 0.000000
3556.02 0.955207 0.000000
3561.02 0.823418 0.000000
3566.02 0.546362 0.000000
3571.02 0.221182 0.000000
3576.02 0.042486 0.000000
3581.02 0.035999 0.000000
3586.02 0.113092 0.000000
3591.02 0.103474 0.000000
3596.03 0.044062 0.000000
3601.03 0.100534 0.000000
3606.03 0.179899 0.000000
3611.03 0.231083 0.000000
3616.03 0.400123 0.000000
3621.03 0.592212 0.000000
3626.03 0.616347 0.000000
3631.03 0.463456 0.000000
3636.04 0.380126 0.000000
3641.04 0.674735 0.000000
3646.04 0.799869 0.000000
3651.04 0.604461 0.000000
3656.04 0.965435 0.000000
3661.04 1.402914 0.000000
3666.04 1.145849 0.000000
3671.05 1.072791 0.000000
3676.05 1.184364 0.000000
3681.05 0.623356 0.000000
3686.05 0.291202 0.000000
3691.05 0.865712 0.000000
3696.05 1.616685 0.000000
3701.05 1.776089 0.000000
3706.05 0.972714 0.000000
3711.06 0.283024 0.000000
3716.06 0.334221 0.000000
3721.06 0.392322 0.000000
3726.06 0.268359 0.000000
3731.06 0.151755 0.000000
3736.06 0.156120 0.000000
3741.06 0.207016 0.000000
3746.06 0.134680 0.000000
3751.07 0.185898 0.000000
3756.07 0.449320 0.000000
3761.07 0.556038 0.000000
3766.07 0.650854 0.000000
3771.07 1.088928 0.000000
3776.07 1.846538 0.000000
3781.07 2.358937 0.000000
3786.08 1.882336 0.000000
3791.08 1.239574 0.000000
3796.08 1.163994 0.000000
3801.08 1.337977 0.000000
3806.08 1.448645 0.000000
3811.08 1.296971 0.000000
3816.08 0.848512 0.000000
3821.08 0.305197 0.000000
3826.09 0.157233 0.000000
3831.09 0.330684 0.000000
3836.09 0.544432 0.000000
3841.09 0.925198 0.000000
3846.09 1.222588 0.000000
3851.09 0.913908 0.000000
3856.09 0.452034 0.000000
3861.09 0.334659 0.000000
3866.10 0.542649 0.000000
3871.10 0.771342 0.000000
3876.10 0.693055 0.000000
3881.10 0.341788 0.000000
3886.10 0.163799 0.000000
3891.10 0.700613 0.000000
3896.10 1.143214 0.000000
3901.10 0.800059 0.000000
3906.11 0.647199 0.000000
3911.11 0.891415 0.000000
3916.11 0.810143 0.000000
3921.11 0.482729 0.000000
3926.11 0.213371 0.000000
3931.11 0.139305 0.000000
3936.11 0.158009 0.000000
3941.12 0.163801 0.000000
3946.12 0.400564 0.000000
3951.12 0.667241 0.000000
3956.12 0.429795 0.000000
3961.12 0.106728 0.000000
3966.12 0.114610 0.000000
3971.12 0.317857 0.000000
3976.12 0.624043 0.000000
3981.13 0.932773 0.000000
3986.13 0.960894 0.000000
3991.13 0.829133 0.000000
3996.13 1.137130 0.000000
4001.13 1.567686 0.000000
4006.13 1.563330 0.000000
4011.13 1.503494 0.000000
4016.13 1.567548 0.000000
4021.14 1.547901 0.000000
4026.14 1.176251 0.000000
4031.14 0.633677 0.000000
4036.14 0.762733 0.000000
4041.14 1.151536 0.000000
4046.14 1.030175 0.000000
4051.14 0.867119 0.000000
4056.15 0.874094 0.000000
4061.15 0.840325 0.000000
4066.15 0.903307 0.000000
4071.15 1.040815 0.000000
4076.15 0.831745 0.000000
4081.15 0.682660 0.000000
4086.15 1.111331 0.000000
4091.15 1.355554 0.000000
4096.16 1.006278 0.000000
4101.16 0.656958 0.000000
4106.16 0.651782 0.000000
4111.16 0.943720 0.000000
4116.16 0.964627 0.000000
4121.16 0.765174 0.000000
4126.16 0.909507 0.000000
4131.17 0.881507 0.000000
4136.17 0.404425 0.000000
4141.17 0.188462 0.000000
4146.17 0.454685 0.000000
4151.17 1.033574 0.000000
4156.17 1.618380 0.000000
4161.17 1.720705 0.000000
4166.17 0.946594 0.000000
4171.18 0.253748 0.000000
4176.18 0.366522 0.000000
4181.18 0.837611 0.000000
4186.18 1.143570 0.000000
4191.18 0.949660 0.000000
4196.18 0.635645 0.000000
4201.18 0.510754 0.000000
4206.18 0.445922 0.000000
4211.19 0.362077 0.000000
4216.19 0.245361 0.000000
4221.19 0.114700 0.000000
4226.19 0.037685 0.000000
4231.19 0.101177 0.000000
4236.19 0.265339 0.000000
4241.19 0.460794 0.000000
4246.20 0.630980 0.000000
4251.20 0.613015 0.000000
4256.20 0.358417 0.000000
4261.20 0.322849 0.000000
4266.20 0.472665 0.000000
4271.20 0.345465 0.000000
4276.20 0.305667 0.000000
4281.20 0.568323 0.000000
4286.21 0.650803 0.000000
4291.21 0.460793 0.000000
4296.21 0.247808 0.000000
4301.21 0.439630 0.000000
4306.21 0.794655 0.000000
4311.21 0.587861 0.000000
4316.21 0.274540 0.000000
4321.21 0.381206 0.000000
4326.22 0.455416 0.000000
4331.22 0.329933 0.000000
4336.22 0.265996 0.000000
4341.22 0.319689 0.000000
4346.22 0.409066 0.000000
4351.22 0.370393 0.000000
4356.22 0.277449 0.000000
4361.23 0.289172 0.000000
4366.23 0.384507 0.000000
4371.23 0.496148 0.000000
4376.23 0.547781 0.000000
4381.23 0.483884 0.000000
4386.23 0.352897 0.000000
4391.23 0.338796 0.000000
4396.23 0.339721 0.000000
4401.24 0.204223 0.000000
4406.24 0.156885 0.000000
4411.24 0.355262 0.000000
4416.24 0.740909 0.000000
4421.24 0.859535 0.000000
4426.24 0.397769 0.000000
4431.24 0.099352 0.000000
4436.25 0.170553 0.000000
4441.25 0.191533 0.000000
4446.25 0.319085 0.000000
4451.25 0.609369 0.000000
4456.25 0.642341 0.000000
4461.25 0.399429 0.000000
