# lk ukf_m7iii uks_m7iii fh fl fk fm
# iRMS=0.8421489596 0
# 
3450.99 0.158243 0.000000 0.051223 0.000000 0.000000 0.369052
3455.99 0.175283 0.000000 0.053754 0.000000 0.000000 0.411778
3460.99 0.188294 0.000000 0.055086 0.000000 0.000000 0.445003
3465.99 0.218287 0.000000 0.057050 0.000000 0.000000 0.522696
3470.99 0.162693 0.000000 0.059988 0.000000 0.000000 0.372107
3475.99 0.107873 0.000000 0.063492 0.000000 0.000000 0.223006
3481.00 0.169891 0.000000 0.065652 0.000000 0.000000 0.385559
3486.00 0.206827 0.000000 0.065227 0.000000 0.000000 0.484081
3491.00 0.173912 0.000000 0.065137 0.000000 0.000000 0.396753
3496.00 0.158101 0.000000 0.067945 0.000000 0.000000 0.351954
3501.00 0.180341 0.000000 0.070617 0.000000 0.000000 0.408349
3506.00 0.215705 0.000000 0.069559 0.000000 0.000000 0.503330
3511.00 0.206566 0.000000 0.064527 0.000000 0.000000 0.484090
3516.01 0.145974 0.000000 0.057276 0.000000 0.000000 0.330413
3521.01 0.082920 0.000000 0.054194 0.000000 0.000000 0.166032
3526.01 0.135421 0.000000 0.060305 0.000000 0.000000 0.299359
3531.01 0.311486 0.000000 0.070525 0.000000 0.000000 0.756746
3536.01 0.425652 0.000000 0.079211 0.000000 0.000000 1.051274
3541.01 0.456641 0.000000 0.088561 0.000000 0.000000 1.124225
3546.01 0.449281 0.000000 0.101141 0.000000 0.000000 1.092100
3551.01 0.427299 0.000000 0.113133 0.000000 0.000000 1.021724
3556.02 0.397394 0.000000 0.119722 0.000000 0.000000 0.935712
3561.02 0.351098 0.000000 0.118466 0.000000 0.000000 0.814010
3566.02 0.261017 0.000000 0.108811 0.000000 0.000000 0.584420
3571.02 0.144205 0.000000 0.095368 0.000000 0.000000 0.287626
3576.02 0.060852 0.000000 0.083648 0.000000 0.000000 0.077967
3581.02 0.051915 0.000000 0.077599 0.000000 0.000000 0.060282
3586.02 0.097599 0.000000 0.079566 0.000000 0.000000 0.179646
3591.02 0.093951 0.000000 0.087049 0.000000 0.000000 0.162473
3596.03 0.064489 0.000000 0.096882 0.000000 0.000000 0.074394
3601.03 0.111986 0.000000 0.108104 0.000000 0.000000 0.189318
3606.03 0.161265 0.000000 0.120449 0.000000 0.000000 0.307853
3611.03 0.166625 0.000000 0.134237 0.000000 0.000000 0.308301
3616.03 0.222119 0.000000 0.149738 0.000000 0.000000 0.440184
3621.03 0.291891 0.000000 0.166412 0.000000 0.000000 0.608818
3626.03 0.291271 0.000000 0.181933 0.000000 0.000000 0.591650
3631.03 0.244040 0.000000 0.187627 0.000000 0.000000 0.460517
3636.04 0.233780 0.000000 0.178245 0.000000 0.000000 0.442649
3641.04 0.341284 0.000000 0.168577 0.000000 0.000000 0.737834
3646.04 0.390118 0.000000 0.173765 0.000000 0.000000 0.862344
3651.04 0.343384 0.000000 0.190309 0.000000 0.000000 0.721679
3656.04 0.506170 0.000000 0.210109 0.000000 0.000000 1.134221
3661.04 0.663632 0.000000 0.225280 0.000000 0.000000 1.537251
3666.04 0.516764 0.000000 0.230301 0.000000 0.000000 1.142165
3671.05 0.469590 0.000000 0.228867 0.000000 0.000000 1.018312
3676.05 0.534000 0.000000 0.226012 0.000000 0.000000 1.192232
3681.05 0.332053 0.000000 0.222905 0.000000 0.000000 0.658991
3686.05 0.208046 0.000000 0.219827 0.000000 0.000000 0.332720
3691.05 0.423743 0.000000 0.217381 0.000000 0.000000 0.908034
3696.05 0.682651 0.000000 0.216331 0.000000 0.000000 1.596712
3701.05 0.729761 0.000000 0.217765 0.000000 0.000000 1.720398
3706.05 0.470384 0.000000 0.222043 0.000000 0.000000 1.027245
3711.06 0.253109 0.000000 0.226301 0.000000 0.000000 0.445928
3716.06 0.274831 0.000000 0.226356 0.000000 0.000000 0.503564
3721.06 0.291685 0.000000 0.215963 0.000000 0.000000 0.558720
3726.06 0.229129 0.000000 0.192481 0.000000 0.000000 0.416059
3731.06 0.153582 0.000000 0.169731 0.000000 0.000000 0.238166
3736.06 0.155657 0.000000 0.162232 0.000000 0.000000 0.251175
3741.06 0.199364 0.000000 0.170809 0.000000 0.000000 0.358679
3746.06 0.166384 0.000000 0.192333 0.000000 0.000000 0.249565
3751.07 0.177568 0.000000 0.221540 0.000000 0.000000 0.250062
3756.07 0.288512 0.000000 0.254056 0.000000 0.000000 0.512199
3761.07 0.330375 0.000000 0.291191 0.000000 0.000000 0.586247
3766.07 0.374377 0.000000 0.332802 0.000000 0.000000 0.661502
3771.07 0.580674 0.000000 0.367237 0.000000 0.000000 1.174969
3776.07 0.914922 0.000000 0.382590 0.000000 0.000000 2.047339
3781.07 1.108402 0.000000 0.377426 0.000000 0.000000 2.566365
3786.08 0.832844 0.000000 0.356121 0.000000 0.000000 1.855818
3791.08 0.519057 0.000000 0.335807 0.000000 0.000000 1.042751
3796.08 0.517870 0.000000 0.331378 0.000000 0.000000 1.044026
3801.08 0.612399 0.000000 0.336009 0.000000 0.000000 1.290453
3806.08 0.654550 0.000000 0.336746 0.000000 0.000000 1.401664
3811.08 0.587569 0.000000 0.317844 0.000000 0.000000 1.242674
3816.08 0.416698 0.000000 0.272884 0.000000 0.000000 0.833818
3821.08 0.227669 0.000000 0.235535 0.000000 0.000000 0.369129
3826.09 0.179388 0.000000 0.237965 0.000000 0.000000 0.238470
3831.09 0.237381 0.000000 0.266225 0.000000 0.000000 0.364233
3836.09 0.315078 0.000000 0.296825 0.000000 0.000000 0.539987
3841.09 0.497143 0.000000 0.314202 0.000000 0.000000 1.006153
3846.09 0.665203 0.000000 0.309748 0.000000 0.000000 1.456956
3851.09 0.556870 0.000000 0.294751 0.000000 0.000000 1.184234
3856.09 0.371485 0.000000 0.283393 0.000000 0.000000 0.703230
3861.09 0.318005 0.000000 0.281534 0.000000 0.000000 0.563052
3866.10 0.356173 0.000000 0.290925 0.000000 0.000000 0.655031
3871.10 0.422584 0.000000 0.305184 0.000000 0.000000 0.817152
3876.10 0.442549 0.000000 0.317725 0.000000 0.000000 0.857634
3881.10 0.316308 0.000000 0.329300 0.000000 0.000000 0.510779
3886.10 0.221885 0.000000 0.341741 0.000000 0.000000 0.247562
3891.10 0.485520 0.000000 0.353877 0.000000 0.000000 0.935610
3896.10 0.713187 0.000000 0.364086 0.000000 0.000000 1.530059
3901.10 0.553468 0.000000 0.371933 0.000000 0.000000 1.098015
3906.11 0.488998 0.000000 0.376530 0.000000 0.000000 0.922193
3911.11 0.618058 0.000000 0.373995 0.000000 0.000000 1.267497
3916.11 0.574344 0.000000 0.358069 0.000000 0.000000 1.167324
3921.11 0.388216 0.000000 0.315991 0.000000 0.000000 0.715066
3926.11 0.206897 0.000000 0.243823 0.000000 0.000000 0.305672
3931.11 0.115888 0.000000 0.179414 0.000000 0.000000 0.128373
3936.11 0.100726 0.000000 0.162098 0.000000 0.000000 0.105420
3941.12 0.125520 0.000000 0.195354 0.000000 0.000000 0.138014
3946.12 0.272637 0.000000 0.264489 0.000000 0.000000 0.459603
3951.12 0.422539 0.000000 0.317953 0.000000 0.000000 0.804263
3956.12 0.323045 0.000000 0.311609 0.000000 0.000000 0.546363
3961.12 0.155540 0.000000 0.267798 0.000000 0.000000 0.145298
3966.12 0.119401 0.000000 0.227551 0.000000 0.000000 0.089565
3971.12 0.199050 0.000000 0.240179 0.000000 0.000000 0.288475
3976.12 0.376579 0.000000 0.335885 0.000000 0.000000 0.664267
3981.13 0.585872 0.000000 0.460174 0.000000 0.000000 1.095836
3986.13 0.668963 0.000000 0.552351 0.000000 0.000000 1.224339
3991.13 0.660871 0.000000 0.611619 0.000000 0.000000 1.143579
3996.13 0.808142 0.000000 0.651060 0.000000 0.000000 1.495274
4001.13 0.981831 0.000000 0.679371 0.000000 0.000000 1.928261
4006.13 0.968418 0.000000 0.702053 0.000000 0.000000 1.869955
4011.13 0.975730 0.000000 0.716216 0.000000 0.000000 1.875212
4016.13 1.087905 0.000000 0.720280 0.000000 0.000000 2.169073
4021.14 1.176671 0.000000 0.726286 0.000000 0.000000 2.398819
4026.14 1.039235 0.000000 0.743864 0.000000 0.000000 2.016227
4031.14 0.739081 0.000000 0.759371 0.000000 0.000000 1.203545
4036.14 0.779303 0.000000 0.759554 0.000000 0.000000 1.310187
4041.14 1.041702 0.000000 0.755981 0.000000 0.000000 2.010662
4046.14 1.143000 0.000000 0.762861 0.000000 0.000000 2.272817
4051.14 1.089853 0.000000 0.780137 0.000000 0.000000 2.114389
4056.15 0.952181 0.000000 0.801682 0.000000 0.000000 1.727203
4061.15 0.812981 0.000000 0.811355 0.000000 0.000000 1.347832
4066.15 0.890349 0.000000 0.799000 0.000000 0.000000 1.565666
4071.15 1.133092 0.000000 0.788415 0.000000 0.000000 2.220950
4076.15 1.021097 0.000000 0.803347 0.000000 0.000000 1.908571
4081.15 0.871769 0.000000 0.833390 0.000000 0.000000 1.481930
4086.15 1.200067 0.000000 0.865783 0.000000 0.000000 2.321459
4091.15 1.470542 0.000000 0.912482 0.000000 0.000000 2.993111
4096.16 1.325000 0.000000 0.979425 0.000000 0.000000 2.539626
4101.16 1.048550 0.000000 1.023743 0.000000 0.000000 1.761087
4106.16 0.939866 0.000000 1.004562 0.000000 0.000000 1.491617
4111.16 1.095925 0.000000 0.937804 0.000000 0.000000 1.972850
4116.16 1.072140 0.000000 0.853379 0.000000 0.000000 1.994105
4121.16 0.914539 0.000000 0.780386 0.000000 0.000000 1.648525
4126.16 1.084581 0.000000 0.740006 0.000000 0.000000 2.140520
4131.17 1.100576 0.000000 0.722579 0.000000 0.000000 2.200427
4136.17 0.701132 0.000000 0.716195 0.000000 0.000000 1.145932
4141.17 0.504981 0.000000 0.730770 0.000000 0.000000 0.610403
4146.17 0.673674 0.000000 0.775897 0.000000 0.000000 1.013304
4151.17 1.017190 0.000000 0.838025 0.000000 0.000000 1.863518
4156.17 1.280045 0.000000 0.894800 0.000000 0.000000 2.504855
4161.17 1.248502 0.000000 0.911792 0.000000 0.000000 2.404088
4166.17 0.860367 0.000000 0.866705 0.000000 0.000000 1.418333
4171.18 0.558743 0.000000 0.797867 0.000000 0.000000 0.686092
4176.18 0.635829 0.000000 0.748909 0.000000 0.000000 0.939781
4181.18 0.842321 0.000000 0.724053 0.000000 0.000000 1.513056
4186.18 0.961297 0.000000 0.717578 0.000000 0.000000 1.835519
4191.18 0.881002 0.000000 0.723395 0.000000 0.000000 1.616447
4196.18 0.718804 0.000000 0.732348 0.000000 0.000000 1.176713
4201.18 0.600377 0.000000 0.723372 0.000000 0.000000 0.871162
4206.18 0.557368 0.000000 0.675557 0.000000 0.000000 0.804749
4211.19 0.508595 0.000000 0.580525 0.000000 0.000000 0.770245
4216.19 0.367657 0.000000 0.445679 0.000000 0.000000 0.530776
4221.19 0.223756 0.000000 0.329024 0.000000 0.000000 0.265247
4226.19 0.163669 0.000000 0.289539 0.000000 0.000000 0.145147
4231.19 0.215519 0.000000 0.339488 0.000000 0.000000 0.232905
