WaveLength	Name	Type	Force	Profile	AmplitudeGroupName	AmplitudeGroupValue	DispersionVelocityGroupName	WaveLengthOffset	EnableFitWaveLengthOffset	PfsName
5176.71	MgI5175	A	S	SYM	-1	1	Abs1	0	FALSE	None
5877.41	HeI5876	E	W	SYM	-1	1	Em1	0	FALSE	hei_5876
5895.6	NaD	A	W	SYM	-1	1	Abs1	0	FALSE	None
6303.05	[OI]6301	E	W	SYM	-1	1	Em1	0	FALSE	oi_6300
6496.75	FeI6494	E	W	SYM	-1	1	Em1	0	FALSE	None
6549.86	[NII](doublet-1/2.95)	E	W	SYM	E_NII	1	Em1	0	FALSE	nii_6548
6564.61	HalphaA	A	S	SYM	-1	1	Abs1	0	FALSE	abs_h_alpha
6564.61	Halpha	E	S	SYM	-1	1	Em1	0	FALSE	h_alpha
6585.27	[NII](doublet-1)	E	W	SYM	E_NII	2.95	Em1	0	FALSE	nii_6584
6718.29	[SII]6716	E	W	SYM	-1	1	Em1	0	FALSE	sii_6717
6732.68	[SII]6731	E	W	SYM	-1	1	Em1	0	FALSE	sii_6731
7138.73	ArIII7136	E	W	SYM	-1	1	Em1	0	FALSE	ariii_7135
7321	OII7319	E	W	SYM	-1	1	Em1	0	FALSE	None
7332.2	OII7330	E	W	SYM	-1	1	Em1	0	FALSE	None
7753.2	ArIII7751	E	W	SYM	-1	1	Em1	0	FALSE	None
8500.35	CaII_t1A	A	S	SYM	T_ca	16	Abs1	0	FALSE	None
8544.42	CaII_t2A	A	S	SYM	T_ca	17	Abs1	0	FALSE	None
8664.5	CaII_t3A	A	S	SYM	T_Ca	13	Abs1	0	FALSE	None
8865.22	P11A	A	W	SYM	-1	1	Abs1	0	FALSE	None
8865.22	P11	E	W	SYM	-1	1	Em1	0	FALSE	None
9017.38	P10A	A	W	SYM	-1	1	Abs1	0	FALSE	None
9017.38	P10	E	W	SYM	-1	1	Em1	0	FALSE	None
9071.1	SIII9068	E	W	SYM	-1	1	Em1	0	FALSE	None
9231.55	P9A	A	W	SYM	-1	1	Abs1	0	FALSE	None
9231.55	P9	E	W	SYM	-1	1	Em1	0	FALSE	None
9533.2	SIII9530	E	W	SYM	-1	1	Em1	0	FALSE	None
9548.59	P8A	A	W	SYM	-1	1	Abs1	0	FALSE	None
9548.59	P8	E	W	SYM	-1	1	Em1	0	FALSE	None
10052.13	P7A	A	W	SYM	-1	1	Abs1	0	FALSE	None
10052.13	P7	E	W	SYM	-1	1	Em1	0	FALSE	None
10941.09	P6A	A	W	SYM	-1	1	Abs1	0	FALSE	None
10941.09	P6	E	W	SYM	-1	1	Em1	0	FALSE	None
12821.59	P5A	A	W	SYM	-1	1	Abs1	0	FALSE	None
12821.59	P5	E	W	SYM	-1	1	Em1	0	FALSE	None
