WaveLength	Name	Type	Force	Profile	AmplitudeGroupName	AmplitudeGroupValue	DispersionVelocityGroupName	WaveLengthOffset	EnableFitWaveLengthOffset
8448.78	OI	E	W	SYM	-1	1	Em1	0	FALSE
7753.20	ArIII7751	E	W	SYM	-1	1	Em1	0	FALSE
7332.20	OII7330	E	W	SYM	-1	1	Em1	0	FALSE
7321.00	OII7319	E	W	SYM	-1	1	Em1	0	FALSE
7138.73	ArIII7136	E	W	SYM	-1	1	Em1	0	FALSE
6732.68	[SII]6731	E	W	SYM	-1	1	Em1	0	FALSE
6718.29	[SII]6716	E	W	SYM	-1	1	Em1	0	FALSE
6585.27	[NII]a	E	W	SYM	E_NII	2.95	Em1	0	FALSE
6564.61	Halpha	E	S	SYM	-1	1	Em1	0	FALSE
6549.86	[NII]b	E	W	SYM	E_NII	1	Em1	0	FALSE
6496.75	FeI6494	E	W	SYM	-1	1	Em1	0	FALSE
6302.05	[OI]6301	E	W	SYM	-1	1	Em1	0	FALSE
5877.41	HeI5876	E	W	SYM	-1	1	Em1	0	FALSE
5008.24	[OIII]a	E	S	SYM	E_OIII	3	Em1	0	FALSE
4960.29	[OIII]b	E	S	SYM	E_OIII	1	Em1	0	FALSE
4862.72	Hbeta	E	S	SYM	-1	1	Em1	0	FALSE
4341.58	Hgamma	E	W	SYM	-1	1	Em1	0	FALSE
4102.81	Hdelta	E	W	SYM	-1	1	Em1	0	FALSE
3971.15	Hepsilon	E	W	SYM	-1	1	Em1	0	FALSE
3890.11	H8	E	W	SYM	-1	1	Em1	0	FALSE
3869.05	NeIII	E	W	SYM	-1	1	Em1	0	FALSE
3836.43	H9	E	W	SYM	-1	1	Em1	0	FALSE
3798.93	H10	E	W	SYM	-1	1	Em1	0	FALSE
3785.47	FeII3785	E	W	SYM	-1	1	Em1	0	FALSE
3771.65	H11	E	W	SYM	-1	1	Em1	0	FALSE
3758.46	FeVII	E	W	SYM	-1	1	Em1	0	FALSE
3729.88	[OII]3729	E	S	SYM	OII	1.5	Em1	0	FALSE
3727.09	[OII]3726	E	S	SYM	OII	1	Em1	0	FALSE
3426.73	[NeVa]	E	W	SYM	NeV	2.76	Em1	0	FALSE
3346.81	[NeVb]	E	W	SYM	NeV	1	Em1	0	FALSE
3191.78	HeI3190	E	W	SYM	-1	1	Em1	0	FALSE
2804.29	MgII2803E	E	W	SYM	E_MgII	0.3054	Em1	0	FALSE
2797.11	MgII2796E	E	W	SYM	E_MgII	0.6123	Em1	0	FALSE
1906.68	[CIII]1907	E	S	SYM	-1	1	Em1	0	FALSE
1908.73	[CIII]1909	E	S	SYM	-1	1	Em1	0	FALSE
1661.26	OIII1661	E	W	SYM	-1	1	Em1	0	FALSE
1666.6	OIII1666	E	W	SYM	-1	1	Em1	0	FALSE
1640.47	HeIIa	E	W	SYM	E_HeII	3	Em1	0	FALSE
1640.33	HeIIb	E	W	SYM	E_HeII	2	Em1	0	FALSE
1550.77	CIV1550	E	S	SYM	E_CIV	0.9	Em1	0	FALSE
1548.19	CIV1548	E	S	SYM	E_CIV	1.0	Em1	0	FALSE
1215.67	LyAE	E	S	ASYMFIT	-1	1	Em1	0	FALSE
1037.62	OVI1037E	E	W	SYM	-1	1	Em1	0	FALSE
1031.93	OVI1031E	E	W	SYM	-1	1	Em1	0	FALSE
1025.72	LyBE	E	W	SYM	-1	1	Em1	0	FALSE
972.53	LyGE	E	W	SYM	-1	1	Em1	0	FALSE
